sheet,metabolite,group_type,mean,median,std,cv,iqr,n_samples,mean_vsedian_diff
Breast,pnto_R,slow,16.54099853,16.60371653,4.782655537,0.289139469,6.7387562,12,0.062718002
Breast,pnto_R,fast,21.52238683,22.11000585,5.949703297,0.276442541,5.984645074,12,0.587619019
Breast,2hb,slow,19.32554069,18.92228392,9.468716648,0.489958692,8.459355344,12,0.403256777
Breast,2hb,fast,18.58257128,17.84214605,5.699880176,0.306732588,2.133008966,12,0.740425226
Breast,leu__L,slow,169.7934694,166.2667196,63.51813027,0.374090538,57.78062502,12,3.526749843
Breast,leu__L,fast,136.4683383,115.642274,58.59462857,0.429364271,17.21488375,12,20.82606433
Breast,CE1661,slow,62.73755232,65.67327327,17.45551895,0.278230793,20.86350586,12,2.935720959
Breast,CE1661,fast,53.82115636,55.84509312,17.10440828,0.317800832,17.08068061,12,2.023936759
Breast,val__L,slow,170.968257,150.2970551,79.42603769,0.464565991,57.29554615,12,20.67120187
Breast,val__L,fast,139.9562473,117.4255025,51.71364997,0.369498689,34.62386281,12,22.53074487
Breast,ile__L,slow,100.1468647,90.60840701,47.05210481,0.469831032,49.81506582,12,9.538457658
Breast,ile__L,fast,82.20583945,76.91876982,31.27571772,0.380456157,16.008824,12,5.287069622
Breast,gln__L,slow,321.2868943,171.96204,348.9434196,1.086080465,605.5833186,24,149.3248542
Breast,gln__L,fast,298.5616007,254.1008512,295.9432301,0.991230049,563.6862391,24,44.46074951
Breast,bhb,slow,485.6523915,507.2517258,278.9762928,0.574436156,345.7593606,12,21.5993343
Breast,bhb,fast,446.5463296,326.1154286,340.7828402,0.763152259,224.4267943,12,120.430901
Breast,lac__L,slow,90867.2591,93620.95556,15044.11484,0.165561446,13558.45607,12,2753.696465
Breast,lac__L,fast,90559.35612,88890.82646,9497.253934,0.104873249,18262.53794,12,1668.52966
Breast,lac___D,slow,575.6468015,521.7003752,241.4250808,0.419397937,290.8157241,12,53.94642635
Breast,lac___D,fast,537.759609,468.7301148,194.5495425,0.361777901,177.1895921,12,69.02949418
Breast,ala__L,slow,842.9002935,793.911436,154.4299372,0.18321258,249.0334778,12,48.98885748
Breast,ala__L,fast,855.8934138,784.6217593,163.1059621,0.190568077,253.4194423,12,71.27165451
Breast,ac,slow,216.8990077,215.8472024,57.86970264,0.266804829,71.94512231,12,1.051805238
Breast,ac,fast,210.4222876,190.8099731,55.64176836,0.264429063,86.93198247,12,19.61231446
Breast,glu__L,slow,507.9952701,482.5840583,157.7776224,0.310588763,105.1048525,12,25.41121181
Breast,glu__L,fast,457.2999568,399.2524862,150.9984678,0.330195675,164.3956005,12,58.0474706
Breast,pyr,slow,85.99288563,79.59280911,26.80737227,0.31173942,31.63821209,12,6.40007652
Breast,pyr,fast,84.6394771,75.28042129,22.33425261,0.263875125,30.92020461,12,9.359055804
Breast,succ,slow,134.7745807,128.6177823,76.37417026,0.566680823,102.7085634,12,6.156798337
Breast,succ,fast,124.68758,126.330639,67.15007722,0.53854664,94.21372915,12,1.643058993
Breast,ala_B,slow,333.5285629,291.1924716,138.8061619,0.416174737,86.59011332,12,42.33609129
Breast,ala_B,fast,378.9821801,338.2420889,167.7406926,0.44260839,241.2194198,12,40.74009118
Breast,glyb,slow,106.0508742,112.0843069,25.23776416,0.237977898,37.5367515,12,6.033432658
Breast,glyb,fast,101.5145655,99.62385735,17.56858846,0.173064706,18.88385935,12,1.890708133
Breast,asn__L,slow,177.9449836,144.3625894,75.85181394,0.426265537,95.11985928,12,33.58239423
Breast,asn__L,fast,155.1992742,144.6177554,54.78372809,0.35298959,47.74333955,12,10.58151872
Breast,dmgly,slow,310.8610362,284.3065739,129.5836551,0.416853964,196.497337,12,26.55446228
Breast,dmgly,fast,334.1133944,321.0597592,91.38990923,0.273529618,112.4504437,12,13.05363529
Breast,M02035,slow,31.47751275,33.40216674,8.973601906,0.285079764,7.489543241,12,1.924653989
Breast,M02035,fast,33.26204293,32.06514957,7.050767396,0.211976378,10.23539917,12,1.196893359
Breast,crtn,slow,16497.62462,11950.32337,14746.57153,0.89386029,29886.79494,24,4547.301251
Breast,crtn,fast,17321.27635,16546.80141,14944.49576,0.862782595,30548.82825,24,774.474944
Breast,malon,slow,502.6548849,491.7070332,122.4469886,0.243600514,162.8150608,12,10.94785173
Breast,malon,fast,567.6077228,525.5973485,82.68666295,0.145675719,136.2954629,12,42.01037429
Breast,btbet,slow,1491.109917,1256.285128,947.9389806,0.635727098,758.4474343,12,234.8247888
Breast,btbet,fast,1703.334407,1593.606461,649.3888279,0.381245647,587.9558189,12,109.7279462
Breast,inost,slow,244.4721513,175.2292029,221.0086231,0.904023718,393.5612975,24,69.24294835
Breast,inost,fast,234.6457515,207.1941029,196.3101471,0.836623488,364.1505517,24,27.45164856
Breast,taur,slow,463.9875679,376.6365024,198.0885386,0.426926393,159.7790643,12,87.35106543
Breast,taur,fast,382.3340406,391.9534905,109.3030986,0.285883774,176.8086028,12,9.619449921
Breast,gly,slow,659.8319588,608.277744,159.4389415,0.241635676,120.8834061,12,51.55421475
Breast,gly,fast,636.6096162,636.6112802,123.0129709,0.193231406,158.6201558,12,0.001664048
Breast,thr__L,slow,309.7525854,309.9397711,120.1119077,0.387767248,112.5027225,12,0.18718567
Breast,thr__L,fast,286.5867407,293.3533537,91.52505883,0.319362503,123.097057,12,6.766612927
Breast,glyc,slow,208.0884841,210.1242706,36.93440594,0.177493753,40.96430928,12,2.035786489
Breast,glyc,fast,203.9944868,201.5521873,35.55566973,0.174297209,58.70222427,12,2.442299425
Breast,ethe,slow,129.6267177,116.9280692,85.17035664,0.657043225,48.84916799,12,12.69864853
Breast,ethe,fast,111.6708565,105.4737046,58.02005795,0.519563114,77.18457374,12,6.197151867
Breast,ser__D,slow,626.6762345,643.6205051,118.6146221,0.189275762,183.4354797,12,16.94427061
Breast,ser__D,fast,581.4198489,567.3342979,103.5855033,0.178159558,128.3070961,12,14.08555105
Breast,glc__D,slow,799.1402848,841.8639481,283.4798872,0.354731069,209.9142986,12,42.72366334
Breast,glc__D,fast,788.894112,799.3947318,325.9995582,0.413236141,443.4412151,12,10.5006198
Breast,g6p,slow,202.0919542,134.2812357,183.68845,0.908934998,160.6026932,12,67.81071845
Breast,g6p,fast,282.4255818,169.6809581,267.0584402,0.945588705,225.9989727,12,112.7446237
Breast,man,slow,173.2718798,149.2577753,172.1769677,0.993680959,170.8688367,12,24.01410458
