metabolite_id,compound_name,n_high,n_low,median_high,median_low,hl_estimate,delta_mcid,effect_size_ratio,ci_bca_95_lower,ci_bca_95_upper,prob_positive,prob_negative,prob_direction,prob_exceeds_mcid,direction_label,mw_pvalue,directional_consistent,magnitude_exceeds,mw_significant,passes_hybrid_filter
pnto__R,Pantothenate ,12,12,22.1100,16.6037,5.3068,1.5836,3.3510,0.6917,9.9439,0.9829,0.0171,0.9829,0.9558,Higher in fast-growing,0.0404,True,True,True,True
leu__L,Leucine,12,12,115.6423,166.2667,-46.3709,13.0606,3.5504,-72.5993,8.9678,0.0429,0.9571,0.9571,0.8808,Higher in slow-growing,0.0885,True,True,True,True
malon,Malonate,12,12,525.5973,491.7070,73.5140,26.6014,2.7635,-46.8630,151.4075,0.9309,0.0691,0.9309,0.8658,Higher in fast-growing,0.1410,True,True,True,True
val__L,Valine,12,12,117.4255,150.2971,-19.1970,8.9357,2.1484,-59.9535,13.6524,0.1055,0.8945,0.8945,0.8738,Higher in slow-growing,0.2366,True,True,True,True
glu__L,Glutamate,12,12,399.2525,482.5841,-50.5272,29.9722,1.6858,-153.1593,48.0788,0.1121,0.8879,0.8879,0.8187,Higher in slow-growing,0.2366,True,True,True,True
ans,Anserine,12,12,38621.4819,39727.2535,-2431.6493,910.4980,2.6707,-6576.2257,1470.0403,0.1178,0.8822,0.8822,0.8672,Higher in slow-growing,0.2366,True,True,True,True
phephe,Phenylalanine,12,12,28.4679,51.8285,-14.0113,7.0179,1.9965,-31.0976,5.7532,0.0704,0.9296,0.9296,0.7615,Higher in slow-growing,0.1572,True,False,True,False
his__D,Histidine,12,12,90.9768,108.7102,-15.9429,8.1106,1.9657,-42.7369,11.7160,0.1066,0.8934,0.8934,0.7790,Higher in slow-growing,0.2145,True,False,True,False
btbet,Betaine,12,12,1593.6065,1256.2851,307.4945,142.2713,2.1613,-205.6281,805.5419,0.8819,0.1181,0.8819,0.7606,Higher in fast-growing,0.2602,True,False,False,False
CE1661,Alpha-aminobutyrate,12,12,55.8451,65.6733,-10.0244,4.1821,2.3970,-23.5791,6.5970,0.1195,0.8805,0.8805,0.7982,Higher in slow-growing,0.2602,True,False,False,False
