metabolite_id,compound_name,n_high,n_low,median_high,median_low,hl_estimate,delta_mcid,effect_size_ratio,ci_bca_95_lower,ci_bca_95_upper,prob_positive,prob_negative,prob_direction,prob_exceeds_mcid,direction_label,mw_pvalue,directional_consistent,magnitude_exceeds,mw_significant,passes_hybrid_filter
pnto__R,Pantothenate ,12,12,47.3969,36.4894,12.5460,3.0750,4.0800,3.0564,24.7737,0.9906,0.0094,0.9906,0.9738,Higher in fast-growing,0.0304,True,True,True,True
sarcs,Sarcosine,12,12,38.6457,32.7420,5.9860,1.8411,3.2512,0.1198,14.0613,0.9775,0.0225,0.9775,0.9167,Higher in fast-growing,0.0531,True,True,True,True
for,Formate,12,12,40.4700,36.4502,4.5553,1.8291,2.4904,-2.1197,9.8508,0.9251,0.0749,0.9251,0.8265,Higher in fast-growing,0.1572,True,True,True,True
ala__L,Alanine,12,12,2854.2100,2619.4962,335.2029,98.0176,3.4198,-127.3304,1017.3172,0.8925,0.1075,0.8925,0.8671,Higher in fast-growing,0.2366,True,True,True,True
4ohbut,2-Hydroxybutyrate,12,12,35.9773,31.2312,4.8082,1.7675,2.7203,-1.6059,11.0833,0.8883,0.1117,0.8883,0.8181,Higher in fast-growing,0.2366,True,True,True,True
glc__D,Glucose,12,12,376.7164,310.6214,68.8523,71.8865,0.9578,-202.9216,281.4714,0.8722,0.1278,0.8722,0.5879,Higher in fast-growing,0.2602,True,False,False,False
3mhis,n-Methylhistidine,12,12,131.0085,162.0622,-21.2098,10.2497,2.0693,-59.1395,24.0340,0.1324,0.8676,0.8676,0.7447,Higher in slow-growing,0.2602,True,False,False,False
gly,Glycine ,12,12,2909.4338,2541.3573,303.6250,153.5468,1.9774,-326.2262,838.5017,0.8654,0.1346,0.8654,0.7968,Higher in fast-growing,0.2855,True,False,False,False
adp,ADP,12,12,379.2253,424.4860,-42.1526,16.3837,2.5728,-85.0703,20.9003,0.1407,0.8593,0.8593,0.8521,Higher in slow-growing,0.2602,True,True,False,False
leu__L,Leucine,12,12,303.4359,322.9912,-30.9442,17.3358,1.7850,-96.1748,26.9816,0.1541,0.8459,0.8459,0.6959,Higher in slow-growing,0.3408,True,False,False,False
btbet,Betaine,12,12,8557.9447,6960.8427,1117.2801,573.1992,1.9492,-440.6581,3219.1725,0.8424,0.1576,0.8424,0.7106,Higher in fast-growing,0.3123,True,False,False,False
ile__L,Isoleucine,12,12,149.0694,167.9146,-15.0636,9.8750,1.5254,-58.7735,20.7126,0.1658,0.8342,0.8342,0.6618,Higher in slow-growing,0.3408,True,False,False,False
uracp,Uracyl,12,12,29.2011,32.4837,-5.4081,2.9777,1.8162,-25.1222,6.7839,0.1785,0.8215,0.8215,0.7833,Higher in slow-growing,0.3708,True,False,False,False
crtn,Creatine,12,12,39054.6527,38365.2069,692.6495,514.5152,1.3462,-1105.3123,2977.2994,0.8047,0.1953,0.8047,0.6416,Higher in fast-growing,0.4025,True,False,False,False
dmgly,Dimethylglycine,12,12,384.1092,312.7655,41.0606,30.2149,1.3590,-40.9368,143.5079,0.7873,0.2127,0.7873,0.6331,Higher in fast-growing,0.4705,False,False,False,False
tyr__L,Tyrosine,12,12,222.1166,226.0408,-11.6737,10.3901,1.1235,-50.5383,21.4395,0.2173,0.7827,0.7827,0.6072,Higher in slow-growing,0.4705,False,False,False,False
ade,Adenine,12,12,55.4337,65.1046,-5.8249,6.4015,0.9099,-24.1033,13.0452,0.2191,0.7809,0.7809,0.5816,Higher in slow-growing,0.4357,False,False,False,False
lac__L,Lactate,12,12,84018.4386,78842.5918,3990.5045,2821.2608,1.4144,-10056.2468,18933.6114,0.7663,0.2337,0.7663,0.7584,Higher in fast-growing,0.4705,False,False,False,False
nad,NAD,12,12,267.6032,243.5966,22.1915,20.0447,1.1071,-69.1394,117.1961,0.7662,0.2338,0.7662,0.6500,Higher in fast-growing,0.4705,False,False,False,False
val__L,Valine,12,12,274.1175,292.8186,-16.2335,20.5643,0.7894,-86.5286,40.1588,0.2348,0.7652,0.7652,0.5331,Higher in slow-growing,0.4705,False,False,False,False
ans,Anserine,12,12,14215.7119,15560.2455,-947.9706,625.8279,1.5147,-3187.0234,1245.0112,0.2378,0.7622,0.7622,0.7187,Higher in slow-growing,0.4705,False,False,False,False
CE1661,Alpha-aminobutyrate,12,12,102.3413,95.6560,5.7227,3.9399,1.4525,-17.2637,19.1052,0.7594,0.2406,0.7594,0.7838,Higher in fast-growing,0.5067,False,False,False,False
