metabolite_id,compound_name,n_high,n_low,median_high,median_low,hl_estimate,delta_mcid,effect_size_ratio,ci_bca_95_lower,ci_bca_95_upper,prob_positive,prob_negative,prob_direction,prob_exceeds_mcid,direction_label,mw_pvalue,directional_consistent,magnitude_exceeds,mw_significant,passes_hybrid_filter
glu__L,Glutamate,12,12,7394.1015,6447.5907,1065.1637,316.1314,3.3694,-205.2266,2174.8757,0.9323,0.0677,0.9323,0.8507,Higher in fast-growing,0.1572,True,True,True,True
uracp,Uracyl,12,12,127.5082,175.1914,-35.8785,14.3550,2.4994,-80.9293,16.2365,0.0696,0.9304,0.9304,0.9045,Higher in slow-growing,0.1410,True,True,True,True
glc__D,Glucose,12,12,15572.3209,9755.5020,4775.3749,1770.7481,2.6968,-2991.3081,8362.2508,0.9119,0.0881,0.9119,0.8595,Higher in fast-growing,0.1572,True,True,True,True
uri,Uridine,12,12,559.7239,478.4290,67.5693,26.3006,2.5691,-34.4715,162.3609,0.8968,0.1032,0.8968,0.7943,Higher in fast-growing,0.2145,True,False,True,False
his__D,Histidine,12,12,65.6459,86.2495,-16.6695,6.0327,2.7632,-45.0115,13.1709,0.1205,0.8795,0.8795,0.7755,Higher in slow-growing,0.2602,True,False,False,False
succ,Succinate,12,12,2116.9556,1689.7164,484.9378,201.7843,2.4032,-299.9067,1746.2888,0.8778,0.1222,0.8778,0.7877,Higher in fast-growing,0.2602,True,False,False,False
C02528,Chenodeoxycholate,12,12,84.0799,46.9459,31.4908,9.3683,3.3614,-14.3589,59.5035,0.8675,0.1325,0.8675,0.8055,Higher in fast-growing,0.2602,True,True,False,False
dma,DMA,12,12,30.9366,37.6651,-3.5437,1.9473,1.8198,-10.3632,2.7554,0.1340,0.8660,0.8660,0.7439,Higher in slow-growing,0.2855,True,False,False,False
inost,Myoinositol,12,12,12797.3852,11460.4681,1024.5903,444.8197,2.3034,-399.3972,2264.3973,0.8586,0.1414,0.8586,0.7698,Higher in fast-growing,0.2855,True,False,False,False
xan,Xanthine,12,12,1034.8577,826.8077,192.8859,127.5806,1.5119,-217.7507,543.9820,0.8565,0.1435,0.8565,0.7319,Higher in fast-growing,0.2855,True,False,False,False
pnto__R,Pantothenate ,12,12,70.9258,60.2782,8.6808,14.5126,0.5982,-40.5570,63.9545,0.8487,0.1513,0.8487,0.3625,Higher in fast-growing,0.3123,True,False,False,False
ins,Inosine,12,12,14.5671,21.4891,-8.3742,5.5569,1.5070,-22.9845,11.8228,0.1653,0.8347,0.8347,0.7320,Higher in slow-growing,0.3408,True,False,False,False
mma,Methylamine,12,12,35.2937,25.5664,5.0287,3.2669,1.5393,-7.7967,13.6384,0.8298,0.1702,0.8298,0.6874,Higher in fast-growing,0.3408,True,False,False,False
dmgly,Dimethylglycine,12,12,72.4711,87.6114,-6.4351,5.3354,1.2061,-24.8263,9.0707,0.1807,0.8193,0.8193,0.6490,Higher in slow-growing,0.3708,True,False,False,False
pchol_cho,Phosphocholine,12,12,547.4026,786.5487,-134.6330,113.0819,1.1906,-466.3323,220.7362,0.1962,0.8038,0.8038,0.6117,Higher in slow-growing,0.4025,True,False,False,False
g6p,Glucose-6-phosphate,12,12,94.9472,121.7195,-30.0568,22.3251,1.3463,-110.9720,112.9807,0.2186,0.7814,0.7814,0.6927,Higher in slow-growing,0.4357,False,False,False,False
ser__D,Serine,12,12,3538.5722,3838.8299,-266.6498,272.4993,0.9785,-1421.0921,989.2442,0.2302,0.7698,0.7698,0.5743,Higher in slow-growing,0.4705,False,False,False,False
hxan,Hypoxanthine,12,12,101.4245,146.6958,-21.6987,21.2744,1.0199,-167.3738,55.2968,0.2398,0.7602,0.7602,0.6126,Higher in slow-growing,0.5067,False,False,False,False
acrn,O-Acetylcarnitine,12,12,56.1873,65.9059,-6.7537,5.4627,1.2363,-25.9772,15.0833,0.2600,0.7400,0.7400,0.7009,Higher in slow-growing,0.5444,False,False,False,False
agpc_EC,Glycerophosphocholine,12,12,214.6823,253.6848,-25.8297,22.3303,1.1567,-109.1373,63.9070,0.2625,0.7375,0.7375,0.6705,Higher in slow-growing,0.5444,False,False,False,False
asp__L,Aspartate,12,12,3480.1651,3494.5419,256.3274,215.6464,1.1886,-624.0829,1259.2664,0.7187,0.2813,0.7187,0.7290,Higher in fast-growing,0.5834,False,False,False,False
23btdl,"2,3-Butanediol",12,12,56.8846,50.1892,4.0308,4.1404,0.9735,-13.0749,14.8757,0.7107,0.2893,0.7107,0.6291,Higher in fast-growing,0.5834,False,False,False,False
ile__L,Isoleucine,12,12,540.4013,589.5297,-60.9560,54.0758,1.1272,-202.4282,227.6469,0.2969,0.7031,0.7031,0.7291,Higher in slow-growing,0.5834,False,False,False,False
asn__L,Asparagine,12,12,380.0899,510.1538,-59.5888,60.0600,0.9922,-249.7413,153.4040,0.3039,0.6961,0.6961,0.6225,Higher in slow-growing,0.6236,False,False,False,False
metsox_S__L,Methionine sulfoxide,12,12,319.2718,343.8160,-45.0867,36.9040,1.2217,-154.0802,195.6088,0.3060,0.6940,0.6940,0.7299,Higher in slow-growing,0.6236,False,False,False,False
2hiv,2-Hydroxyvalerate,12,12,64.7944,53.7901,8.8819,12.4323,0.7144,-30.5837,45.3464,0.6938,0.3062,0.6938,0.5159,Higher in fast-growing,0.6235,False,False,False,False
