id,animal_id, tissue, growth_rate
1,4947,leg,High growth rate
2,4947,breast,
3,4947,liver,
4,4947,heart,
5,4947,kidney,
6,5042,leg,High growth rate
7,5042,breast,
8,5042,liver,
9,5042,heart,
10,5042,kidney,
11,5068,leg,High growth rate
12,5068,breast,
13,5068,liver,
14,5068,heart,
15,5068,kidney,
16,5077,leg,High growth rate
17,5077,breast,
18,5077,liver,
19,5077,heart,
20,5077,kidney,
21,5115,leg,High growth rate
22,5115,breast,
23,5115,liver,
24,5115,heart,
25,5115,kidney,
26,4928,leg,High growth rate
27,4928,breast,
28,4928,liver,
29,4928,heart,
30,4928,kidney,
31,5019,leg,Low growth rate
32,5019,breast,
33,5019,liver,
34,5019,heart,
35,5019,kidney,
36,4959,leg,Low growth rate
37,4959,breast,
38,4959,liver,
39,4959,heart,
40,4959,kidney,
41,5076,leg,Low growth rate
42,5076,breast,
43,5076,liver,
44,5076,heart,
45,5076,kidney,
46,5073,leg,Low growth rate
47,5073,breast,
48,5073,liver,
49,5073,heart,
50,5073,kidney,
51,5120,leg,Low growth rate
52,5120,breast,
53,5120,liver,
54,5120,heart,
55,5120,kidney,
56,4916,leg,Low growth rate
57,4916,breast,
58,4916,liver,
59,4916,heart,
60,4916,kidney,
61,5064,leg,High growth rate
62,5064,breast,
63,5064,liver,
64,5064,heart,
65,5064,kidney,
66,5056,leg,High growth rate
67,5056,breast,
68,5056,liver,
69,5056,heart,
70,5056,kidney,
71,5118,leg,High growth rate
72,5118,breast,
73,5118,liver,
74,5118,heart,
75,5118,kidney,
76,4900,leg,High growth rate
77,4900,breast,
78,4900,liver,
79,4900,heart,
80,4900,kidney,
81,5011,leg,High growth rate
82,5011,breast,
83,5011,liver,
84,5011,heart,
85,5011,kidney,
86,5009,leg,High growth rate
87,5009,breast,
88,5009,liver,
89,5009,heart,
90,5009,kidney,
91,5061,leg,Low growth rate
92,5061,breast,
93,5061,liver,
94,5061,heart,
95,5061,kidney,
96,5081,leg,Low growth rate
97,5081,breast,
98,5081,liver,
99,5081,heart,
100,5081,kidney,
101,5125,leg,Low growth rate
102,5125,breast,
103,5125,liver,
104,5125,heart,
105,5125,kidney,
106,4906,leg,Low growth rate
107,4906,breast,
108,4906,liver,
109,4906,heart,
110,4906,kidney,
111,5044,leg,Low growth rate
112,5044,breast,
113,5044,liver,
114,5044,heart,
115,5044,kidney,
116,4992,leg,Low growth rate
117,4992,breast,
118,4992,liver,
119,4992,heart,
120,4992,kidney,
