genes	fast-brain	fast-brain.1	fast-brain.2	fast-brain.3	fast-brain.4	fast-brain.5	fast-brain.6	fast-brain.7	fast-brain.8	fast-brain.9	fast-brain.10	fast-brain.11
C4orf33	0	0.944257421778863	0.809689443639966	0.300028061327196	0.915078532416656	0	0.538318500643022	0	1.00062981857177	0.310349585969942	0.536184828259714	0.983064607444798
C12orf4	3.13922665427438	11.5671534167911	5.66782610547976	6.30058928787111	5.49047119449994	6.60121844970532	4.30654800514418	3.73605206914363	12.6746443685758	6.20699171939883	3.753293797818	5.65262149280759
THEMIS	0	0.236064355444716	0.539792962426644	3.00028061327196	0.610052354944438	0.94303120710076	0	1.06744344832675	0.333543272857257	2.17244710178959	0.536184828259714	0.245766151861199
LOC769491_7	1.7938438024425	2.83277226533659	2.4290683309199	7.80072959450708	2.13518324230553	5.18667163905418	4.8448665057872	16.5453734490646	2.66834618285806	4.34489420357918	11.7960662217137	2.70342767047319
POLR2L	56.5060797769388	203.015345682456	108.498385447755	32.7030586846643	162.883978770165	35.8351858698289	39.8355690475836	62.4454417271149	128.080616777187	38.7936982462427	39.6776772912189	154.095377216972
MYH1D	7.17537520977001	10.1507672841228	4.04844721819983	2.40022449061756	1.52513088736109	4.7151560355038	1.07663700128604	6.93838241412388	9.67275491286046	111.105151777239	67.559288360724	207.918164474575
L3HYPDH	1.7938438024425	0.236064355444716	4.8581366618398	2.70025255194476	2.13518324230553	5.65818724260456	2.15327400257209	2.66860862081688	2.3348029100008	9.62083716506819	3.753293797818	2.94919382233439
ATE1	47.5368607647263	49.809578998835	44.5329194001982	43.5040688924433	50.6343454603883	53.7527788047433	45.7570725546569	51.237285519684	44.3612552900152	66.1044618115976	41.286231775998	48.4159319166563
LOC121113493	0.896921901221251	0.708193066334148	1.07958592485329	0.300028061327196	0.915078532416656	0.47151560355038	0	3.73605206914363	1.00062981857177	4.03454461760924	1.60855448477914	0.983064607444798
LOC124418020	0	0	0	0.600056122654391	0	1.88606241420152	0	0	0.333543272857257	0.310349585969942	0	2.94919382233439
QPRT	59.6453064312132	91.356905557105	78.5398760330767	42.904012769789	247.986282284914	49.0376227692395	128.119803153039	103.542014487695	93.0585731271748	59.2767709202589	69.7040276737629	66.8483933062462
LOC112531536	21.9745865799207	28.5637870088106	22.6713044219191	26.102441335466	19.2166491807498	18.8606241420152	13.4579625160755	33.6244686222926	27.6840916471524	16.138178470437	31.0987200390634	26.7885105528707
