genes	slow-brain	slow-brain.1	slow-brain.2	slow-brain.3	slow-brain.4	slow-brain.5	slow-brain.6	slow-brain.7	slow-brain.8	slow-brain.9	slow-brain.10	slow-brain.11
C4orf33	0	3.62087287659044	1.18280593889984	1.34081891916025	2.81334429438096	1.12235380613613	0	1.69411861219396	1.07668599864613	0.562808246892889	0.407140135525313	0.700995480373027
C12orf4	5.50344721243278	8.04638417020098	3.7455521398495	3.35204729790063	5.62668858876192	6.11059294451895	3.53128680427886	9.52941719359104	2.87116266305635	5.62808246892889	4.88568162630376	5.14063352273553
THEMIS	0.91724120207213	0	0	0.223469819860042	0	0	2.01787817387364	0	0.717790665764087	0	0	0
LOC769491_7	3.66896480828852	0	0	0	0	0	4.03575634774727	0	6.10122065899474	0.844212370339333	0	0
POLR2L	140.888248638279	174.807696097616	101.129907775936	95.1981432603778	94.6306717200868	97.7694871123032	110.98329956305	190.376579045297	163.29737646133	77.6675380712187	98.935052932651	119.402896823539
MYH1D	243.435815029943	368.32323539095	1.77420890834976	37.095990096767	5.37093001654547	11.9717739321188	1298.00013534422	1.48235378566972	8.97238332205109	89.2051071325229	46.821115585411	2.33665160124342
L3HYPDH	1.46758592331541	3.41971327233542	1.77420890834976	3.12857747804059	1.79031000551516	2.86823750457012	3.02681726081046	3.38823722438793	2.5122673301743	3.65825360480378	4.88568162630376	2.33665160124342
ATE1	38.3406822466151	44.4562725403604	52.240595634743	56.5378644245906	51.6632315877231	50.505921276126	62.0497538466143	34.3059018969277	55.9876719295988	47.8387009858956	52.5210774827654	54.4439823089717
LOC121113493	0.733792961657704	0	0	0.223469819860042	0	0	0	0	0.358895332882044	0.281404123446444	0	0
LOC124418020	0.183448240414426	0	0	0	0	0	0	0	0.358895332882044	0	0	0
QPRT	41.4593023336603	137.190850101927	185.109129437825	155.534994622589	118.416218936217	67.8400522820063	129.648672671381	123.458893863635	94.7483678808595	58.5320576768605	62.6995808708982	131.787150310129
LOC112531536	27.1503395813351	24.541471719113	41.9896108309444	25.0286198243247	25.3200986494286	29.0564929810799	22.7011294560784	33.2470777643065	27.6349406319174	21.3867133819298	21.1712870473163	39.9567423812625
ADGRL3	76.6813644932301	90.119502706251	96.5958183434871	138.774758133086	109.976186053074	76.0706468603379	80.7151269549455	115.200065629189	143.199237819935	65.2857566395751	92.8279508997714	122.907874225404
