genes	median
C4orf33	0.537251664451368
C12orf4	5.66022379914368
THEMIS	0.537988895343179
LOC769491_7	3.58883323445789
POLR2L	59.4757607520269
MYH1D	7.05687881194694
L3HYPDH	2.68443058638082
ATE1	47.9763963406913
LOC121113493	0.949071569930727
LOC124418020	0
QPRT	74.1219518534198
LOC112531536	24.3868728786925
ADGRL3	106.446430950852
WIPF2	62.1635989246536
LOC121111076	0
GGA2	9.56428320724962
TNFAIP6	7.55775323857571
CREM	18.2340623036973
SLC44A1	6.80462393563451
HPD	50.5225814622215
FUT9	32.3280794873256
CLTC	330.090938956116
TLR2	2.68010056201599
WIPF3	6.96928467602898
TBC1D16	12.0203537549884
LOC121111488	22.5635513643218
LOC121109331	0
CRH	6.12858553328359
MTHFSD	11.0714403334612
C17orf58	20.5399156103561
YIPF5	55.6096262896807
LOC121113482	0.134948240606661
ERCC8	3.84180961948818
ADARB1	36.7029550715147
DOCK2	10.1145502028333
LOC112530599	0.1228830759306
GPR137B	15.7619810779195
LOC101748987	34.4766601230889
LOC121108744	4.73281436536205
MMP13	1.28710680556894
TRHDE	2.25542601016199
ARMC1	143.142888196346
GGPS1	13.3993556822166
PTPRC	23.3562697202287
CYTIP	5.02898973730522
LOC121107349	0
SORCS2	4.38735068976366
ABCC5	188.683149479138
LOC100859848	80.0470812752754
FAM105A	14.7515515358073
C12orf45	33.6046456199134
FAM183A	3.41977396442152
APOD	544.896760306463
IL31RA	0.938566445983358
GRN	76.2134715096281
LOC124417152	2.59668538217352
RICTOR	13.6329916508016
SDE2	217.760243637606
LOC107056510	3.81744067676779
FGF22	0
LTK	1.57004319464508
C3orf18	5.55253799194749
UBE2Q1	20.5359041610294
LOC121107691	2.52417186070783
STMN2	616.83991275939
CD48	43.1296069764444
CHAF1A	16.2623918452297
LOC101747868	0
PHF2	12.5086928334998
MIEF1	31.6564899315174
LOC121106438	107.896268417214
OPTN	129.795726380222
GUK1	21.5441962599916
NUAK2	6.03142396628253
KIF7	9.87919789266097
EEFSEC	15.8908390595817
KDSR	63.7267763527487
LOC107051953	29.0557716454753
CAB39L	41.2265503952991
RGS7BP	5.65540436770607
ZNF341	3.3980070391256
BTN3A3	0.773493949611782
FAM151BL	16.3892128569494
CENPH	10.8523194770971
ANKRD26	12.23748135537
C2H8orf82	121.050883133045
LOC121108635	0.240915253652958
GCNA	0.481523953636389
VLDLR	26.8405255436431
SLF1	20.3224650848359
PIEZO2	4.48807691257289
ZC3H8	4.49282183667877
PHGDH	40.2061052067195
NYX	0
UNC45A	17.4924574724685
SLC38A4	28.5262857465599
SNAP23	33.1490762984565
LOC101749934	1.98847845251592
LOC121106468	0.1228830759306
MAP2K2	10.9954044842383
TBX2	23.2507507462558
