genes	median
C4orf33	1.09951990239113
C12orf4	5.32204036758415
THEMIS	0
LOC769491_7	0
POLR2L	106.056603669493
MYH1D	24.5338820144429
L3HYPDH	2.94752738269029
ATE1	51.951913611233
LOC121113493	0
LOC124418020	0
QPRT	120.937556399926
LOC112531536	26.2352191153818
ADGRL3	94.7118846216292
WIPF2	58.9992209739604
LOC121111076	0
GGA2	10.2763565883849
TNFAIP6	5.14437840356977
CREM	13.9761965569929
SLC44A1	7.55671073578169
HPD	14.8343032183273
FUT9	11.3689439282809
CLTC	416.833662863818
TLR2	3.81235483828386
WIPF3	13.9776062655603
TBC1D16	14.2571642038315
LOC121111488	17.6817896869495
LOC121109331	0
CRH	11.7809097767329
MTHFSD	11.9053348389325
C17orf58	10.3036161972505
YIPF5	142.684957624387
LOC121113482	0
ERCC8	6.36579881014571
ADARB1	39.9438439354209
DOCK2	3.46243174486302
LOC112530599	0
GPR137B	12.984762921237
LOC101748987	11.519718729011
LOC121108744	0
MMP13	0.246584474985345
TRHDE	0.970229330886246
ARMC1	83.9739595869508
GGPS1	11.6982455894499
PTPRC	15.6760615977268
CYTIP	5.25999036241729
LOC121107349	0
SORCS2	3.16858687756282
ABCC5	166.69258015153
LOC100859848	106.130242458424
FAM105A	19.0089676445951
C12orf45	34.5645825166654
FAM183A	5.28507791411664
APOD	546.80763537928
IL31RA	0.766035468407356
GRN	83.8348337970945
LOC124417152	2.12628818623703
RICTOR	12.3764788921816
SDE2	228.521347341228
LOC107056510	7.74309283543716
FGF22	0
LTK	1.17188710635604
C3orf18	5.1759217790896
UBE2Q1	11.0635737168317
LOC121107691	3.14196917250648
STMN2	502.160167900727
CD48	47.0338997665155
CHAF1A	21.891042722688
LOC101747868	0
PHF2	10.4092506660848
MIEF1	43.3660495626957
LOC121106438	111.121993105442
OPTN	145.130298488624
GUK1	20.5786675710206
NUAK2	5.52393320583152
KIF7	18.7450967952241
EEFSEC	34.3948207130038
KDSR	38.8708338637544
LOC107051953	15.6963337760067
CAB39L	47.7685527963827
RGS7BP	13.2138149545915
ZNF341	4.76117967172832
BTN3A3	0
FAM151BL	33.5444088421843
CENPH	10.7551412619117
ANKRD26	14.1292247747233
C2H8orf82	65.2065637329694
LOC121108635	0.519171304585002
GCNA	1.04281254279147
VLDLR	41.6210279733051
SLF1	24.1044708553881
PIEZO2	3.54661332584387
ZC3H8	3.76581989590995
PHGDH	79.6558858651817
NYX	0
UNC45A	16.6550564998008
SLC38A4	30.6360299402742
SNAP23	80.997348334338
LOC101749934	1.30561871597242
LOC121106468	0
MAP2K2	30.9421724213873
TBX2	27.3571766672986
GPR37L1	102.723244906028
KCTD20	40.4708809377944
GSPT2	37.8443244930041
KREMEN1	3.48442861770912
RANGAP1	10.3902009169653
BOK	9.07431532366508
KLHL40	1.07019169408301
POLE	7.08465508442109
LOC121109633	0
CENPX	146.163552750695
HINT2	248.298998194761
LOC771161	15.4241933368857
LOC107049779	0
LOC121107493	30.5180910717956
ATG5	23.6739390713798
GPSM2	5.91403771102516
LOC121106916	499.765835802451
TDP1	10.6197059929886
HELZ2	6.54718904130096
KLHL18	91.2663202871584
CYP4V2	10.835828594155
SIVA1	12.3105308300833
IL20RA	2.31803005647955
LOC107051944	0.646199224911474
CD2AP	70.2124821870478
SARS1	124.237580513404
FLT1	27.3684245905497
IFNAR2	33.0141847164316
SMIM18	6.59617368055465
LOC124417102	0
C1QTNF5	25.0367934055291
COX5A	349.686910102078
RNF44	3.30658209968856
SLC29A1	37.7654059179255
UPP1	2.99733096443303
LOC112533452	0
LOC101748231	2.56293054398324
ESCO2	5.43458058313569
DZIP1	2.44607964635818
SNX9	23.3045341981494
LOC769554	0.607466430873886
LOC107054991	3.91348494697651
LOC101748762	0.501646728653345
RAB39B	9.79189328521169
LOC107049364	0
LOC121107026	0
PDZK1IP1	6.08247797566262
SYT4	57.9516092703444
SGK3	93.1072361050483
INHBB	2.49025786790125
LOC420562	20.1121970696808
GATA4	0.694100062672106
KDF1	4.90602097479691
MRPL55	58.000809041395
MFN2	198.183144018668
LOC100859213	0
RHOA	502.661042781643
LOC121107241	0
TMEM258	208.910805506223
LOC427873	0
TMEM266	4.74673491479358
GTSF1	61.6533467156066
MIR1632	0
LRRC75B	105.463742232061
YAE1D1	3.63956324069711
CFL2	120.230823335416
NOP16	73.5783894978332
P2RX5	8.16054165742912
DECR1	53.0238657133452
FEM1A	72.8563085251703
GGT2	42.1151692189214
SIK2	26.4196374066542
RPH3A	206.485506563403
TERF1	12.1890024513992
RAD50	74.9676607556814
SOBP	1.3455791500666
LOC121107460	0
TMEM200A	8.60699919198797
SFXN2	7.95197547212519
LOC424588	6.18415969072521
SLC28A2	0.49709490622739
LOC768829	29.8232670790691
UMAD1	41.1951799530897
MSH3	10.3464276677226
DNAJB6	117.859678907876
B3GNT7	5.1496440476474
RARS	32.141576431609
LOC418667	0
ABI1	115.684866906788
LOC107050692	28.4103403246208
ACER2	8.87853278373412
CCAR1	59.496627956102
MAGI3	22.9378704919059
LOC121109525	111.867668184024
CSMD1	10.3355461922623
LOC107053484	0.951456408910999
CNKSR2	27.9511105801522
