genes	median
C4orf33	0.680965944977731
C12orf4	3.79745180242483
THEMIS	0.11889279470037
LOC769491_7	1.47348228227079
POLR2L	173.237068514753
MYH1D	85.9367680027506
LOC107053458	0
L3HYPDH	2.35624315971988
LOC121110503	0
ATE1	43.2229737359611
LOC121113493	0.422717372768554
LOC124418020	0
QPRT	10.9042357135627
LOC112531536	21.5866847303454
ADGRL3	23.4575743570278
WIPF2	51.376296138673
GGA2	9.88936431960368
TNFAIP6	2.12748186360392
CREM	32.9803731111373
SLC44A1	9.14567007535434
HPD	30.4394735233282
FUT9	0.519328263801324
CLTC	139.906641034703
TLR2	0.751933323524663
WIPF3	5.6987921719698
TBC1D16	9.12496900692137
LOC121111488	14.7776275053481
CRH	0.286252843582415
MTHFSD	9.59309266993377
C17orf58	0.286252843582415
YIPF5	71.9760620565806
LOC121113482	0.212740352833898
ERCC8	5.54010624863025
ADARB1	23.8217367173732
DOCK2	4.2011299987229
LOC112530599	0
GPR137B	4.17487121343271
LOC101748987	1.10666451246362
LOC121108744	0.900773256385751
TRHDE	0.11889279470037
ARMC1	84.63548596868
GGPS1	8.32399424136524
PTPRC	17.6948729820795
CYTIP	6.98466528089242
LOC121107349	0
SORCS2	0.727877769030287
ABCC5	96.8899487823231
LOC100859848	7.60976440036124
FAM105A	6.07780112991675
C12orf45	19.4496884525835
FAM183A	0.11889279470037
APOD	7.3801345858987
IL31RA	1.28739842731926
GRN	72.486763929687
LOC124417152	0.915572885297342
RICTOR	11.110109819713
SDE2	217.361124735797
LOC107056510	0.78018016007475
FGF22	0
OR52B2	0.0938475581335278
C3orf18	0.91153026844324
UBE2Q1	15.3297204393553
LOC121107691	2.86483536829408
STMN2	10.5393047033778
CD48	36.2724263878386
CHAF1A	17.2598417263089
LOC101747868	0
PHF2	13.8232609254405
MIEF1	56.7277020441304
LOC121106438	108.752619406812
OPTN	76.326775509841
LOC101752312	0
GUK1	7.7332133262373
NUAK2	0.647317777195617
KIF7	18.5934436643096
LOC121109327	0
EEFSEC	24.2291174371944
KDSR	22.8248418489297
LOC107051953	27.1547808818148
CAB39L	11.209142724239
RGS7BP	11.1914252765518
ZNF341	5.42019694555167
BTN3A3	0
FAM151BL	18.4763022557927
CENPH	18.3844876978982
ANKRD26	8.0751607184495
C2H8orf82	75.6524817227906
LOC121108635	0
GCNA	1.23258799074572
VLDLR	90.500511038584
SLF1	12.3444739063063
PIEZO2	3.1949152656494
ZC3H8	2.07737482534494
PHGDH	17.1739060135375
NYX	0
UNC45A	18.8227319491312
SLC38A4	6.83492130567106
SNAP23	131.326359575491
MAP2K2	21.1644952757481
TBX2	55.4780451447029
GPR37L1	1.32524795909737
KCTD20	28.3604500675607
GSPT2	36.5208000591399
KREMEN1	0.882294184271462
RANGAP1	12.6543602833755
BOK	11.9379199399132
KLHL40	1.73178881612905
POLE	3.19429310552068
LOC121109633	0
CENPX	53.5110863937277
HINT2	172.066246772073
LOC771161	13.9053121964126
LOC107049779	0
LOC121107493	14.4487745025342
ATG5	17.0962187451751
GPSM2	2.36710545866478
LOC121106916	599.134954373377
TDP1	3.75966661762331
HELZ2	5.58700409580745
KLHL18	39.4765731173008
CYP4V2	33.1598795059529
SIVA1	13.2263111337395
IL20RA	6.79049603664068
LOC107051944	0.551266213656299
CD2AP	68.3821921993114
DNAJB8	0
SARS1	39.9264058395306
FLT1	17.9998804130292
IFNAR2	26.5725350085463
SMIM18	0.519651883471066
LOC124417102	0
C1QTNF5	29.5594581452279
COX5A	791.026302983305
RNF44	2.34364243520814
SLC29A1	58.8171833198821
UPP1	2.28872826998036
LOC112533452	0.129746643077353
LOC101748231	2.39595745180309
ESCO2	3.00773329409865
TRNAI-AAU	0.212740352833898
DZIP1	2.02700442950776
SNX9	37.1891543974333
LOC769554	1.54979183396407
LOC107054991	1.82128214241149
LOC101748762	0.380896522600005
RAB39B	1.41953293655367
LOC107049364	0
LOC121107026	0.324883600190698
PDZK1IP1	9.82757851168586
SYT4	1.10777267957956
SGK3	18.5940104315131
INHBB	0
LOC420562	132.667357712542
GATA4	175.827428711057
KDF1	0.7469522983278
MRPL55	59.2277512620459
MFN2	186.333586917601
LOC100859213	0
RHOA	346.471685946172
LOC121107241	0
TMEM258	296.935527105821
LOC427873	0
TMEM266	1.57667916027893
GTSF1	6.48488115359469
LRRC75B	2.06560376662537
YAE1D1	2.94804173883878
CFL2	221.812896005502
NOP16	36.8216518927659
P2RX5	11.8796324909013
DECR1	176.213404725297
FEM1A	73.7792333700685
GGT2	3.53962453452566
SIK2	30.6334408128305
RPH3A	7.98181302388125
TERF1	7.41816414825534
RAD50	55.9523079692849
SOBP	0.994557751110894
TMEM200A	3.71093376823355
SFXN2	7.75227998646188
LOC424588	3.71575168666894
SLC28A2	0.542169494962377
