genes	median
C4orf33	1.63413312212177
C12orf4	2.18734014018835
THEMIS	0
LOC769491_7	3.61474572091572
POLR2L	75.5307724035287
MYH1D	3.67169031398247
L3HYPDH	11.0550024199524
ATE1	39.1385675943713
LOC121113493	0.372173158486381
LOC124418020	0
QPRT	150.885934381313
LOC112531536	64.0809793225956
ADGRL3	71.5370092805678
WIPF2	46.7946246278182
GGA2	14.6601868202938
TNFAIP6	0.252689756181043
CREM	30.537294292985
SLC44A1	14.3271011084235
HPD	143.616837148803
FUT9	1.52048868632997
CLTC	216.917349944212
TLR2	0.252689756181043
WIPF3	14.4885563002587
TBC1D16	7.87023166136643
LOC121111488	21.4242606809321
CRH	0
MTHFSD	7.40933967256222
C17orf58	0.615991575118566
YIPF5	45.5564342478883
LOC121113482	0
ERCC8	4.09965534921587
ADARB1	21.7906043999912
DOCK2	6.46734463014254
LOC112530599	0.478483346335387
GPR137B	7.06374360914733
LOC101748987	3.01600538503178
LOC121108744	2.12287054289759
TRHDE	1.20141364691064
ARMC1	85.1364265494907
GGPS1	13.3101233106092
PTPRC	14.3779044872664
CYTIP	10.4701749297906
SORCS2	1.33142029184135
ABCC5	75.5510223645632
LOC100859848	4.50168360117824
FAM105A	10.3462176957679
C12orf45	26.4602201982294
FAM183A	0.100777871810849
APOD	12.1198394076248
IL31RA	0.64644546359347
GRN	113.197063175087
LOC124417152	4.89556770745288
RICTOR	11.1074426397282
SDE2	290.934553778759
LOC107056510	3.10468446824384
FGF22	0.324323361641779
OR52B2	3.67113352611893
C3orf18	0.628029006494383
UBE2Q1	19.3291220122685
LOC121107691	3.97269855381018
STMN2	14.908534619583
CD48	28.9507109903472
CHAF1A	12.8175060009296
PHF2	6.75641329716443
MIEF1	35.380203091373
LOC121106438	92.754419651409
OPTN	49.5735832393793
GUK1	14.8449591755805
NUAK2	29.5286758594212
KIF7	7.81258356424829
EEFSEC	23.060569732515
KDSR	87.2301509056574
LOC107051953	40.164443688953
CAB39L	4.16003007212756
RGS7BP	0.777732160676299
ZNF341	3.23222731796735
BTN3A3	0.320750072531634
FAM151BL	10.6978365254242
LOC107055143	1.7988559515453
CENPH	19.9762975545579
ANKRD26	6.01167019059167
C2H8orf82	149.39427849518
LOC121108635	0
GCNA	0.400082339033399
VLDLR	10.0646307580157
SLF1	14.2971657263014
PIEZO2	2.57904223305069
ZC3H8	1.86042599184344
PHGDH	118.371712335357
NYX	0.371076934765493
UNC45A	11.9446911773353
SLC38A4	2.47933944402662
SNAP23	114.423003907394
MAP2K2	10.9691999123963
TBX2	124.553047168401
