genes	median
C4orf33	1.69945027398157
C12orf4	3.58126562397711
THEMIS	0
LOC769491_7	0.692784477550997
POLR2L	152.576393892499
MYH1D	3.255211991816
L3HYPDH	8.49976765882206
ATE1	39.8674883569761
LOC121113493	0.449403343688831
LOC124418020	0
QPRT	123.674785871567
LOC112531536	54.1160168786803
ADGRL3	64.8224927945306
WIPF2	47.3955524243902
GGA2	13.2505753081045
TNFAIP6	0.295557211538679
CREM	29.2140172992516
SLC44A1	11.9952463553497
HPD	106.979825953608
FUT9	0.119101926897012
CLTC	231.146674158151
TLR2	0.24111050054191
WIPF3	21.626922499977
TBC1D16	8.19485037167704
LOC121111488	15.4745344531463
CRH	0
MTHFSD	9.33751690838404
C17orf58	0.119101926897012
YIPF5	113.859596221954
LOC121113482	0
ERCC8	5.28009142636271
ADARB1	18.7110258222329
DOCK2	2.51061035410982
LOC112530599	0
GPR137B	7.98725311386779
LOC101748987	0.651042398363201
LOC121108744	0
TRHDE	1.96042836411928
ARMC1	47.8865652483583
GGPS1	11.9393297469464
PTPRC	13.4632230655846
CYTIP	8.68110145832611
SORCS2	0.271559736809623
ABCC5	59.467987299778
LOC100859848	5.17045211699984
FAM105A	18.7827900849047
C12orf45	26.0876924741503
FAM183A	0.29808734687039
APOD	8.98715416301111
IL31RA	1.288503797754
GRN	152.230808312728
LOC124417152	4.26695557443755
RICTOR	10.0276872760557
SDE2	247.48767090485
LOC107056510	1.90091815766736
FGF22	0.243991653569726
OR52B2	5.95971199471752
C3orf18	0.469213469535065
UBE2Q1	15.6541989356954
LOC121107691	4.59825075517588
STMN2	8.04393293243712
CD48	27.658369508452
CHAF1A	14.4977412876108
PHF2	7.51106633321698
MIEF1	44.7272607568725
LOC121106438	140.36940830763
OPTN	85.4897240407744
GUK1	13.7160878414185
NUAK2	17.6029596519718
KIF7	11.5720264858378
EEFSEC	32.5421665759596
KDSR	64.5908430129195
LOC107051953	35.1270556289267
CAB39L	3.02644751753203
RGS7BP	0.547440953120322
ZNF341	3.79146608227749
BTN3A3	0
FAM151BL	20.2831732385738
LOC107055143	1.9182653165454
CENPH	25.6880370433496
ANKRD26	7.97687970075232
C2H8orf82	74.9977037645126
LOC121108635	0.302447526650196
GCNA	1.18886551639225
VLDLR	12.944656944401
SLF1	16.559924442878
PIEZO2	2.89512083552758
ZC3H8	2.4211212043728
PHGDH	257.814894491533
NYX	0
UNC45A	15.2802637897502
SLC38A4	1.11090480002889
SNAP23	237.345875922512
MAP2K2	28.112477145187
TBX2	146.108905571286
GPR37L1	1.33255642897126
KCTD20	18.6828334329127
GSPT2	36.4361820242443
KREMEN1	0.817123103447939
RANGAP1	12.0419008112472
BOK	12.2288426390922
KLHL40	0.38365306330908
POLE	4.05330099493173
CENPX	82.7617381642321
HINT2	263.834385768528
LOC771161	22.9044459126441
LOC107049779	0
LOC121107493	28.0238436820188
ATG5	15.5043945999932
GPSM2	3.63169918263563
LOC121106916	416.437581777201
TDP1	6.6945584024858
HELZ2	4.48565259405324
KLHL18	58.5505548553869
CYP4V2	229.67144965825
SIVA1	16.1450493560046
IL20RA	10.6568518011982
LOC107051944	0.727288851547024
CD2AP	112.186134828861
SARS1	43.9966321984936
FLT1	21.1015287675389
IFNAR2	22.2798433028943
SMIM18	0
LOC124417102	0
C1QTNF5	6.37500430342745
COX5A	460.119227000299
RNF44	1.78597134567283
SLC29A1	14.4879365815757
UPP1	22.052358840338
LOC112533452	0
LOC101748231	4.11971596199235
ESCO2	4.92767735392436
TRNAI-AAU	0.26217481800743
DZIP1	2.06697374571804
SNX9	49.3044754799221
LOC769554	93.2373780663574
LOC107054991	1.77295427468702
LOC101748762	0.288192446452585
RAB39B	2.0971728419407
LOC107049364	0
LOC121107026	0
PDZK1IP1	740.124008827465
SYT4	0.524349636014859
SGK3	40.510688620907
INHBB	0.272069718425235
LOC420562	75.3857313159471
GATA4	0.775488727270688
KDF1	28.730330408397
MRPL55	78.61981402048
MFN2	116.0533497433
LOC100859213	0
RHOA	531.183340409266
LOC121107241	0
TMEM258	247.440250993575
TMEM266	23.1824867317356
GTSF1	10.5784517115989
LRRC75B	21.4045960446825
YAE1D1	4.02019900198559
CFL2	41.3117763750615
NOP16	55.1051785270988
P2RX5	0.810104327204855
DECR1	353.213594324703
FEM1A	41.5450305291238
GGT2	207.09875162707
SIK2	18.754785051454
RPH3A	4.15467272234776
TERF1	8.06709917725497
RAD50	46.4292793567009
SOBP	0.225087606753665
TMEM200A	5.11275010434616
SFXN2	268.567626077299
LOC424588	12.6417948879712
SLC28A2	25.966017510886
LOC768829	5.74546949361304
UMAD1	11.3182931331416
MSH3	11.6014079323189
LOC121108930	0
DNAJB6	77.0200242700906
B3GNT7	18.0793673595598
RARS	39.1024247084784
ABI1	76.321646685132
LOC107050692	36.1638740936468
ACER2	4.78418416392377
CCAR1	59.5160870603201
MAGI3	10.645196517355
LOC121109525	132.026388264615
CSMD1	0.330500097785635
LOC107053484	5.33417335520241
CNKSR2	7.2358995322871
TBC1D2B	16.438024122806
BHLHE41	10.878055573933
LOC124416952	0.281454637227428
LOC101747373	31.8590655145329
CRB1	0
SAP30L	6.08193319573261
CLCN4	0.579895528834246
NOP56	20.5342774585507
LOC121110843	0.103079033108766
GNAI1	19.8714034449589
HOOK3	41.7630393796329
SMCO4	14.3713782260673
SLC22A23	6.33155853007105
LOC420808	68.758014469511
PEMT	93.3876605713184
LOC419171	0.262659305902971
HAX1	14.9555601159738
RALGPS1	14.7736703508162
ANOS1	3.9920488747954
SLC51A	109.002682795911
MPHOSPH9	1.00342946012342
APOF	1.84097262771641
RBM44	0.976563597544801
LRRTM4	0.739140625167412
DUSP29	1.29162258291758
LOC107052441	0.604895053300392
LOC124417568	16.2507506967179
RNF7	112.80263734904
TMC6	2.38469877496312
PRR11	1.27544166088805
LRBA	11.0848669963103
LOC121106512	3.65797439320121
DPAGT1	54.1617942400255
CDH20	0.894262040611171
RBM10	115.629438471991
LOC770839	0.112598161122635
LOC107052041	0
LOC124417811	0.269163071677348
DRG2	7.95654084508312
RNF19AL	8.96981205214789
C1GALT1C1	52.0879324699916
TXNL4B	9.34010224043712
GNG11	168.002843394976
SERHL	34.4175229553278
NECAP2	70.5865574140387
HEATR3	12.0642449673391
GPR171	0.3255211991816
LOC121110263	3.39011033416256
PSMA1	65.1403194042229
COL9A1	2.79623045592093
ZIC1	0.591114423077359
LOC107051508	126.231170840646
ENOPH1	75.8017795368625
SKIV2L2	95.197681375409
KCTD10	15.9693050307641
TMEM200B	0.862499566776076
SLC25A37	7.6547920649934
PXDC1	6.69960613543504
PLLP	3.20925566454601
UBE2E3	33.0967202435222
MSTN	1.18222884615472
DAB2	184.969001145962
LOC124417527	0.514675576797743
RGS17	0.692784477550997
ATF3	24.8258153839662
GATAD2B	5.91015384549073
HMCES	40.2590738732767
VWA5A2	0.664515880377391
IFNG	0
IRF2	26.0668593922694
LOC121108973	5.45440226928537
SGO1	0.253402066091989
MXRA5	0.775488727270688
HRAS	137.588804363315
WDR24	13.25862601838
RAB24	14.8391093454597
ACTR1A	99.942344971727
SMPD1	49.4967441793168
IGF2BP2	29.3211569312543
HYPK	357.66843607016
LOC107055012	3.25112932692547
SDCCAG3	5.87586119608457
DHRS7	705.276009179918
USP28	2.28505571899826
LOC121108161	0
LOC112530360	0.5818116306577
HSP90AA1	784.392657987571
LOC124417906	0
SLC38A2	225.259499462584
NDUFAB1	10.7317777685136
ABHD17C	11.0710417372645
LOC422426	9.48745713930168
ZNF608	4.04504813866964
PIP5K1C	10.0776637846023
CUL4A	40.5118306474441
NELL2	8.92610588230261
MLANA	0.657428070251708
PCBP2	68.4477926850385
MALRD1	0
WDR7	12.8728119152548
RERG	4.01757131059913
TBC1D30	18.7625733197075
PICALM	24.2398865309979
SAFB	11.5903949045843
LOC112530292	0.856394738705226
PLPP1	44.599083503358
KIAA1958	6.54462785950674
LOC107051795	73.8504429343589
NES	3.57652054887762
LOC112532161	2.36387246350455
RCC1	13.6129558632428
NCBP2	164.043070589112
LOC112531798	6.73639480944015
ATP6V1A	19.0781020272037
PABPC1L	0.278924501895717
LOC121108765	0.796232399296312
PSD3	0.41569885088557
METTL15P1	10.3571011372017
ZFYVE26	8.07995873386109
RFWD3	1.81289735467065
LOC107054646	2.5147772508343
HSD3B1	1.88677708165467
LOC422147	3.28484194039367
LOC107053079	0
PDZRN3	21.2179938257207
LOC107049543	3.56959264950812
RPS7	285.065084705478
N4BP2	23.5566083624644
PCDHA1	0.62564842369104
TAF12	43.8279550069487
TTC28	1.74077031945385
ARHGAP18	30.0129572670571
KPNA5	18.0505820999874
GON4L	3.85486136192267
LOC107052490	1.3615937642798
MFSD11	29.9062159031074
CEP19	3.56284332853582
WDR75	10.2850309383736
WDR1	106.694027537539
ZFYVE9	8.78276375275196
TBC1D13	115.10333998235
SDK1	19.6264310841215
UBE2V1	60.9657572155972
SERAC1	5.54263486571604
ZNF804B	0.20932140339966
MAT2L	2.89527007121863
RARS2	2.05089257798018
LOC121106872	0
RSAD2	7.00403518010903
ERMARD	6.91012424527336
CYB561	0.287697253811157
DESI2	0.0902194765026489
COMMD3	45.9522032165275
EGFL7	46.5400535324716
PBDC1	15.0462887175387
NPHP3	7.62898470321124
LOC121111422	0
LOC101750768	8.03377087935482
CRISPLD1	14.0466995743658
KLHL28	9.78368071416099
NDUFAF7	30.6363701412282
LOC121107689	0.83281486552266
CARF	2.53104669938408
ELFN1	0.327556141871884
LDLRAD4	13.3144845118333
CBLB	17.8413632492966
MAN1A2	14.8589269595265
BAZ2A	37.7974565624657
SEC22C	15.4175423797192
SLC16A7	89.089016209494
SLA	0
VPS50	16.8740231604953
LOC121109670	0.215677194231401
KLHDC8B	0
RAB18	97.075309168598
LRP1B	1.11818199508168
VPS8	31.9550297890157
CLDN10	325.276636524762
RNF10	26.9428502775024
TBL3	10.0251445512443
BRPF1	5.04607050497991
SLC25A13	54.3507854383691
TPPP2	0
