"genes","group","lib.size","norm.factors"
"fast-brain","fast",2401558,0.928500810305207
"slow-brain","slow",6071179,0.897869898559818
"slow-brain.1","slow",4588650,1.0833637365966
"slow-brain.2","slow",5043058,1.00587448256761
"slow-brain.3","slow",4471429,1.0007711610842
"fast-brain.1","fast",4519065,0.937391467845265
"slow-brain.4","slow",3768981,1.03739906704247
"fast-brain.2","fast",3592005,1.03149195481075
"fast-brain.3","fast",2950179,1.12976926822765
"fast-brain.4","fast",3333828,0.983376210827371
"slow-brain.5","slow",7385839,1.08570762843074
"slow-brain.6","slow",2075839,0.954929657231573
"fast-brain.5","fast",2279613,0.930342382196373
"slow-brain.7","slow",4566069,1.03419802284723
"slow-brain.8","slow",2781026,1.00190637532818
"fast-brain.6","fast",1974536,0.940796380893944
"slow-brain.9","slow",3470047,1.02408071069134
"fast-brain.7","fast",1881425,0.99585981748951
"fast-brain.8","fast",3155027,0.95026500044214
"fast-brain.9","fast",3011467,1.06996783229985
"fast-brain.10","fast",1851835,1.00712456896142
"fast-brain.11","fast",4099155,0.992621299706687
"slow-brain.10","slow",2427625,1.0117529558668
"slow-brain.11","slow",4276017,1.00084451560539
