"genes","group","lib.size","norm.factors"
"fast-breast","fast",1551415,1.03104635572359
"slow-breast","slow",3348823,0.892896008514512
"slow-breast.1","slow",3739677,1.06046630553957
"fast-breast.1","fast",3542226,0.923567574094359
"fast-breast.2","fast",3862543,0.899746276960124
"fast-breast.3","fast",3180790,1.01365338741667
"slow-breast.2","slow",2737857,1.20117135797398
"fast-breast.4","fast",3370831,0.956135434744295
"fast-breast.5","fast",3570513,1.17807503914915
"slow-breast.3","slow",3957562,1.09533783989017
"fast-breast.6","fast",2557562,1.03512278539066
"slow-breast.4","slow",4480818,0.853311203132097
"slow-breast.5","slow",2715542,0.903402827153446
"fast-breast.7","fast",2085492,1.0273015849725
"slow-breast.6","slow",3342753,0.952723299499533
"slow-breast.7","slow",3836822,1.00479583828877
"slow-breast.8","slow",6129642,1.07914193639738
"fast-breast.8","fast",2863182,1.143691902776
"slow-breast.9","slow",4822701,1.11743034531427
"fast-breast.9","fast",5373976,0.909177926580039
"fast-breast.10","fast",3794017,0.904653843936817
"slow-breast.10","slow",990978,0.98344520237316
"slow-breast.11","slow",6294255,0.981510088055532
"fast-breast.11","fast",2431157,0.954976653055887
