"genes","group","lib.size","norm.factors"
"fast-heart","fast",3157635,0.943018178635442
"slow-heart","slow",3467940,1.02302272137251
"slow-heart.1","slow",4229993,0.911033245236547
"fast-heart.1","fast",6280822,0.879603165170926
"slow-heart.2","slow",2553936,0.98108953257751
"fast-heart.2","fast",3613334,0.992924980156234
"fast-heart.3","fast",2110459,0.930337141316171
"fast-heart.4","fast",3541927,0.937096677482101
"slow-heart.3","slow",1343890,1.07385123756994
"fast-heart.5","fast",3010320,1.01152420766012
"slow-heart.4","slow",3787677,0.9083905032495
"slow-heart.5","slow",5266763,1.01158702772943
"fast-heart.6","fast",2575840,0.969243507214496
"fast-heart.7","fast",3335335,0.944108481587117
"fast-heart.8","fast",2162308,1.03945040429152
"slow-heart.6","slow",4035707,1.04206507458307
"slow-heart.7","slow",3722516,1.03072858610888
"slow-heart.8","slow",2680875,1.02845143698927
"slow-heart.9","slow",2515207,1.01872448095302
"fast-heart.9","fast",2655983,1.14794127873087
"fast-heart.10","fast",1622418,1.12547092525077
"slow-heart.10","slow",1643939,1.01434441208704
"slow-heart.11","slow",2099941,1.06692003604657
"fast-heart.11","fast",1681676,1.01957232859737
