"genes","group","lib.size","norm.factors"
"fast-leg","fast",1668130,0.918057674481542
"slow-leg","slow",5432016,0.941976123427176
"slow-leg.1","slow",4517850,0.92896422686828
"fast-leg.1","fast",1440313,0.97109135297197
"slow-leg.2","slow",2703013,1.03160153485574
"fast-leg.2","fast",2881544,0.935173278599836
"fast-leg.3","fast",3987998,0.959075311918756
"fast-leg.4","fast",3899407,1.10811829569386
"fast-leg.5","fast",2985126,1.23701013604452
"slow-leg.3","slow",3264339,0.915330808920202
"fast-leg.6","fast",1672239,0.918900390642075
"slow-leg.4","slow",2595336,0.974779901548481
"fast-leg.7","fast",3086466,1.03876973752239
"fast-leg.8","fast",3169802,0.980711191375085
"slow-leg.5","slow",2504167,1.66512958574428
"fast-leg.9","fast",2778353,1.0400586542936
"slow-leg.6","slow",3171845,0.927719433610151
"slow-leg.7","slow",2518670,1.15108812957391
"slow-leg.8","slow",4692014,1.01692930865761
"fast-leg.10","fast",1904627,0.906086227848185
"fast-leg.11","fast",2541930,0.884037113428442
"slow-leg.9","slow",3048292,0.904858194944811
"slow-leg.10","slow",3665237,0.900067581184557
"slow-leg.11","slow",4372392,0.986242837171783
