"genes","group","lib.size","norm.factors"
"slow-liver","slow",4410723,1.0929276129178
"slow-liver.1","slow",3964236,0.905245986794098
"slow-liver.2","slow",6074040,1.00710757621303
"fast-liver","fast",2021617,1.09883384445852
"fast-liver.1","fast",3995258,0.893623813251589
"slow-liver.3","slow",1635072,1.2127906394316
"fast-liver.2","fast",4573944,0.852485726778055
"fast-liver.3","fast",1911314,0.920506320370587
"fast-liver.4","fast",3467313,0.816273375126694
"slow-liver.4","slow",5975077,1.10296433622176
"fast-liver.5","fast",4208802,1.06667102222919
"fast-liver.6","fast",2816272,1.06687127928537
"slow-liver.5","slow",2412257,1.22305925506076
"fast-liver.7","fast",3647476,1.08810546048711
"fast-liver.8","fast",3872214,1.05565937662308
"fast-liver.9","fast",3615656,0.871162621599921
"slow-liver.6","slow",3866370,0.883551808358811
"slow-liver.7","slow",3058473,1.01595891505859
"slow-liver.8","slow",3823784,0.9174368482541
"fast-liver.10","fast",2066991,0.965699523662097
"slow-liver.9","slow",3135759,1.02606786438447
"fast-liver.11","fast",4217640,1.06692305472121
"slow-liver.10","slow",3132363,0.981977971666675
"slow-liver.11","slow",3028926,1.00175425506917
