genes	median
C4orf33	0.927115451837067
C12orf4	4.03144169478865
LOC769491_7	0.242801942996233
POLR2L	202.86628180468
MYH1D	7.35931176349459
L3HYPDH	1.59395462272568
ATE1	83.4750360105597
LOC121113493	0
QPRT	7.61080751063686
LOC112531536	25.8185754033218
ADGRL3	9.19387975575315
WIPF2	27.4771789637934
GGA2	7.86142289926121
TNFAIP6	1.42533013445657
CREM	37.0288216794072
SLC44A1	30.3622797109639
HPD	23.6356636405886
FUT9	0.0755886038780763
CLTC	57.9998131139259
TLR2	0.267382526402931
WIPF3	40.3705017125082
TBC1D16	45.0829892947621
LOC121111488	14.7896852014091
CRH	0
MTHFSD	13.8513910742105
C17orf58	1.89660739345643
YIPF5	29.7296363620019
ERCC8	2.8253176149742
ADARB1	14.5261958944452
DOCK2	0.845839029637578
GPR137B	1.25218067901456
LOC101748987	0.241421702034084
LOC121108744	0
TRHDE	0.151177207756153
ARMC1	78.0501117977232
GGPS1	15.5499429982006
PTPRC	6.25800008225387
CYTIP	4.1920485061718
LOC121107349	0
SORCS2	0
ABCC5	53.3053651824097
LOC100859848	4.34132099542692
FAM105A	0.796977311362842
C12orf45	25.8466035599251
APOD	10.0053174441106
IL31RA	0.492225834080172
GRN	33.6403428651284
LOC124417152	0.318867701123959
RICTOR	13.487375326672
SDE2	185.092300234775
LOC107056510	0.965801481464329
C3orf18	0.842138929130661
UBE2Q1	12.3550834419577
LOC121107691	2.81932191797491
STMN2	8.36059484810823
CD48	12.9634881024552
CHAF1A	11.9207582079268
PHF2	8.10960581276572
MIEF1	29.6717208705399
LOC121106438	84.2102786408736
OPTN	346.826762930526
GUK1	2.80256918032925
NUAK2	0.347430029109307
KIF7	8.08495297400217
EEFSEC	22.7721533249498
KDSR	30.1318679814395
LOC107051953	25.9168054680438
CAB39L	5.7531330202734
RGS7BP	0.618076967891378
ZNF341	2.80791789361768
FAM151BL	11.2720199640358
CENPH	8.04766912493795
ANKRD26	4.68260992144169
C2H8orf82	26.3409816313843
LOC121108635	0
GCNA	0.482156172574956
VLDLR	179.493536117741
SLF1	6.93464140348054
PIEZO2	0.917491360792504
ZC3H8	1.81302404365589
PHGDH	10.4288835154293
UNC45A	10.6977428670192
SLC38A4	9.9628725262028
SNAP23	108.206734618546
MAP2K2	27.0342267820826
TBX2	13.9287515482409
GPR37L1	1.07958329905682
KCTD20	110.36349607165
GSPT2	50.5261010564338
KREMEN1	4.01371876010805
RANGAP1	8.50498018969741
BOK	2.51677711751549
KLHL40	19.1368544433805
POLE	2.26043196089875
LOC121109633	0
CENPX	42.4313527052739
HINT2	235.308040845685
LOC771161	6.98190434485791
LOC121107493	21.1738860285926
ATG5	15.6448409368162
GPSM2	1.08392122552032
LOC121106916	200.391533502651
TDP1	4.65402128017233
HELZ2	1.60025098326127
KLHL18	60.1389926701731
CYP4V2	13.3680377697943
SIVA1	10.8887394171257
IL20RA	2.3107512772785
LOC107051944	3.79516193408817
CD2AP	30.9945956420752
SARS1	53.4592697472682
FLT1	6.58666783831976
IFNAR2	12.6297920785593
SMIM18	0.173715014554653
C1QTNF5	8.71929649850275
COX5A	403.988634596317
RNF44	1.50731497713119
SLC29A1	84.8811001202482
UPP1	0.799933550183577
LOC101748231	2.36744753081829
ESCO2	4.86257755014763
DZIP1	1.36790673842392
SNX9	21.843819981732
LOC769554	1.14325677490977
LOC107054991	0.556801421249174
LOC101748762	0
RAB39B	1.16139503236006
LOC121107026	0
PDZK1IP1	9.37620918020755
SYT4	0.691942497643323
SGK3	8.19872688611074
LOC420562	44.6115084219942
GATA4	1.13021598044937
KDF1	0.371028724845814
MRPL55	74.9694312758781
MFN2	271.173818820614
RHOA	248.91526080201
TMEM258	176.884450505672
TMEM266	1.1244846477873
GTSF1	8.52851608197669
LRRC75B	1.3183298466457
YAE1D1	2.32502533391395
CFL2	222.551996129827
NOP16	51.8475647715193
P2RX5	21.0577333883387
DECR1	56.1137528612848
FEM1A	265.28493042833
GGT2	2.86553574625264
SIK2	19.0233794157721
RPH3A	3.42456237456074
TERF1	4.06148024404089
RAD50	20.3212091483833
SOBP	0.130769135456373
TMEM200A	1.26450540589758
SFXN2	5.33981693810856
LOC424588	1.48250114999314
SLC28A2	0.847476737942784
LOC768829	0.948993607704575
UMAD1	24.9930440438526
MSH3	9.6983221922744
DNAJB6	42.5219821426436
B3GNT7	0
RARS	22.9019574467941
ABI1	30.4905676735062
LOC107050692	21.6744406681171
ACER2	1.1270101730044
CCAR1	66.5440024928368
MAGI3	3.9989750059954
LOC121109525	66.6303593310622
