,K1_ink,K1,K2_ink,K2,K3_ink,K3,O1_ink,O1,O2_ink,O2,O3_ink,O3
EP10_000001,2202,644,599,723,1745,309,1201,341,755,451,1620,757
EP10_000002,122,91,62,171,133,115,165,99,109,67,130,191
EP10_000003,336,588,409,412,596,704,691,325,344,334,536,522
EP10_000004,38,18,12,24,24,16,25,10,10,13,45,25
EP10_000005,125,60,65,65,135,32,68,31,50,23,110,77
EP10_000006,502,192,240,231,490,122,298,76,230,63,379,234
EP10_000007,395,228,272,236,445,133,257,89,210,133,277,287
EP10_000008,817,344,357,346,700,228,485,168,334,238,550,402
EP10_000009,371,162,129,161,326,114,230,70,161,106,225,163
EP10_000010,359,161,261,273,515,254,319,156,429,199,415,404
EP10_000011,71,68,48,99,62,63,59,64,62,74,73,102
EP10_000012,50,46,57,103,45,78,73,65,70,50,59,101
EP10_000013,66,76,43,85,40,64,54,59,61,47,41,84
EP10_000014,41,56,45,79,40,75,54,57,43,42,50,87
EP10_000015,26,26,26,20,15,33,12,25,18,22,24,26
EP10_000016,106,114,121,133,89,116,90,96,82,75,77,122
EP10_000017,34,27,45,41,32,40,22,26,33,32,26,33
EP10_000018,7,6,3,3,2,1,5,3,3,2,2,5
EP10_000019,2548,1594,10971,3888,4208,2518,1533,763,1538,1327,1150,1750
EP10_000020,214,146,590,400,350,255,252,121,214,160,164,212
EP10_000021,646,657,1913,1564,1097,981,1211,1057,1255,1166,796,1254
EP10_000022,152,205,179,148,271,228,301,178,279,145,232,231
EP10_000023,25,32,54,51,39,34,65,36,35,25,34,32
EP10_000024,48,56,32,49,47,23,36,40,36,34,25,51
EP10_000025,796,642,652,1015,915,1106,1051,603,930,440,983,991
EP10_000026,711,777,1111,1462,1511,1580,1819,954,1655,850,1469,1601
EP10_000027,36,74,96,122,97,142,116,82,143,73,67,132
EP10_000028,117,167,202,293,214,282,244,200,329,175,185,307
EP10_000029,1384,1835,1936,3102,2294,1776,1591,1482,2850,1458,2489,2905
EP10_000030,211,193,285,270,289,136,259,161,353,183,269,301
