"Genes","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"COPS5",441.324451128912,1.2057241490002,0.28094080211008,4.29173740497746,1.77280526330177e-05,0.000575874228638486
"CRELD1",283.194784525547,1.77392729519002,0.31109368286812,5.7022285982645,1.18251096444609e-08,1.34081125298844e-06
"INTS13",131.474881698778,1.91384686783983,0.338747790863846,5.64976929579171,1.60663311498823e-08,1.73965075757149e-06
"SERPIND1",26.523197932636,1.41359934795225,0.349458278985162,4.04511620688281,5.22971762784517e-05,0.00138377187075754
"IRS2",1.59763909570765,3.3950578831978,0.836353411145658,4.05935796752136,4.9207828242862e-05,0.0013231071312102
"UNG",33.7936922540569,-1.06233304856922,0.262732394558709,-4.04340336620285,5.26808742384311e-05,0.00138691620858967
"KLHL36",54.688833889947,1.07211123340639,0.227259907179413,4.71755553679778,2.38695253692753e-06,0.000116621067241187
"GATAD2B",66.547049698524,1.91747990455364,0.313784007528862,6.11082737980924,9.91159290730584e-10,1.58836580203879e-07
"IRF7",16.8657466333715,-1.10856900345609,0.400251378772936,-2.76968191053998,0.00561110612518354,0.0408231746480514
"TGFB3",52.2333559314228,1.52076425898073,0.398764996828456,3.81368543145963,0.000136909713320199,0.00279849973536644
"P2RY6",16.1548880215166,1.22487035592622,0.39078802770675,3.13435998311947,0.00172229426004907,0.0177380074648927
"FAM208B",7.74607575316179,1.59092646647379,0.53363431420529,2.98130465774688,0.00287023095388668,0.0255414822510477
"ANKHD1",8.75744518341008,1.39587709135857,0.486636905621665,2.86841601044495,0.0041253271180588,0.0329013315407755
"YBX3",1578.12565973989,1.08814282446872,0.341537197486852,3.18601555694561,0.00144246840509461,0.0157038294935073
"LOC124417094",3.66092879285025,1.54372012419361,0.567474023288428,2.72033619309653,0.00652155743815212,0.0454391877386379
"CCDC12",194.679536939378,1.12455196382491,0.221933351758644,5.06707060887305,4.0398446046082e-07,2.7125638157981e-05
"KAZALD1",8.62074489536952,-1.35713203037475,0.418900414354643,-3.239748598639,0.00119635128490933,0.0138040698069965
"FAM46A",82.8044502151764,2.5226488703342,0.338581599953959,7.45063780984329,9.28900529090453e-14,7.97461104224154e-11
"SPRYD3",503.146257837876,1.03551434764077,0.236572233772712,4.37715927658547,1.20236111427816e-05,0.000415263742313484
"FOXK2",31.2550040166427,1.18551944322903,0.257634118484456,4.60156228609353,4.19333717659935e-06,0.000183940582210028
"FSTL3",11.7703067357712,-1.38372658497428,0.440933958285201,-3.1381719619773,0.00170005107680536,0.0175691435013961
"LOC112533248",6.10335096076007,-1.51939459981274,0.519517029651941,-2.92462905562632,0.00344867045563865,0.0290670197800287
"STX17",21.71308234871,-1.20933940831487,0.295350635776138,-4.09458881013379,4.22918283114225e-05,0.00117386536035847
"SEPTIN8",19.871805563617,-1.14240028213953,0.283896246756558,-4.02400628818156,5.72163882940931e-05,0.00146315695937597
"LOC100859022",2.07294579274676,1.79193377081114,0.641322884590021,2.79412104864568,0.00520409945642657,0.0388084144071612
"ZYX",315.502345335135,1.37248287557345,0.385423167942134,3.56097658296323,0.000369478037351999,0.00591312454185577
"PASD1",1.63281389475058,2.31045278578402,0.778650628068423,2.96725219565481,0.00300474384280961,0.0264571547595082
"KIF21B",4.98339166477512,2.3071579466482,0.661318407105697,3.48872482885457,0.000485330483682431,0.00710497817707568
"CNOT8",114.495061901332,1.01884347345948,0.193980619835172,5.25229517425609,1.50215471923125e-07,1.1426833905342e-05
"CUX2",2.20029372467056,2.00704194778326,0.63650370969522,3.15322898706168,0.00161475086978368,0.0169351576823124
"ADGRA2",11.2634815056794,2.80120635135915,0.5006505592479,5.59513277198223,2.20452996761907e-08,2.22657526729526e-06
"C7",127.860798131097,-1.29455942147762,0.341455999964297,-3.79129205992275,0.000149865593964236,0.00298217644678171
"PPCS",71.6543859010922,1.65639261986655,0.256898618100179,6.44765095318896,1.13597008977568e-10,2.43807580518106e-08
"LEPROTL1",199.521563973884,1.05393236973781,0.286810630245639,3.6746628562378,0.000238163693427251,0.00424072508341056
"PKIA",3499.1709865801,1.03816132627766,0.306097962298744,3.39159829252454,0.000694862343169588,0.0091674538996216
