"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CRELD1",283.194784525547,1.77392729519002,0.31109368286812,5.7022285982645,1.18251096444609e-08,1.34081125298844e-06
"INTS13",131.474881698778,1.91384686783983,0.338747790863846,5.64976929579171,1.60663311498823e-08,1.73965075757149e-06
"IRS2",1.59763909570765,3.3950578831978,0.836353411145658,4.05935796752136,4.9207828242862e-05,0.0013231071312102
"GATAD2B",66.547049698524,1.91747990455364,0.313784007528862,6.11082737980924,9.91159290730584e-10,1.58836580203879e-07
"TGFB3",52.2333559314228,1.52076425898073,0.398764996828456,3.81368543145963,0.000136909713320199,0.00279849973536644
"FAM208B",7.74607575316179,1.59092646647379,0.53363431420529,2.98130465774688,0.00287023095388668,0.0255414822510477
"LOC124417094",3.66092879285025,1.54372012419361,0.567474023288428,2.72033619309653,0.00652155743815212,0.0454391877386379
"FAM46A",82.8044502151764,2.5226488703342,0.338581599953959,7.45063780984329,9.28900529090453e-14,7.97461104224154e-11
"LOC112533248",6.10335096076007,-1.51939459981274,0.519517029651941,-2.92462905562632,0.00344867045563865,0.0290670197800287
"LOC100859022",2.07294579274676,1.79193377081114,0.641322884590021,2.79412104864568,0.00520409945642657,0.0388084144071612
"PASD1",1.63281389475058,2.31045278578402,0.778650628068423,2.96725219565481,0.00300474384280961,0.0264571547595082
"KIF21B",4.98339166477512,2.3071579466482,0.661318407105697,3.48872482885457,0.000485330483682431,0.00710497817707568
"CUX2",2.20029372467056,2.00704194778326,0.63650370969522,3.15322898706168,0.00161475086978368,0.0169351576823124
"ADGRA2",11.2634815056794,2.80120635135915,0.5006505592479,5.59513277198223,2.20452996761907e-08,2.22657526729526e-06
"PPCS",71.6543859010922,1.65639261986655,0.256898618100179,6.44765095318896,1.13597008977568e-10,2.43807580518106e-08
"NDUFAB1",389.205251962907,3.02233630102175,0.566770760541213,5.33255508476778,9.68403791292453e-08,7.75949677836266e-06
