"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A2ML4",174.924682538157,1.43612605516501,0.378850873675018,3.79074236053348,0.000150197691900586,0.00554976498088751
"AAAS",63.0235770497657,1.07394938331187,0.280506672332914,3.82860548157397,0.000128871396339059,0.00499368974889656
"ABHD8",6.67935438832043,1.67911040172571,0.57282142017166,2.93129820672998,0.00337548585471054,0.0421495552323268
"ACTG2",69.9006613922227,-1.41772380538926,0.494130741591819,-2.86912690520353,0.00411606615207648,0.0471222097918461
"ADAMTS9",9.81803775031905,1.71985940605945,0.597613439422189,2.87787939930253,0.00400358163270153,0.0463665212802174
"ADCY9",16.2634390203396,1.28809825572517,0.320524758927528,4.01871686928376,5.8515935017567e-05,0.00284156991165567
"ADCYAP1",13.3298330471703,1.16941910452817,0.410450182214881,2.84911337648268,0.00438412543202632,0.0489864639272893
"ADCYAP1R1",15.2143548363555,1.24309706082195,0.395888428611907,3.1400186794562,0.00168937062436937,0.027759340600667
"ADGRA2",3.83369827976759,2.25806516713405,0.669032672245253,3.37511942362404,0.00073783665054371,0.0160520827223373
"ADGRB3",8.31535939110738,1.76468830150078,0.549334147025913,3.2124132662329,0.00131624885515183,0.0234789881991132
"AGBL1",28.69970495145,1.71824452914709,0.534564899966365,3.21428610306288,0.00130769303736838,0.0233861058296083
"AGMO",5.8289817188712,2.19604626979833,0.539024489806052,4.07411223669725,4.61902031161349e-05,0.00241624931431856
"ALKBH4",15.8931062958626,1.6293518216501,0.505436090846845,3.22365547525536,0.00126565571758397,0.0228685813809771
"AMDHD1",13.2912987860245,1.43118837016866,0.430756250810112,3.32250168738598,0.000892141317630235,0.0184601633397613
"AMFR",38.7328243902471,1.12385801461505,0.390825461041907,2.87560081581926,0.00403259343281473,0.0464879521888355
"AMH",27.3292865941516,3.36507142409731,0.800424518939402,4.20410837558572,2.62113334436127e-05,0.00166791821140727
"ANKHD1",6.23650349067115,1.79513996534346,0.445550897182221,4.02903456529072,5.60063839113617e-05,0.00276410305332152
"ANKRD13C",56.2477994042569,-1.01630725523834,0.288738572078619,-3.51981811062504,0.000431842835082936,0.0112528896970212
"ANKS1B",5.15184296516018,2.2499786249703,0.698362829837448,3.22179034856997,0.00127392314000248,0.0229704281259813
"ANO2",2.25874864246002,4.0041279774218,1.23327437797614,3.24674545172403,0.00116732742642304,0.0218316525423045
"APOB",370.591477982359,1.2111066742637,0.397183293298456,3.04923871345626,0.00229422104226377,0.0336236991577105
"ARHGAP19",5.59611688299166,-1.37001013140828,0.453236878312072,-3.02272431252818,0.00250510346678556,0.0355938760128117
"ARHGAP35",17.1654604661012,1.22279835754509,0.382276616978395,3.19872653266206,0.00138036038014735,0.0244663622202006
"ARHGAP39",4.06190753347276,2.4985588459289,0.81368855178786,3.07065748982088,0.00213588010673762,0.0322158071822941
"ARHGEF16",25.004237948271,1.69156795269163,0.42586639015593,3.97206258064241,7.12529940720347e-05,0.0032321893907635
"ARL8BL",16.3234683223621,1.74318482059226,0.380751559940011,4.57827361460293,4.68829189816272e-06,0.000541168371418502
"ARNT2",10.1005086441274,1.2168222854531,0.428328989095298,2.84085905094406,0.00449921931371378,0.0497156615147472
"ARRDC3",37.9889890691073,1.34769639757467,0.432865120866817,3.11343264358166,0.0018492471503431,0.0292176865937127
"ASAP3",21.7980244048952,-1.06962370288376,0.356128305595157,-3.00347848255481,0.00266912422602128,0.0369471338600984
"ASB18",4.45151734159049,1.54197572475433,0.525787283062548,2.93269878223908,0.00336029732996954,0.042116755120529
"ASPDH",90.9979770830552,1.32049855889181,0.376137882301934,3.51067685820546,0.000446967372691984,0.0115607283229425
"ASPG",19.2340137581343,1.33422380082658,0.391368035202469,3.40912818834665,0.000651708484609563,0.0148975653102156
"ATG13",11.5937408195401,1.21681333870557,0.407059094797658,2.98927933132271,0.00279636356363591,0.0381786997979499
"ATP11B",17.4015262392452,1.86312210008895,0.565436601558882,3.29501502901016,0.000984164161819855,0.0196170094873236
"ATP11C",17.9102960603283,1.79912908659392,0.417487292319686,4.30942239366716,1.63681483078227e-05,0.00124925643396371
"ATP13A3",5.40731259169119,3.42000447947901,0.668286391766985,5.11757312674934,3.09492082816592e-07,0.000120074331130537
"ATP1A1",2755.16502704351,1.03607053982135,0.24269517354637,4.26901995899558,1.96333702211268e-05,0.00141350145298184
"ATP5B",35.8784552871213,1.14912945957156,0.318021312243703,3.61337248583821,0.000302240025632904,0.00883135238078404
"ATP6V0A2",14.5162599188773,1.44604235180483,0.399660060559884,3.61818078538812,0.000296681134145228,0.00873260585890189
"ATP6V1G3",4.62391410077027,1.79288903148056,0.618482540709241,2.8988514848367,0.00374532254107939,0.0445199318563879
"ATXN1",14.5271166277643,2.57500642416691,0.508144209665843,5.06747174362222,4.03134322887245e-07,0.000140764427194154
"AVP",33.5558558482267,1.19731386503497,0.350058335647735,3.42032668017891,0.000625459770152887,0.0144935501413326
"AvBD12",1.25844141554358,2.64778139277725,0.913603624448874,2.89817303907316,0.00375343439681979,0.0445784168540663
"B3GALT1",8.52992787262459,1.23492967138956,0.431788522157902,2.86003357666361,0.00423596156353241,0.0479913391273968
"B4GALT2",3.22562120955172,2.31793429589951,0.782833980589622,2.96095258173856,0.00306689153371433,0.0403106301661055
"BAMBI",5.57222270115745,2.0308836306848,0.494314254189981,4.10848688555978,3.98259815099563e-05,0.00216439487840295
"BICD2",430.709656085136,2.05097778443507,0.392714847061321,5.22256237517502,1.76464087354173e-07,7.70210596273665e-05
"BMP3",5.29527631093489,1.47856622142076,0.490138839560976,3.01662733511413,0.00255603837982603,0.0359518510080868
"BNIP1",33.8469452413741,-1.03583214561883,0.275706156381665,-3.7570149292746,0.000171952241933493,0.00606479031082095
"BRF1",25.3493197567972,1.49381491183611,0.39465581393372,3.78510808429895,0.00015364178815686,0.00566204447278854
"BTBD1",40.4450227905799,1.09446849077988,0.339973315230951,3.21927763664739,0.00128513990361214,0.0231308621568953
"BTBD6",81.4738486167453,1.03255534152744,0.348816445367051,2.96016817796795,0.00307471145013298,0.0403106301661055
"C10orf88",26.573041071268,1.18454388809423,0.338508113401986,3.49930722838409,0.000466468764662102,0.0119325443883435
"C1QBP",24.1570249454483,2.13466922272756,0.438641720174254,4.86654398008366,1.13566660272605e-06,0.000244028545234995
"C2orf88",8.30071864255252,1.614835294232,0.531270604251152,3.03957207741274,0.00236914505125791,0.0344685926363742
"C3",157.021100213689,1.4451966215446,0.471486308470327,3.06519318924307,0.00217529436275861,0.0325292680563699
"CA10",16.4660441724232,1.30199231843356,0.437520312005016,2.97584428130193,0.00292183182239122,0.0391253736753247
"CACUL1",87.4837718697757,1.0455690424726,0.304249067693639,3.4365562741031,0.00058915994845652,0.0139148090265072
"CALN1",2.41292969408219,3.34660206952123,0.947208756577886,3.53311986009502,0.000410686232246974,0.0109439488665321
"CAMKMT",1.42016933297114,2.9335593857068,0.865616749638442,3.38898177158901,0.000701526738439143,0.0155774625688068
"CARMIL3",9.52506542984296,1.88049501017978,0.432084113302354,4.35215031584345,1.34808780599786e-05,0.00111572469303205
"CCDC85C",1.57389539637909,3.73936501147851,1.15569628496379,3.23559490510578,0.00121389524090915,0.0222792047697478
"CCN3",4.01371260866301,2.593691029678,0.794318129400122,3.26530508832373,0.00109346231609729,0.0209497780095074
"CCNL1",28.7987649364995,1.03801859805161,0.313876380378571,3.30709369338223,0.000942693561034449,0.0191653580305213
"CCNYL1",9.67448493468761,1.82059963799269,0.424018130330001,4.29368347192082,1.75732964470332e-05,0.00131254669238349
"CD164L2",360.071476236576,-1.12648625344618,0.307281441783075,-3.66597555293113,0.000246397464993741,0.00778445846485605
"CD180",2.54198995403321,3.8924900382276,1.10230254507858,3.5312356445209,0.00041362308166517,0.0109830296228468
"CD24",207.13118442946,1.03157818958549,0.340459038365709,3.02996270722414,0.00244583936998278,0.035108980966649
"CD69L",9.99733227391234,1.13250993684524,0.370898913841642,3.05341939429021,0.00226249494520502,0.0334083594329977
"CDCP1",3.20410128521568,2.56323548114246,0.885546564656038,2.89452365741836,0.00379734293939844,0.0449851474423902
