"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A2M",62.8993580679735,1.07326288061984,0.237171949519133,4.52525217588289,6.03235325761599e-06,0.000276607334771445
"A2ML4",163.295165196526,1.64368712729833,0.31245573406728,5.26054396858789,1.43629852507786e-07,1.46097858424117e-05
"AAAS",96.1409182208604,1.10437497122727,0.328362381182671,3.36328104105476,0.000770219089958856,0.00969925417207124
"ABCA4",1.87134197097694,4.08602242282536,1.10257299371696,3.70589742911323,0.000210643539782844,0.00395134453067974
"ABCC2",12.8009021053723,1.11837284310513,0.410803163197653,2.72240562706436,0.00648085408896501,0.0419021738858597
"ABCC6",11.3962750514596,1.04002008485387,0.361020535570329,2.88077818955888,0.003966947044657,0.02967301041586
"ABHD8",5.79439424602613,1.90475151837744,0.545960858829528,3.48880599693719,0.000485183143515382,0.00720245151586452
"ABI2",398.362209978036,1.30219939398051,0.189922056143104,6.85649376604953,7.05711588140822e-12,3.18540568097064e-09
"ACAD8",39.2565525249044,-1.00098857056738,0.297603786427307,-3.36349406902417,0.000769624899745866,0.00969925417207124
"ACCS",1.61048470074068,2.75801033382329,0.999474827901792,2.75945952497194,0.00578970586321204,0.0384489707991884
"ACP2",78.1709019081808,-1.00627176747547,0.185355879832316,-5.42886348350967,5.67140430747096e-08,6.77006312538104e-06
"ACSBG1",8.9170893199057,2.31645988089816,0.676502572187741,3.42417010094575,0.000616680078473654,0.00841902368003163
"ACTN4",210.199479673491,-1.2263043821945,0.315324453975246,-3.8890240409035,0.000100648148635337,0.00239499482518749
"ADAMTS4",9.11156611812819,1.65744527071101,0.562725286180582,2.94538971575399,0.00322548111561141,0.0256546526618344
"ADAMTS5",6.50812716739943,1.35116097737227,0.467528697611359,2.8900065050027,0.00385233854791851,0.0289808218677786
"ADAMTS9",21.8871178000347,1.66643069665969,0.407789517181807,4.08649714238911,4.37934877434413e-05,0.00130963382394672
"ADCY9",13.1174138235655,1.43160455990777,0.38199969424794,3.74765891560785,0.000178492749369508,0.00355606796123196
"ADGRA2",11.0206841399939,2.73738193582597,0.520128602846088,5.26289444734881,1.41804998711856e-07,1.45264638396741e-05
"ADGRB3",11.4238011847624,1.94856304263024,0.529884074472629,3.67733837739804,0.000235680310836439,0.00425520801215191
"ADGRG5",5.48080688075849,1.44133491456717,0.51518317405333,2.79771348747111,0.00514657430791255,0.0354831118393741
"ADNP",48.1072184446746,1.07430130242906,0.265200021657939,4.05090955767235,5.10189260417202e-05,0.00144474568019378
"ADORA2B",11.2717692846074,1.42471380238946,0.530431402802611,2.68595297122639,0.0072323267730388,0.0452615805501613
"AGAP1",16.1926497276365,1.01519781030639,0.356636940035151,2.84658625157094,0.0044190756181733,0.0319305293791371
"AGMO",4.11362302577036,2.10100714433262,0.588397416846326,3.57072802187598,0.000355990395112731,0.00572597468486446
"ALB",1027.6792819637,1.07240406601433,0.259430502668063,4.1336853414899,3.56992153553049e-05,0.00109944449166743
"ALKBH4",17.9227979809249,2.6273389847628,0.460651548721289,5.7035279530829,1.17352782753738e-08,1.86268526823625e-06
"ALKBH5",68.7024618923344,1.18404661551848,0.263775665699778,4.48883945521394,7.16122400475275e-06,0.000316155680004313
"ALPI",7.28348331691941,1.6448715575692,0.4368250553911,3.76551559318526,0.000166205749855355,0.00337173574566116
"AMDHD1",12.389354173302,1.44131744619663,0.367336839251337,3.9236942560244,8.72013907094842e-05,0.00215305450838938
"AMH",46.0323917686074,3.91109477257769,0.921618133335459,4.24372593280355,2.19838820068464e-05,0.000747141627545622
"ANAPC13",326.27738004367,1.03773166061596,0.254342899627128,4.08004965791178,4.50260810070648e-05,0.00132725860013478
"ANKHD1",9.34244140351208,1.3605750483578,0.468359940571988,2.90497741266298,0.00367279604030585,0.0280538688557259
"APCDD1",1.01295549754219,3.73318974533636,1.32596095017446,2.81545979528672,0.00487074910030059,0.0341354197014759
"APOA1BP",149.408644755474,1.35010357001587,0.269089279445483,5.01730716585237,5.24007531729367e-07,4.01372475249502e-05
"APOB",345.444010690319,1.31468798128006,0.370817976167397,3.54537283997952,0.000392058101775799,0.00613139002202905
"APOF",9.05357868521016,1.5941367544411,0.50210508347855,3.17490662193068,0.00149884725953311,0.01518289167091
"ARAP2",6.62816246369276,1.31335214136992,0.374208998398286,3.50967546742975,0.000448653924107956,0.00676446480147736
"ARF6",3.49779938872319,1.52761919548887,0.56050163611779,2.72545002021696,0.00642138976119052,0.0416295124374488
"ARHGAP19",5.84408729165282,-1.8013258339299,0.479518993485859,-3.75652655765557,0.000172287995506641,0.00345628862096934
