"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A2ML1",1.13984594775516,3.73867609012119,1.40418540507459,2.66252310885014,0.00775572439964748,0.0428968301336066
"ABCB8",11.4351651432598,1.0732563481474,0.319674367052118,3.35734252966369,0.000786955555362129,0.00878488791135779
"ABHD8",10.2580960756582,1.96229779382834,0.587373101618639,3.3408029554312,0.000835364867738972,0.00913100613071145
"ABI2",224.543028504836,1.23004418052353,0.244714179952283,5.02645241384615,4.99636390621571e-07,4.3568293262201e-05
"ACAP2",52.030269330592,1.04548578877119,0.226125881443797,4.62346805282013,3.77376885327103e-06,0.000207150045686748
"ACCS",11.4841055189324,-1.67283060774118,0.612199493321286,-2.73249263678052,0.00628570764532751,0.0373683821091109
"ACOD1",5.6794031928062,-2.78572061959046,0.808800555152933,-3.44426150778756,0.000572621566449582,0.00713905645753318
"ACOT6",37.8149714272694,1.24897679835412,0.296676633389284,4.20989271748703,2.55491979020192e-05,0.000862568053063744
"ACVR2B",3.13992937720687,3.89898991551478,1.0050572824103,3.87937084159456,0.000104726990675383,0.00229764266942327
"ADAMTS20",4.21048398418193,3.27795398480095,0.810338885633063,4.04516436631336,5.22864263302566e-05,0.00144023621985508
"ADAMTS3",6.18218685270445,3.24122655937418,0.787370836038428,4.11651843200349,3.84638582152105e-05,0.00115316007144226
"ADAMTS9",16.9582626068444,1.25764206630137,0.364894476937622,3.44659112644329,0.000567707067927179,0.00709517596770578
"ADAMTSL1",10.425760725729,1.42757755448248,0.515066939405817,2.77163499588877,0.00557755396636554,0.0343753931852739
"ADARB2",3.387037370238,3.04477008161792,1.13169270979714,2.69045656586736,0.00713543228478942,0.0404933791989165
"ADCY1",24.5136023496564,1.03995509734669,0.357760644925467,2.90684599353668,0.00365092894853253,0.025416634190426
"ADCY9",4.43321279492985,2.62769913116368,0.749148495540263,3.50758113619205,0.000452200434023147,0.00604783402558565
"ADCYAP1R1",26.5450576343058,1.27127433297708,0.421818323388092,3.01379589858985,0.00258001310770882,0.0198043259676241
