"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1CF",346.685654100936,0.114652110399617,0.378167967277475,0.303177741956904,0.761754410586753,0.865617120079965
"A2M",4388.54224925212,0.220210949635016,0.224939142735398,0.978980123055132,0.32758980085456,0.525991199604438
"A2ML1",1.13984594775516,3.73867609012119,1.40418540507459,2.66252310885014,0.00775572439964748,0.0428968301336066
"A2ML2",1293.20378687984,0.0528220678278572,0.227299221061009,0.232390008119206,0.816235108888633,0.899880746384248
"A2ML3",1.1456841631257,0.212830773728112,0.978755225597149,0.21745045968798,0.827857310677998,0.906964072147767
"A2ML4",9114.32264173934,0.391492769774903,0.240577318631466,1.62730540020117,0.103672251562053,0.248241439366144
"A4GALT",5.46899560578973,0.384162411514542,0.423273478016917,0.907598589248695,0.364090339944163,0.5612685176618
"AAAS",88.6948005286375,0.943038366639914,0.293043440305431,3.21808386380194,0.0012905007954364,0.0123700013431906
"AACS",56.0326628023429,-0.205841024699014,0.192284096468493,-1.0705046776073,0.284392204626438,0.48233397640313
"AADAC",1881.36989392889,0.167528017624272,0.254947948850115,0.65710674818083,0.51111228015315,0.687611160639784
"AADACL4A",6.70870710259628,-0.525953769529912,0.459771352828464,-1.14394636876417,0.252645879457217,0.447726874987472
"AADACL4B",2.00999817326065,0.902573777499808,1.05601502230345,0.854697857925407,0.392718436715196,0.588436068481669
"AADAT",54.3453170595691,0.191304974128733,0.265545940539705,0.720421384487813,0.47126558742854,0.656819149160611
"AAED1",34.9626165580887,-0.257774766896791,0.23945510572292,-1.07650561936678,0.281701189101444,0.479718797644016
"AAGAB",65.3824300267041,0.0466589969196779,0.161771980768217,0.288424464472187,0.773021843098291,0.872615671043668
"AAK1",11.0553648441778,0.691426473197626,0.33449823409315,2.06705567541227,0.0387289080658682,0.128618745829194
"AAMDC",71.1225072662387,0.14969299292184,0.185649138105887,0.806322046248666,0.420057181865021,0.613756472162028
"AAMP",708.265156576108,0.651868519367533,0.231082701600055,2.82093170477014,0.00478843959613926,0.0307089022198056
"AAR2",7.95972210605232,-0.278167882571284,0.466721514892042,-0.59600398459374,0.551172564832786,0.717838141944679
"AARS1",748.904876486305,0.185651891375425,0.200385645729215,0.926473005088897,0.354200219681122,0.551763112770273
"AARS2",16.1152601118213,0.158412549272468,0.296821645788339,0.533696081536558,0.593551820641537,0.74973932480671
"AARSD1",98.2920364486341,-0.34879827733777,0.276556588685532,-1.26121846886962,0.207230146300558,0.395920175828059
"AASDH",44.6170724860594,0.1755111485814,0.201860226539505,0.86946869915977,0.384590821299979,0.580787326376811
"AASDHPPT",26.8921717930321,0.205548202479703,0.193390663192224,1.06286518225233,0.287843094598172,0.486182719392919
"AASS",282.869487941713,0.627373221289571,0.208825332468098,3.00429652798668,0.00266195744448859,0.0202701949116247
"AATF",17.7681571781468,-0.154621010983553,0.355815106289389,-0.434554374590824,0.663885918585511,0.80003941543196
"AATK",8.10561281070456,-0.309868370202248,0.54042348273807,-0.573380654431025,0.566386986012925,0.729448096425489
"ABAT",271.478383686449,0.549047755996702,0.224240080092721,2.44848180472321,0.0143459675643045,0.0653686070562217
"ABCA1",207.245103123484,-0.118178264490439,0.166285442565067,-0.710695191758571,0.477273139880993,0.661566728547911
"ABCA12",45.3271220379102,0.367068427400224,0.277256470629695,1.3239309674777,0.185525972374326,0.367487842475624
"ABCA2",79.448848849117,0.47293713778531,0.182556349818909,2.59063647062648,0.00957986293518017,0.0496733633676009
"ABCA3",95.9787668388507,-0.190496460051849,0.191037562753207,-0.997167558601776,0.318683184919295,0.516746934636961
"ABCA4",2.02819128262461,2.51898865441219,1.09526268179368,2.29989453332502,0.0214541958850664,0.0861427511818274
"ABCA5",31.2634720048387,0.185484026956462,0.230016265889349,0.806395261827658,0.42001497808741,0.613753573265717
"ABCA7",4.56482993004219,-0.0206704945534653,0.593974658960524,-0.0348002970187976,0.972238983789573,0.985805109144776
"ABCA8",276.472716254917,-0.0388824096342383,0.258532279995621,-0.150396730477513,0.880451620634266,0.937264857403481
"ABCA9",3.42654110960403,0.0965274724142446,0.666221983430748,0.144887852419956,0.884799417592506,0.940671729816694
"ABCB1",299.838457860314,-0.331058341034276,0.258730331790872,-1.2795497873897,0.20070351899625,0.387884460471477
"ABCB10",1.06572562076869,3.6865257333585,1.59998088875282,2.30410610481237,0.0212166881427576,0.0855168148596095
"ABCB11",164.774940083234,0.0327501419620778,0.240060568343243,0.13642449565166,0.891485709979595,0.944596023766742
