genes	median
C4orf33	0.803633616703473
C12orf4	2.74249946816467
THEMIS	0
LOC769491_7	0.846937835066084
POLR2L	205.791724978527
MYH1D	231.46898364871
L3HYPDH	1.16667680901563
ATE1	68.4643230906413
LOC121113493	0.3794988334384
QPRT	7.54355542537004
LOC112531536	25.239514492955
ADGRL3	14.2731811278444
WIPF2	38.2004161908277
GGA2	14.1606700474172
TNFAIP6	1.53510471101141
CREM	35.7006589110766
SLC44A1	20.9933363867679
HPD	26.1463282089277
FUT9	0.292371610514551
CLTC	74.5230174476284
TLR2	0.495642985844457
WIPF3	26.8033704252233
TBC1D16	49.2894030018911
LOC121111488	20.6763722460185
CRH	0.220739035947974
MTHFSD	9.74094480100226
C17orf58	2.65740824703107
YIPF5	39.7365023149735
LOC121113482	0
ERCC8	2.63716593914335
ADARB1	11.5661575188693
DOCK2	1.53943674883323
LOC112530599	0
GPR137B	2.72633615245456
LOC101748987	0.53011114007141
LOC121108744	0.169918784947094
MMP13	0
TRHDE	0.119134955398295
ARMC1	67.8666483354687
GGPS1	9.29839612647433
PTPRC	13.6244181793682
CYTIP	5.61210693548834
SORCS2	0.376706437834106
ABCC5	82.1844115134887
LOC100859848	4.75606480825598
FAM105A	1.91578072138867
C12orf45	19.3828836753851
FAM183A	0
APOD	7.52728503900571
IL31RA	0.965123633409698
GRN	52.4331507609999
LOC124417152	0.256352895052439
RICTOR	13.0799065819638
SDE2	212.019855094184
LOC107056510	1.12423723772153
FGF22	0
C3orf18	0.437459534534243
UBE2Q1	12.9100283321576
LOC121107691	2.19425435316985
STMN2	10.4769301838299
CD48	22.9238577803745
CHAF1A	12.9309406629571
PHF2	10.0756543268875
MIEF1	34.3933299445299
LOC121106438	94.8531858206134
OPTN	259.920752294797
GUK1	2.75942281351411
NUAK2	0.32148165575388
KIF7	11.5251295188099
EEFSEC	24.3186060254638
KDSR	29.0830640155106
LOC107051953	20.4405741281881
CAB39L	11.1784342948246
RGS7BP	0.798473662154087
ZNF341	3.64974069670847
BTN3A3	0
FAM151BL	13.9334214783152
CENPH	8.34344142275602
ANKRD26	5.68341999736398
C2H8orf82	38.9459469328454
GCNA	0.349200596360806
VLDLR	119.105227746789
SLF1	7.18066378638336
PIEZO2	1.54836525625001
ZC3H8	2.12278462845287
PHGDH	13.0193581545536
UNC45A	12.5333516725158
SLC38A4	19.4306332802403
SNAP23	114.021931194651
MAP2K2	19.4835882042022
TBX2	24.08075252993
GPR37L1	1.01939854109052
KCTD20	38.3694233556883
GSPT2	66.0006197930196
KREMEN1	4.44363008103926
RANGAP1	9.27886986760247
BOK	3.79506213166249
KLHL40	24.8935245631926
POLE	1.9970147034857
LOC121109633	0
CENPX	52.1242057784294
HINT2	168.469210868553
LOC771161	10.3373226650352
LOC121107493	25.2276379296623
ATG5	14.7495677240489
GPSM2	2.0475739513553
LOC121106916	435.042623685706
TDP1	4.08108425482426
HELZ2	1.88862053842909
KLHL18	41.2189679572585
CYP4V2	19.3692402261384
SIVA1	10.8522540510993
IL20RA	1.79139983715158
LOC107051944	1.69691546775357
CD2AP	45.360651530716
DNAJB8	0
SARS1	53.9582722318147
FLT1	11.7878188189459
IFNAR2	18.0782829728205
SMIM18	0
C1QTNF5	16.548584005387
COX5A	689.14508515777
RNF44	1.94126827095646
SLC29A1	114.153547946947
UPP1	1.75886463602505
LOC112533452	0
LOC101748231	2.79856360670563
ESCO2	3.55580633437371
DZIP1	1.94747586369099
SNX9	26.3319013623292
LOC769554	1.05531878161503
LOC107054991	1.11768172205332
LOC101748762	0.283287819374723
RAB39B	1.13949351631397
LOC107049364	0
LOC121107026	0
PDZK1IP1	11.0690638563415
SYT4	0.640997322196875
SGK3	13.3605197186343
INHBB	0
LOC420562	48.513424717483
GATA4	1.00596592988984
KDF1	0.571735593298831
MRPL55	67.9268151157036
MFN2	214.185721329614
RHOA	272.57417902433
TMEM258	187.205441664567
TMEM266	1.28592662301552
GTSF1	8.13241315796924
LRRC75B	2.2590091323518
YAE1D1	1.90584463544309
CFL2	244.64947441286
NOP16	42.8769897794027
P2RX5	15.0955731692925
DECR1	116.996028833805
FEM1A	264.203914146892
GGT2	2.37525784795378
SIK2	22.993566041003
RPH3A	3.86851262281788
TERF1	4.74122633060461
RAD50	29.3349661452899
SOBP	0.59689435315773
TMEM200A	2.80515954460808
SFXN2	8.50839353147011
LOC424588	1.89756585261082
SLC28A2	0.729953066452844
LOC768829	0.8546630962625
UMAD1	20.955289855287
MSH3	10.2933470936144
DNAJB6	72.7875912975664
B3GNT7	0.525963250033542
RARS	28.5321405889058
ABI1	33.4778658593754
LOC107050692	28.238643402185
ACER2	1.74615503063832
CCAR1	56.6563716794512
MAGI3	3.53134351082263
LOC121109525	75.2161830859716
CSMD1	0.470167934201232
LOC107053484	1.24119900595054
CNKSR2	4.32715115390806
TBC1D2B	3.58494318956459
BHLHE41	5.88028512121138
LOC124416952	0.223924979643948
LOC101747373	19.694769286332
CRB1	0
SAP30L	12.888079244862
CLCN4	1.76591228758379
NOP56	23.9513128415433
LOC121110843	0
GNAI1	19.3528328816872
HOOK3	236.487602434758
SMCO4	13.7081110364575
SLC22A23	8.59456938207244
LOC420808	0.411210244585212
PEMT	32.4040023345255
LOC419171	0.716361630573402
HAX1	26.9001809080636
RALGPS1	20.1804502993624
ANOS1	26.0195363439801
SLC51A	3.50564632006405
MPHOSPH9	1.08589510118759
APOF	1.13673191598456
RBM44	19.2198394899137
LRRTM4	1.32920494671104
DUSP29	68.1934997868185
LOC107052441	0.692082481539687
LOC124417568	2.14853927733985
RNF7	100.144865189793
TMC6	3.27499495080129
PRR11	0.500763467167592
LRBA	6.03162951923395
DPAGT1	20.8201041750963
CDH20	7.72602347355439
RBM10	93.6232446979676
LOC770839	0
LOC124417811	0
DRG2	5.58840861026658
RNF19AL	14.8902307029059
C1GALT1C1	20.2361721171462
TXNL4B	5.60941638649876
GNG11	191.226327498418
SERHL	8.47277030980614
NECAP2	33.4699957570293
HEATR3	21.1741042979077
LOC121110263	0
PSMA1	64.6998567814577
ZIC1	0.674102786207292
LOC107051508	13.596713818872
ENOPH1	38.7345968046593
SKIV2L2	167.914355377569
KCTD10	10.7926067741635
TMEM200B	3.76918856163707
SLC25A37	1.45077905444185
PXDC1	8.99389790177226
PLLP	3.63392371722332
UBE2E3	57.8455342779152
MSTN	41.8546405801515
DAB2	8.79432318012525
LOC124417527	11.0098968043716
RGS17	1.3753692100023
ATF3	47.3990275463388
GATAD2B	8.9885103826728
HMCES	14.5734153739625
VWA5A2	0.0977167623633037
IFNG	0
IRF2	32.4821564276704
LOC121108973	12.5935970233699
MXRA5	6.28032912729817
HRAS	253.098170965828
WDR24	15.7987621200145
RAB24	23.8171993989652
ACTR1A	129.642246240173
SMPD1	21.6477291830485
IGF2BP2	12.9831273272132
HYPK	382.232906375034
LOC107055012	3.10788584616857
LOC121110431	0.940335868402464
SDCCAG3	1.84947478374837
DHRS7	163.023266873789
USP28	20.3847317985744
LOC121108161	0.314568480124902
LOC112530360	0.429535748958663
HSP90AA1	925.559946181215
SLC38A2	259.091584290191
NDUFAB1	12.4903819328079
ABHD17C	3.52513167571804
LOC422426	7.9652076628708
ZNF608	2.54434952047802
PIP5K1C	7.12577354386135
CUL4A	85.4185655224138
NELL2	2.11886753199178
PCBP2	77.2148520222658
WDR7	10.6825004767162
RERG	5.76936214860909
TBC1D30	4.02318520856884
PICALM	25.0296489151974
SAFB	10.9132229509297
LOC112530292	0
PLPP1	221.329682317432
KIAA1958	3.17281855260395
LOC107051795	82.7710076717524
NES	4.12994588336382
LOC112532161	2.25228964963045
RCC1	16.5312543515825
NCBP2	62.2120230602438
LOC112531798	4.70585268851852
ATP6V1A	12.1164418095629
PABPC1L	0.339799513696841
LOC121108765	0.867406871046395
PSD3	0.351191698054592
METTL15P1	5.1782191636055
ZFYVE26	6.59952402849126
