genes	median
C4orf33	0
C12orf4	2.75743720793191
THEMIS	0.125981441012004
LOC769491_7	0.954088033564265
POLR2L	61.2951425781885
MYH1D	2.69597388015494
L3HYPDH	3.04344161977512
ATE1	29.6288405273193
LOC121113493	1.03390954614883
LOC124418020	0
QPRT	404.367737565374
LOC112531536	39.0186009552484
ADGRL3	8.66472380857382
WIPF2	31.4608324755013
GGA2	9.6348456695497
TNFAIP6	0.391492653102369
CREM	44.1051916086886
SLC44A1	9.11445373579901
HPD	2215.69917882513
FUT9	1.18406430857417
CLTC	93.9503072400994
TLR2	0
WIPF3	18.1060028054281
TBC1D16	12.7093657783174
LOC121111488	16.2200728164457
LOC121109331	0
CRH	0
MTHFSD	4.43101567669127
C17orf58	0.336454415312127
YIPF5	50.5183600197732
LOC121113482	0.140045913648408
ERCC8	3.80579968064653
ADARB1	20.8209576609738
DOCK2	5.90344628256138
LOC112530599	0.502452310297782
GPR137B	2.25923864289866
LOC101748987	2.60804595355423
LOC121108744	0.686145558089031
TRHDE	4.09002968252353
ARMC1	85.3170642930792
GGPS1	9.15949728092118
PTPRC	20.1995534354761
CYTIP	8.48030465075731
LOC121107349	0
SORCS2	0.140045913648408
ABCC5	115.993690695627
LOC100859848	4.34339061437785
FAM105A	1.9944793722952
C12orf45	20.8267563024469
APOD	7.04340568108721
IL31RA	6.66666138664033
GRN	91.4864841189284
LOC124417152	4.21295273719578
RICTOR	7.00075868247625
SDE2	214.153024565562
LOC107056510	1.59763128723311
FGF22	0.617014604945264
OR52B2	0.239603989960967
C3orf18	0.381485570935699
UBE2Q1	18.471027077697
LOC121107691	1.29408569365155
STMN2	20.7184510113464
CD48	38.5679584300645
CHAF1A	4.95137149353905
PHF2	6.43559287124018
MIEF1	31.0893625361833
LOC121106438	136.462813258149
OPTN	47.6463491878225
GUK1	8.45398392693389
NUAK2	4.68270925980091
KIF7	9.88999807656029
EEFSEC	20.6716586064974
KDSR	102.956485024913
LOC107051953	11.6378071288711
CAB39L	4.52207079268003
RGS7BP	0.694944010972749
ZNF341	3.0042190317561
BTN3A3	0.778574424360987
FAM151BL	12.1043240053602
LOC107055143	0
CENPH	13.9321903091015
ANKRD26	4.41521704325827
C2H8orf82	70.1196406903682
LOC121108635	0.111113645674744
GCNA	0.237095086686748
VLDLR	8.72751042861619
SLF1	13.9063058422128
PIEZO2	2.10572706932947
ZC3H8	1.50735693089334
PHGDH	560.286622898983
UNC45A	13.3857404367694
SLC38A4	155.734097853263
SNAP23	68.5231172947824
LOC121106468	0
MAP2K2	13.4249604700456
TBX2	56.0917080898064
GPR37L1	1.22354827681848
KCTD20	6.26771968413863
GSPT2	24.0812941393658
KREMEN1	0.695982550489787
RANGAP1	14.1881688199325
BOK	3.73850379940046
KLHL40	1.57330801301649
POLE	3.39060042436742
LOC121109633	0.629209565954509
CENPX	78.4816537566818
HINT2	102.230626973721
LOC771161	15.7692447390596
LOC107049779	0.239344355081707
LOC121107493	17.6134644854172
ATG5	9.10421478881424
GPSM2	2.11530232510433
LOC121106916	350.4023980713
TDP1	3.24155471871317
HELZ2	17.8875500250002
KLHL18	47.3564986090035
CYP4V2	554.523064263201
SIVA1	13.9656111699667
IL20RA	88.8053220124465
LOC107051944	0.39053534192218
CD2AP	99.1186424004443
SARS1	70.9055201465781
FLT1	11.1186084743132
IFNAR2	11.0935576591764
SMIM18	0
C1QTNF5	8.27619097741983
COX5A	1371.92665466915
RNF44	5.14261997853322
SLC29A1	14.3769326169852
UPP1	2.30164690143681
LOC112533452	0.475570563031897
LOC101748231	0.26827662305537
ESCO2	3.72024831696676
TRNAI-AAU	0.237354721566008
DZIP1	1.1444567128071
SNX9	61.9345944829521
LOC769554	7.22939711059837
LOC107054991	1.38255848687113
LOC101748762	0.534680996530547
RAB39B	3.14661602603297
LOC107049364	0
LOC121107026	0.494139280355655
PDZK1IP1	13.5084754409561
SYT4	1.14787887693862
SGK3	21.4906232161223
INHBB	0
LOC420562	181.46099827385
GATA4	29.1437074510216
KDF1	14.588044528601
MRPL55	35.5647244365116
MFN2	184.988751245031
LOC100859213	0
RHOA	289.204301684506
LOC121107241	0
TMEM258	125.574347726791
TMEM266	1.75383401141632
GTSF1	6.75652309746344
LOC107052276	0
LRRC75B	1.62575264085969
YAE1D1	2.52256212415914
CFL2	34.3640372697141
NOP16	26.6759440073517
P2RX5	0.731266844436554
DECR1	186.194688866167
FEM1A	29.3897765180446
GGT2	7.2991916817869
SIK2	43.8492862521122
RPH3A	6.92431552340417
TERF1	8.57517135203592
RAD50	87.8586827256625
SOBP	0.2987849234761
TMEM200A	5.31517333237153
SFXN2	53.6687695500151
LOC424588	25.2366232096327
SLC28A2	25.5259723608922
LOC768829	4.53062449556084
UMAD1	12.7512729895334
MSH3	10.6262156506449
DNAJB6	45.382196270418
B3GNT7	1.3748847261251
RARS	22.7641076682659
PKD2L2	0.111113645674744
ABI1	65.7093844526404
LOC107050692	51.9481231448358
ACER2	3.66528179943151
CCAR1	39.6181383379553
MAGI3	3.01460199199119
LOC121109525	471.138005436671
CSMD1	3.06736833159047
LOC107053484	5.08199373998439
CNKSR2	1.34088947765135
TBC1D2B	5.19773918028395
BHLHE41	5.52755378830181
LOC124416952	0
LOC101747373	14.4616502048686
CRB1	0.254212150418967
SAP30L	5.36219645963619
CLCN4	0.302642701712275
NOP56	10.0179243524248
LOC121110843	0.351062575770128
GNAI1	9.49885005678711
HOOK3	37.5624924194048
SMCO4	13.4192527832284
SLC22A23	87.3299294514932
KCNA4	0
LOC420808	0.645218875703346
PEMT	165.256886713716
LOC419171	0.316707174348678
HAX1	9.4965578688279
RALGPS1	26.616201125962
ANOS1	5.63100153356224
SLC51A	191.012194824045
MPHOSPH9	0.567967447929157
APOF	128.137389383244
RBM44	1.56597061240948
LRRTM4	1.46893845341283
DUSP29	2.17110402094906
LOC107052441	1.90228225212759
LOC124417568	7.16146336649867
RNF7	45.9959457945965
TMC6	2.87650373565128
PRR11	0.878923179583559
LRBA	9.62701269443006
LOC121106512	0
DPAGT1	26.4161561182876
CDH20	1.70860275589617
RBM10	87.4507416964003
LOC770839	0.730254096813063
LOC124417811	0.842590547439157
SLC4A3	0
DRG2	3.26074044898706
RNF19AL	3.42042522020693
C1GALT1C1	30.8449952342614
TXNL4B	7.03811684159058
GNG11	70.0164987909913
SERHL	18.9376805720156
NECAP2	47.0560774466421
HEATR3	8.03573953501072
GPR171	0.388638809693733
LOC121110263	1.01684860167587
PSMA1	52.4021223502425
ZIC1	0.478688710163414
LOC107051508	127.209832505023
ENOPH1	43.6250219081509
SKIV2L2	203.448011952735
KCTD10	8.2118708343758
TMEM200B	0.493368435048948
LOC107051741	0.233430652184398
SLC25A37	5.63658177332918
PXDC1	25.5327987135599
PLLP	8.87036478300712
UBE2E3	16.7972969562694
MSTN	1.18547543343374
DAB2	9.07279433296558
LOC124417527	0.222486926228748
RGS17	0.712064164698024
ATF3	11.7938496157296
GATAD2B	16.2572171842072
HMCES	17.319745416195
VWA5A2	1.85004902481489
IFNG	0.350458000756451
IRF2	13.3735090300279
LOC121108973	5.04356628973214
SGO1	0.277784798898249
MXRA5	0
HRAS	46.0033031465157
WDR24	8.45299273232534
RAB24	8.95350198410329
LOC100857579	0
ACTR1A	39.2014208857392
SMPD1	131.553300035352
IGF2BP2	15.7760931942253
HYPK	652.32721965326
LOC107055012	1.87842038002603
SDCCAG3	5.18045960631956
DHRS7	11641.3829742703
USP28	6.65798788244655
LOC121108161	0.509272703014898
LOC112530360	1.08006947457627
HSP90AA1	774.393230104822
LOC124417906	0
SLC38A2	249.395419494001
NDUFAB1	162.280306334899
ABHD17C	7.67438620412653
LOC422426	2.6817789553027
ZNF608	7.88455567962659
PIP5K1C	10.2977024312709
CUL4A	13.3011528745832
NELL2	27.3403294508709
PCBP2	93.2314480811342
WDR7	9.86506116414689
RERG	1.59616412796247
TBC1D30	13.8680037698112
PICALM	15.6938285800526
SAFB	6.78412087868205
LOC112530292	0.316707174348678
PLPP1	139.080028463907
KIAA1958	69.5776088566479
LOC107051795	14.2163003039256
NES	0.762636451256902
LOC112532161	4.38760106661933
RCC1	44.8158521981043
NCBP2	110.639259247581
LOC112531798	5.18341073917926
ATP6V1A	17.9271932192303
PABPC1L	0.250489428273773
LOC121108765	2.08920352967221
PSD3	1.60404298959164
METTL15P1	3.91133382668457
ZFYVE26	3.81228370551413
RFWD3	2.13957848079574
LOC107054646	0.983124093032365
HSD3B1	0.975451584515812
LOC422147	0.814175350357585
LOC107053079	0.140045913648408
PDZRN3	7.59564091723204
LOC107049543	5.45635732810899
RPS7	91.8009754462316
N4BP2	38.8593355311552
PCDHA1	2.11238911489037
LOC124417356	0
TAF12	32.7348514125411
TTC28	2.74044857171658
ARHGAP18	6.38411457310823
KPNA5	16.9929565699748
GON4L	3.77380056948967
LOC107052490	6.46976892260124
MFSD11	8.51641181721084
CEP19	0.830185250436903
WDR75	7.9528106679922
WDR1	84.6329476251142
ZFYVE9	13.4582521403655
TBC1D13	10.4879606802174
SDK1	4.98078676507709
UBE2V1	31.1086865854042
SERAC1	6.66222881146594
ZNF804B	0.951141126063793
LOC107052334	0
RARS2	1.23662281983757
RSAD2	4.91753884377509
ERMARD	3.46888958370871
CYB561	0
COMMD3	12.7459553195516
EGFL7	39.2870381384951
PBDC1	3.52574628696994
NPHP3	10.9712112516456
LOC121111422	0.225081134758124
LOC101750768	4.50218863010926
CRISPLD1	17.1698848084865
LOC112530595	0
KLHL28	6.49657348022549
NDUFAF7	25.27222284273
LOC121107689	0.672100622969231
CARF	1.58271207802572
ELFN1	0.637514089657315
LDLRAD4	125.232026896511
CBLB	11.4395467688535
MAN1A2	15.1823608899088
BAZ2A	24.5527011312395
SEC22C	27.5425705825921
SLC16A7	18.5116220386711
SLA	1.07230890056157
CPA1	0.125981441012004
VPS50	12.0773275049055
LOC121109670	0.325150528171937
KLHDC8B	0.277525164018989
RAB18	64.8772475151333
LRP1B	1.19946412327477
VPS8	18.7167169220299
CLDN10	4.60312666961062
LOC112532498	0
RNF10	9.88365466415713
TBL3	13.6828474069345
BRPF1	4.1158783177922
SLC25A13	183.746027290707
TPPP2	0.233430652184398
SMYD3	3.7911694928644
CD72L1	0.401742395458394
NEXN	6.22816886385285
PSMA2	137.735943573725
RAPSN	0.38096630117718
SLC25A1	129.605035205486
LOC417551	11.5657597383686
INTS9	5.12581139284342
FRMD4B	29.1414177861621
LOC121108538	0
BLACAT1	1.43503032981876
SGIP1	0.534680996530547
TKFC	77.8860019111571
RNF170	10.8374975719523
ROBO1	6.01896191448452
RBM7	11.303076013989
ART7B	5.78371428115388
DYNC1I1	15.8236426076256
EPHA5	21.1336863767227
FGD5	13.3333227732807
STAMBPL1	1.12856679110718
PIK3C2G	2.01863636011113
EYA3	9.79708332393162
TRPC3	0.294642227751208
LOC107050103	1124.39116512956
CBX5	18.5618727617616
PDCD4	74.4015657657771
SLC25A19	26.5878367715335
ALOX5AP	2.92331509439936
DOK2	10.2328407972468
TCF7L1	0.251159559323152
C5H14orf4	35.4210305903818
TSHZ1	0.158739009827692
KLHDC10	29.7225781834645
SUMF1	19.6890706812977
LOC107049068	8.77420622313251
ACP6	18.4479052726782
FGA	5244.05911031242
CLCN1	1.23402920989053
PGAP2	39.8519957847854
LOC112531935	2.9900548228183
CRIM1	7.28471594877412
DNAJB13	0.388638809693733
IFT122	3.40437134015876
SMIM8	21.5537836717198
BSND	0.475570563031897
PPA2	160.850135268864
LOC101750668	0.111373280554004
LOC107051692	0.262362920158061
NTRK3	4.7565814536423
KHK	209.849639295986
NMRK2	36.0151269061855
BIRC8	16.6579825909652
RAPGEF6	15.8871037744454
LOC107049986	3.42100346342926
CHRNB2	1.30515060933439
LOC121106622	0.222486926228748
NRDE2	4.70991602478649
MCC	8.82480618863681
LOC112531726	0.111113645674744
LOC121110599	0.428624142724279
RBPMS2	26.4498582582706
PALMD	18.1698712858094
ZFAND4	2.67310449572221
ALPK3	11.4068909296581
LOC121107298	0.125981441012004
LOC121110811	0.762636451256902
TFEC	1.77731396007702
TMEM14C	11.0323644256776
NPHP4	2.38921341439596
CCDC173L	0.348728002120012
EGFL6	0.718033065245121
MIR135B	0.667390374891791
STXBP5	4.01961848238225
MPZL1	141.719635718442
SMIM5	1.78564704781924
LRG1	5.36770111329134
WRNIP1	2.29015862216566
LOC124418394	0
KDM2A	22.3500718184564
NTN1	0.778834059240247
SPAG16	0.536553246110741
TTC37	13.8443828141702
CSAD	93.3512626371363
TCEA3	230.279053303234
LOC121108774	0
MYH1E	158.432582531588
LOC124418374	11.8299584695451
SYF2	121.477056887416
FBXO9	603.569699041591
LOC121107484	32.1106700913903
CSE1L	8.91894199784288
SMAD2	60.3723683074844
LOC101748916	23.2006659368333
ADRB1	0.744895342564975
LOC124417734	0.363076527698753
MACIR	3.00830912824833
FAM105B	3.855056036493
JMJD1C	7.26552313629749
LOC415661	33.5164987304589
