genes	median
C4orf33	0.530802739139475
C12orf4	2.52969357650729
THEMIS	0
LOC769491_7	0.0817365859380778
POLR2L	71.9993283553868
MYH1D	4.57615198247421
L3HYPDH	3.45439057574042
ATE1	28.7366046047621
LOC121113493	0.421615596084548
LOC124418020	0
QPRT	272.008944791541
LOC112531536	36.3302640558642
ADGRL3	5.98165427928609
WIPF2	35.6990494604819
GGA2	8.46535374224899
TNFAIP6	0.325698223972099
CREM	28.8454315332472
SLC44A1	10.4950713290578
HPD	1651.02218736515
FUT9	0.155400081003513
CLTC	90.2915804646054
TLR2	0.316524170274914
WIPF3	22.9399576995583
TBC1D16	13.9640081978285
LOC121111488	12.7074205471893
LOC121109331	0
CRH	0.139329761938451
MTHFSD	5.02936786751784
C17orf58	0.146364101787971
YIPF5	98.5129032704857
LOC121113482	0
ERCC8	4.34371909321744
ADARB1	19.5401993933667
DOCK2	3.14175025281809
LOC112530599	0.146364101787971
GPR137B	2.55098602303735
LOC101748987	0.649744923650977
LOC121108744	0.162553443311519
TRHDE	5.16335480030786
ARMC1	70.5202669087583
GGPS1	7.08694030599209
PTPRC	26.7753794402435
CYTIP	12.0152971911797
LOC121107349	0
SORCS2	0.448131904698877
ABCC5	133.768737824608
LOC100859848	4.79927898647513
FAM105A	2.42681355653874
C12orf45	25.4239275297481
APOD	7.31853898306891
IL31RA	7.17172261653191
GRN	122.174822788115
LOC124417152	2.42752303858393
RICTOR	7.84602974270231
SDE2	146.936421625215
LOC107056510	1.37994324205362
FGF22	0
OR52B2	0.324385459025669
C3orf18	0.294266326125807
UBE2Q1	14.366323404351
LOC121107691	1.34258220725201
STMN2	10.357710853578
CD48	43.8345727491564
CHAF1A	7.98154331215296
PHF2	7.0778755121743
MIEF1	33.4632733052042
LOC121106438	155.226348745807
OPTN	62.3564015296382
GUK1	9.70115917276247
NUAK2	3.23558853947952
KIF7	14.7151504113803
EEFSEC	37.4327922093234
KDSR	90.6741845675987
LOC107051953	5.65192277945351
CAB39L	4.08533972650546
RGS7BP	0.654678760268208
ZNF341	3.95884687321253
BTN3A3	0.139329761938451
FAM151BL	17.2041806775304
LOC107055143	0
CENPH	11.6619545942629
ANKRD26	5.85869438182471
C2H8orf82	49.8046919417101
LOC121108635	0.327339380134104
GCNA	0.668516635289121
VLDLR	12.7511255781295
SLF1	13.8120564137951
PIEZO2	1.66575063397242
ZC3H8	1.24800189398181
PHGDH	893.621028549739
UNC45A	13.6046645956562
SLC38A4	197.226914893608
SNAP23	125.848958543475
LOC121106468	0
MAP2K2	35.1148653887379
TBX2	61.4584887875961
GPR37L1	0.996411353117715
KCTD20	11.9130541174915
GSPT2	39.3976158348481
KREMEN1	0.640736397023313
RANGAP1	13.5160063574883
BOK	5.89833434306094
KLHL40	0.474637695254298
POLE	4.69703328667491
LOC121109633	0
CENPX	53.2906312026112
HINT2	121.824668781077
LOC771161	14.6135687938642
LOC107049779	0
LOC121107493	21.245967123818
ATG5	12.2996066065194
GPSM2	1.99985704608495
LOC121106916	480.730798553195
TDP1	4.25223837571727
HELZ2	20.1894788323437
KLHL18	33.5190600471578
CYP4V2	530.898362501873
SIVA1	13.920211605059
IL20RA	112.319882699936
LOC107051944	0.807762897429803
CD2AP	93.7709988960062
SARS1	110.7007865932
FLT1	14.3381255445548
IFNAR2	35.1176636680812
SMIM18	0.281857854611929
C1QTNF5	10.9810114513762
COX5A	386.245987451996
RNF44	1.21121173525843
SLC29A1	11.2815877147579
UPP1	1.61297897664827
LOC112533452	0
LOC101748231	0.530802739139475
ESCO2	4.05081429196429
TRNAI-AAU	0
DZIP1	0.857081591179264
SNX9	42.8476257903655
LOC769554	12.9667538733826
LOC107054991	1.29809687051927
LOC101748762	0.328259108698741
RAB39B	4.26554756312594
LOC107049364	0
LOC121107026	0.155400081003513
PDZK1IP1	15.6004313464689
SYT4	0.973156377077008
SGK3	25.0897149716555
INHBB	0.281857854611929
LOC420562	101.745974896712
GATA4	25.4367990117863
KDF1	18.8785652809186
MRPL55	36.9493169973044
MFN2	110.49329450495
LOC100859213	0
RHOA	391.531141415869
LOC121107241	0
TMEM258	218.657338622098
TMEM266	2.50459416033451
GTSF1	5.1541465630818
LOC107052276	0
LRRC75B	2.17805027027389
YAE1D1	2.88892194461449
CFL2	32.9473653194035
NOP16	43.7652494563522
P2RX5	1.43509626331388
DECR1	214.882786837952
FEM1A	45.0433803709023
GGT2	2.94729842941964
SIK2	40.9112533633934
RPH3A	6.35386378180679
TERF1	6.67579346489243
RAD50	59.9886676002232
SOBP	0.0817365859380778
TMEM200A	4.64739018638796
SFXN2	56.7758315541144
LOC424588	23.9604503751068
SLC28A2	18.2475824523213
LOC768829	7.1552956237729
UMAD1	12.2727047378472
MSH3	8.67042488819034
DNAJB6	52.0875801052871
B3GNT7	1.25716670705539
RARS	26.9049502054952
PKD2L2	0
ABI1	58.4390682131938
LOC107050692	29.5643646770833
ACER2	2.89827148239392
CCAR1	43.041223200937
MAGI3	5.74698302216081
LOC121109525	92.6645370915336
