reaction_id,flux_slow,flux_fast,flux_ratio,DRF_category,Formula,Pathways_list,Pathways,Pathway_Groups_list,Pathway Groups
2HCO3_NAt,-1.222717763650275,-1.3039769291573071,1.0664578269186527,Unchanged,2.0 Bicarbonate + Sodium <==> 2.0 Bicarbonate + Sodium,['Extracellular Transport'],Extracellular Transport,['Extracellular Transport'],Extracellular Transport
2OXOADOXm,0.0,0.0091896936763232,1000.0,On,2-oxoadipate(2-) + Coenzyme A + Nicotinamide adenine dinucleotide --> carbon dioxide + glutaryl-CoA(5-) + Nicotinamide adenine dinucleotide - reduced,"['2-oxocarboxylic Acid Metabolism', 'Lysine Metabolism', 'Tryptophan Metabolism']",2-oxocarboxylic Acid Metabolism; Lysine Metabolism; Tryptophan Metabolism,"['2-oxocarboxylic Acid Metabolism', 'Lysine Metabolism', 'AAA metabolism (Trp/Phe/Tyr)']",2-oxocarboxylic Acid Metabolism; Lysine Metabolism; AAA metabolism (Trp/Phe/Tyr)
3DSPHR,0.0004915355216188,0.0007311969625953,1.4875770527981584,Increased,(2S)-1-hydroxy-3-oxooctadecan-2-aminium + proton + Nicotinamide adenine dinucleotide phosphate - reduced --> Nicotinamide adenine dinucleotide phosphate + sphinganine(1+),['Sphingolipid Metabolism'],Sphingolipid Metabolism,['Lipid metabolism'],Lipid metabolism
3HBCOAHLm,0.0266656603466716,0.0152883717815933,0.5733355777743412,Decreased,(S)-3-Hydroxyisobutyryl-CoA + Water --> 3-hydroxy-2-methylpropanoate + Coenzyme A + proton,"['Valine, Leucine And Isoleucine Biosynthesis', 'Valine, Leucine And Isoleucine Degradation']","Valine, Leucine And Isoleucine Biosynthesis; Valine, Leucine And Isoleucine Degradation",['BCAA metabolism (Val/Leu/Iso)'],BCAA metabolism (Val/Leu/Iso)
3HKYNAKGAT,0.0090197686951769,0.0134176009361849,1.4875770532075434,Increased,"2-Oxoglutarate + 3-hydroxy-L-kynurenine --> 4-(2-Amino-3-hydroxyphenyl)-2,4-dioxobutanoate + L-glutamate(1-)",['Tryptophan Metabolism'],Tryptophan Metabolism,['AAA metabolism (Trp/Phe/Tyr)'],AAA metabolism (Trp/Phe/Tyr)
3MOBt2im,0.0266656603466716,0.0152883717814796,0.5733355777700773,Decreased,3-methyl-2-oxobutanoate + proton --> 3-methyl-2-oxobutanoate + proton,"['Transport, Mitochondrial']","Transport, Mitochondrial",['Mitochondrial transport'],Mitochondrial transport
AACOAT,0.0061776253250749,0.0091896936763232,1.487577053114949,Increased,acetoacetate + ATP + Coenzyme A --> Acetoacetyl-CoA + AMP + Diphosphate,"['Butanoate Metabolism', 'Valine, Leucine And Isoleucine Degradation']","Butanoate Metabolism; Valine, Leucine And Isoleucine Degradation","['AA other', 'BCAA metabolism (Val/Leu/Iso)']",AA other; BCAA metabolism (Val/Leu/Iso)
ACACT10m,0.0378992223427245,0.0319991608318693,0.8443223595064655,Unchanged,2-methylacetoacetyl-CoA(4-) + Coenzyme A <==> Acetyl-CoA + Propanoyl-CoA,"['Valine, Leucine And Isoleucine Biosynthesis', 'Valine, Leucine And Isoleucine Degradation']","Valine, Leucine And Isoleucine Biosynthesis; Valine, Leucine And Isoleucine Degradation",['BCAA metabolism (Val/Leu/Iso)'],BCAA metabolism (Val/Leu/Iso)
ACACT1r,-0.0061776253250749,-0.0091896936763232,1.487577053114949,Increased,2.0 Acetyl-CoA <==> Acetoacetyl-CoA + Coenzyme A,"['Butanoate Metabolism', 'Fatty Acid Degradation', 'Fatty Acid Metabolism', 'Glyoxylate And Dicarboxylate Metabolism', 'Lysine Degradation', 'Pyruvate Metabolism', 'Terpenoid Backbone Biosynthesis', 'Tryptophan Metabolism', 'Valine, Leucine And Isoleucine Degradation']","Butanoate Metabolism; Fatty Acid Degradation; Fatty Acid Metabolism; Glyoxylate And Dicarboxylate Metabolism; Lysine Degradation; Pyruvate Metabolism; Terpenoid Backbone Biosynthesis; Tryptophan Metabolism; Valine, Leucine And Isoleucine Degradation","['AA other', 'Lipid metabolism', 'Glyoxylate And Dicarboxylate Metabolism', 'Central Energy Metabolism', 'Terpenoid Backbone Biosynthesis', 'AAA metabolism (Trp/Phe/Tyr)', 'BCAA metabolism (Val/Leu/Iso)']",AA other; Lipid metabolism; Glyoxylate And Dicarboxylate Metabolism; Central Energy Metabolism; Terpenoid Backbone Biosynthesis; AAA metabolism (Trp/Phe/Tyr); BCAA metabolism (Val/Leu/Iso)
ACACT1rm,0.0061776253250749,0.0,2000.0,Off,2.0 Acetyl-CoA --> Acetoacetyl-CoA + Coenzyme A,"['Butanoate Metabolism', 'Fatty Acid Degradation', 'Fatty Acid Metabolism', 'Glyoxylate And Dicarboxylate Metabolism', 'Lysine Degradation', 'Pyruvate Metabolism', 'Terpenoid Backbone Biosynthesis', 'Tryptophan Metabolism', 'Valine, Leucine And Isoleucine Degradation']","Butanoate Metabolism; Fatty Acid Degradation; Fatty Acid Metabolism; Glyoxylate And Dicarboxylate Metabolism; Lysine Degradation; Pyruvate Metabolism; Terpenoid Backbone Biosynthesis; Tryptophan Metabolism; Valine, Leucine And Isoleucine Degradation","['AA other', 'Lipid metabolism', 'Glyoxylate And Dicarboxylate Metabolism', 'Central Energy Metabolism', 'Terpenoid Backbone Biosynthesis', 'AAA metabolism (Trp/Phe/Tyr)', 'BCAA metabolism (Val/Leu/Iso)']",AA other; Lipid metabolism; Glyoxylate And Dicarboxylate Metabolism; Central Energy Metabolism; Terpenoid Backbone Biosynthesis; AAA metabolism (Trp/Phe/Tyr); BCAA metabolism (Val/Leu/Iso)
ACCOACm,0.0864867545510493,0.128655711468526,1.487577053114951,Increased,Acetyl-CoA + ATP + Bicarbonate --> ADP + proton + Malonyl-CoA + hydrogenphosphate,"['Fatty Acid Biosynthesis', 'Fatty Acid Degradation', 'Fatty Acid Metabolism', 'Propanoate Metabolism', 'Pyruvate Metabolism']",Fatty Acid Biosynthesis; Fatty Acid Degradation; Fatty Acid Metabolism; Propanoate Metabolism; Pyruvate Metabolism,"['Lipid metabolism', 'Propanoate Metabolism', 'Central Energy Metabolism']",Lipid metabolism; Propanoate Metabolism; Central Energy Metabolism
ACONTm,0.5538832614408684,0.4879203658175663,0.8809083064692971,Unchanged,Citrate <==> Isocitrate,"['2-oxocarboxylic Acid Metabolism', 'Biosynthesis Of Amino Acids', 'Citric Acid Cycle']",2-oxocarboxylic Acid Metabolism; Biosynthesis Of Amino Acids; Citric Acid Cycle,"['2-oxocarboxylic Acid Metabolism', 'AA other', 'Central Energy Metabolism']",2-oxocarboxylic Acid Metabolism; AA other; Central Energy Metabolism
ADK1,0.2518323788458034,0.3746200680088918,1.4875770531408559,Increased,AMP + ATP <==> 2.0 ADP,"['Nucleotide Interconversion', 'Nucleotide Metabolism', 'Purine Metabolism']",Nucleotide Interconversion; Nucleotide Metabolism; Purine Metabolism,"['Nucleotide metabolism', 'Nitrogen disposal']",Nucleotide metabolism; Nitrogen disposal
ADKd,0.0008039132361065,0.0011958828827494,1.4875770531423034,Increased,dAMP(2-) + dATP <==> 2.0 dADP,['Nucleotide Interconversion'],Nucleotide Interconversion,['Nucleotide metabolism'],Nucleotide metabolism
