metabolite_id,Metabolite,Metabolite Group,Metabolic Pathways,Pathway Group,log2FC_fluxsum,Reactions
nad_m,Nicotinamide adenine dinucleotide (m),NAD(+),Arginine Biosynthesis,AA other,-0.8007489670516705,GLUDxm
3php_c,3-phosphonatooxypyruvate(3-) (c),Phospho-C3 acids,"Glycine, Serine And Threonine Metabolism",AA other,9.164340909365881,PGCD;PSERT
3hmp_m,3-hydroxy-2-methylpropanoate (m),3-Hydroxy-2-methylpropanoate,"Valine, Leucine And Isoleucine Degradation",BCAA metabolism (Val/Leu/Iso),-0.8025482880538267,3HBCOAHLm
glu__L_m,L-glutamate(1-) (m),L-Glu,Lysine Metabolism,Lysine Metabolism,6.0,r0525;r0450
cys__L_c,L-cysteine (c),L-Cys,Extracellular Transport,Extracellular Transport,1.3153618547560337,CYSGLUexR;r1402
akg_c,2-Oxoglutarate (c),α-KG,"Alanine, Aspartate And Glutamate Metabolism",AA other,2.3650044219199318,PSERT;ASPTA;ALATA__L
pser__L_c,O-Phospho-L-serine (c),O-Phospho-L-serine,"Alanine, Aspartate And Glutamate Metabolism",AA other,9.164340909365881,PSERT
methf_m,"5,10-Methenyltetrahydrofolate (m)","5,10-Methenyltetrahydrofolate",Folate Metabolism,Folate Metabolism,6.0,MTHFCm;MTHFD2m
co2_m,carbon dioxide (m),CO2,"Alanine, Aspartate And Glutamate Metabolism",AA other,6.014444166675911,GCC2am;r0034
3pg_c,3-Phospho-D-glycerate (c),Phospho-C3 acids,Cysteine And Methionine Metabolism,AA other,9.164340909365881,PGCD
nadh_m,Nicotinamide adenine dinucleotide - reduced (m),NAD(+),Folate Metabolism,Folate Metabolism,6.0,MTHFD2m
2oxoadp_m,2-oxoadipate(2-) (m),Adipates,Lysine Metabolism,Lysine Metabolism,6.0,r0450;2OXOADOXm
hco3_e,Bicarbonate (e),HCO3,"Transport, Endoplasmic Reticulum","Transport, Endoplasmic Reticulum",1.1672354983333308,HUMANGEM_MAR06107
b2coa_m,crotonoyl-CoA(4-) (m),SC acyl-CoA,Butanoate Metabolism,AA other,6.0,ECOAH1m
b2coa_m,crotonoyl-CoA(4-) (m),SC acyl-CoA,Fatty Acid Metabolism,Lipid metabolism,6.0,ECOAH1m
mlthf_m,"5,10-Methylenetetrahydrofolate (m)",CH2-THF,Methane Metabolism,Methane Metabolism,9.164340909365874,GHMT2rm
thf_m,"5,6,7,8-Tetrahydrofolate (m)",THF,Methane Metabolism,Methane Metabolism,9.164340909365874,GHMT2rm
glu__L_c,L-glutamate(1-) (c),L-Glu,Glutathione Metabolism,Redox & Pentose Metabolism,1.167235498333331,r0129
_L2aadp_m,L-2-aminoadipate(1-) (m),Adipates,Lysine Metabolism,Lysine Metabolism,6.0,r0594m;r0450
