Subsystem,Oxaloacetate,α-KG,Pyr,L-Glu,"Adipates, Glutaryl-CoA",L-aspartate(1-),L-Ala,Lys
Central Energy Metabolism,0.12655985030419425,1.2116014952987573,0.6737045679509972,,,,,
Redox & Pentose Metabolism,,,,1.2112763906756114,,,,
BCAA metabolism (Val/Leu/Iso),,-2.844658752548211e-11,,-2.844658752548211e-11,,,,
AAA metabolism (Trp/Phe/Tyr),,0.00016122335969126603,,0.00016122335969126603,-6.0,,,
"AA central (A/D/E,G/S/T)",-1.597122125586995,-0.9504751785598418,6.0,-0.7559087614010561,,-1.4219297548902088,6.0,
AA other (Cys/Met/Lys/Arg/Pro),-1.597122125586995,-3.8323516041529997,6.0,-3.3872237013099036,-6.0,-1.597122125586995,6.0,-6.0
Nucleotide metabolism,,,,1.5147482308107098e-11,,5.547008485716128e-11,,
Nitrogen disposal,,-6.0,,-2.9999999999517435,,1.0999797791320173e-10,,
Mitochondrial transport,,0.045517285254775344,-2.3266967211370937e-11,0.0485150409231768,,,,-6.0
Extracellular Transport,-1.8903274034130646,,,0.2552774279433904,,2.365666404517845e-11,-6.16701857508087,5.537649375077857
