ADK1,0.2518323788458034,0.3746200680088918,1.4875770531408559,Increased,"['Nucleotide Interconversion', 'Nucleotide Metabolism', 'Purine Metabolism']",Nucleotide Interconversion; Nucleotide Metabolism; Purine Metabolism,"['Nucleotide metabolism', 'Nitrogen disposal']",Nucleotide metabolism; Nitrogen disposal
ADSL1,0.0031008081962904,0.0046126911192915,1.4875770532372223,Increased,"['Alanine, Aspartate And Glutamate Metabolism', 'Nucleotide Interconversion', 'Nucleotide Metabolism', 'Purine Metabolism']","Alanine, Aspartate And Glutamate Metabolism; Nucleotide Interconversion; Nucleotide Metabolism; Purine Metabolism","['AA central (Ala/Asp/Glu, Gly/Ser/Thr)', 'Nucleotide metabolism', 'Nitrogen disposal']","AA central (Ala/Asp/Glu, Gly/Ser/Thr); Nucleotide metabolism; Nitrogen disposal"
ADSL2,0.0045098843475884,0.0067088004680924,1.4875770532075485,Increased,"['Purine Metabolism', 'Purine Synthesis']",Purine Metabolism; Purine Synthesis,"['Nitrogen disposal', 'Nucleotide metabolism']",Nitrogen disposal; Nucleotide metabolism
ADSS,0.0031008081962904,0.0046126911192915,1.4875770532372223,Increased,"['Alanine, Aspartate And Glutamate Metabolism', 'Nucleotide Interconversion', 'Nucleotide Metabolism', 'Purine Metabolism']","Alanine, Aspartate And Glutamate Metabolism; Nucleotide Interconversion; Nucleotide Metabolism; Purine Metabolism","['AA central (Ala/Asp/Glu, Gly/Ser/Thr)', 'Nucleotide metabolism', 'Nitrogen disposal']","AA central (Ala/Asp/Glu, Gly/Ser/Thr); Nucleotide metabolism; Nitrogen disposal"
AICART,0.0045098843475884,0.0067088004680924,1.4875770532075485,Increased,"['Folate Metabolism', 'Purine Metabolism', 'Purine Synthesis']",Folate Metabolism; Purine Metabolism; Purine Synthesis,"['Folate metabolism', 'Nitrogen disposal', 'Nucleotide metabolism']",Folate metabolism; Nitrogen disposal; Nucleotide metabolism
AIRCr,0.0045098843475884,0.0067088004680924,1.4875770532075485,Increased,"['Purine Metabolism', 'Purine Synthesis']",Purine Metabolism; Purine Synthesis,"['Nitrogen disposal', 'Nucleotide metabolism']",Nitrogen disposal; Nucleotide metabolism
ATPM,18.5,18.5,1.0,Unchanged,"['Biomass And Maintenance Functions', 'Nucleotide Metabolism', 'Purine Metabolism']",Biomass And Maintenance Functions; Nucleotide Metabolism; Purine Metabolism,"['Biomass And Maintenance Functions', 'Nucleotide metabolism', 'Nitrogen disposal']",Biomass And Maintenance Functions; Nucleotide metabolism; Nitrogen disposal
GARFT,0.0045098843475884,0.0067088004680924,1.4875770532075485,Increased,"['Folate Metabolism', 'Purine Metabolism', 'Purine Synthesis']",Folate Metabolism; Purine Metabolism; Purine Synthesis,"['Folate metabolism', 'Nitrogen disposal', 'Nucleotide metabolism']",Folate metabolism; Nitrogen disposal; Nucleotide metabolism
GK1,0.0178122826035759,0.0264971428649968,1.4875770531328407,Increased,"['Nucleotide Interconversion', 'Nucleotide Metabolism', 'Purine Metabolism']",Nucleotide Interconversion; Nucleotide Metabolism; Purine Metabolism,"['Nucleotide metabolism', 'Nitrogen disposal']",Nucleotide metabolism; Nitrogen disposal
GLUDxm,0.5820691757284773,0.334137441710495,0.5740510847225535,Decreased,"['Alanine, Aspartate And Glutamate Metabolism', 'Arginine Biosynthesis', 'Nitrogen Metabolism', 'Taurine And Hypotaurine Metabolism']","Alanine, Aspartate And Glutamate Metabolism; Arginine Biosynthesis; Nitrogen Metabolism; Taurine And Hypotaurine Metabolism","['AA central (Ala/Asp/Glu, Gly/Ser/Thr)', 'AA other', 'Nitrogen disposal', 'Taurine And Hypotaurine Metabolism']","AA central (Ala/Asp/Glu, Gly/Ser/Thr); AA other; Nitrogen disposal; Taurine And Hypotaurine Metabolism"
GLUPRT,0.0045098843475884,0.0067088004680924,1.4875770532075485,Increased,"['Alanine, Aspartate And Glutamate Metabolism', 'Purine Metabolism', 'Purine Synthesis']","Alanine, Aspartate And Glutamate Metabolism; Purine Metabolism; Purine Synthesis","['AA central (Ala/Asp/Glu, Gly/Ser/Thr)', 'Nitrogen disposal', 'Nucleotide metabolism']","AA central (Ala/Asp/Glu, Gly/Ser/Thr); Nitrogen disposal; Nucleotide metabolism"
GMPR,1.0418890150139115,1.0057581678809997,0.9653217889695963,Unchanged,"['Nucleotide Interconversion', 'Nucleotide Metabolism', 'Purine Metabolism']",Nucleotide Interconversion; Nucleotide Metabolism; Purine Metabolism,"['Nucleotide metabolism', 'Nitrogen disposal']",Nucleotide metabolism; Nitrogen disposal
GUAPRT,0.0167408500114427,0.0249033043269508,1.4875770531322428,Increased,"['Nucleotide Metabolism', 'Nucleotide Salvage Pathway', 'Purine Metabolism']",Nucleotide Metabolism; Nucleotide Salvage Pathway; Purine Metabolism,"['Nucleotide metabolism', 'Nucleotide Salvage Pathway', 'Nitrogen disposal']",Nucleotide metabolism; Nucleotide Salvage Pathway; Nitrogen disposal
IMPC,-0.0045098843475884,-0.0067088004680924,1.4875770532075485,Increased,"['Purine Metabolism', 'Purine Synthesis']",Purine Metabolism; Purine Synthesis,"['Nitrogen disposal', 'Nucleotide metabolism']",Nitrogen disposal; Nucleotide metabolism
NDPK1,0.0039303777491035,0.0058467397500418,1.4875770532171906,Increased,"['Nucleotide Interconversion', 'Nucleotide Metabolism', 'Purine Metabolism']",Nucleotide Interconversion; Nucleotide Metabolism; Purine Metabolism,"['Nucleotide metabolism', 'Nitrogen disposal']",Nucleotide metabolism; Nitrogen disposal
NDPK10,0.0008039132361065,0.0011958828829768,1.4875770534251698,Increased,"['Nucleotide Interconversion', 'Nucleotide Metabolism', 'Purine Metabolism']",Nucleotide Interconversion; Nucleotide Metabolism; Purine Metabolism,"['Nucleotide metabolism', 'Nitrogen disposal']",Nucleotide metabolism; Nitrogen disposal
NDPK10n,-0.0008039132361065,-0.0011958828829768,1.4875770534251698,Increased,"['Nucleotide Interconversion', 'Nucleotide Metabolism', 'Purine Metabolism']",Nucleotide Interconversion; Nucleotide Metabolism; Purine Metabolism,"['Nucleotide metabolism', 'Nitrogen disposal']",Nucleotide metabolism; Nitrogen disposal
