Pathway Groups,flux_slow,flux_fast,n_reactions,flux_difference
2-oxocarboxylic Acid Metabolism,23.323096571653025,24.94808194276121,13,0.12499887470062959
AA other,70.01401858692691,72.91862947919506,45,0.06454690871707006
AAA metabolism (Trp/Phe/Tyr),19.85740625237554,21.815877456353398,13,0.15065163107521984
Arginine And Proline Metabolism,0.0,0.026803630563721,1,0.026803630563721
BCAA metabolism (Val/Leu/Iso),0.7032026138660074,0.5249224726213967,23,-0.007751310488896116
Biomass And Maintenance Functions,18.522968949603044,18.53416808236427,2,0.005599566380613652
Central Energy Metabolism,87.38122865216427,86.31043077440667,27,-0.03965918065768884
Cyanoamino Acid Metabolism,0.0004019566180532,0.2306325961620319,1,0.2302306395439787
Extracellular Transport,22.218360663215602,22.691377647433796,46,0.010282977917786835
Folate Metabolism,2.5063517945937495,4.275305394148344,10,0.1768953599554594
Glyoxylate And Dicarboxylate Metabolism,0.7924157338429555,0.9173276432943029,8,0.015613988681418431
Lipid metabolism,0.2711983386271212,0.41261811906141777,35,0.004040565155265616
Lysine Biosynthesis,0.0,0.0091896936763232,1,0.0091896936763232
Lysine Metabolism,0.0,0.045948468381615995,5,0.0091896936763232
Methane Metabolism,19.95655407103854,20.165405487752736,6,0.0348085694523661
Mitochondrial transport,81.83586809286922,89.34238021016037,33,0.22747006416033794
Nitrogen disposal,24.76174240413205,24.72208272384192,36,-0.0011016577858370031
Nucleotide Salvage Pathway,0.0167408500114427,0.0249033043269508,1,0.008162454315508102
Nucleotide metabolism,21.16038747450808,21.36926731399769,63,0.003315553007771557
Oxidative Phosphorylation,25.220632679105112,28.163220036911202,5,0.588517471561218
Pantothenate And Coa Biosynthesis,0.0266656603466716,0.0152883717814796,1,-0.011377288565191998
Propanoate Metabolism,1.4671830075560763,1.3702267961149917,5,-0.019391242288216936
Purine Catabolism,1.0608428544127586,1.0339534644395008,4,-0.006722347493314462
Redox & Pentose Metabolism,5.131494637103207,5.188110600717021,11,0.005146905783074035
Starch And Sucrose Metabolism,5.001179960877756,5.001755282727445,3,0.0001917739498965195
Taurine And Hypotaurine Metabolism,0.5820691757284773,0.334137441710495,1,-0.2479317340179823
Terpenoid Backbone Biosynthesis,0.0185328759752247,0.0183793873526464,3,-5.1162874192767216e-05
"Transport, Endoplasmic Reticulum",0.05269109195443469,0.1121441565065346,5,0.01189061291041998
"Transport, Nuclear",0.003215652944426,0.0047835315314524,4,0.00039196964675660003
Unknown,33.810602789509375,34.079906619152474,37,0.007278481882245942
Vitamin C Metabolism,0.0648951256627327,0.0708287939043114,2,0.0029668341207893523
