Subsystems,Pathways,Increased,Decreased,On,Off,Unchanged,Increased_reactions,Decreased_reactions,Reversed_reactions,On_reactions,Off_reactions,Unchanged_reactions,n_reactions,flux_fast,flux_slow,total_flux_shift,mean_flux_shift
"2-oxocarboxylic Acid Metabolism; AA central (A/D/E,G/S/T); AA other (Cys/Met/Lys/Arg/Pro); Biosynthesis Of Amino Acids; Nitrogen disposal; Taurine And Hypotaurine Metabolism",Arginine Biosynthesis,0,0,1,2,3,,,,ALATA__L (1000.00),ASPTAm (2000.00); GLUDxm (2000.00),ASPTA (1.00); GLUNm (1.00); r0034 (1.00),6,0.5316337673594466,0.9268910551121573,-0.39525728775271074,-0.06587621462545179
"2-oxocarboxylic Acid Metabolism; AA other (Cys/Met/Lys/Arg/Pro); AAA metabolism (Trp/Phe/Tyr); Biosynthesis Of Amino Acids; Central Energy Metabolism; AA central (A/D/E,G/S/T); Glyoxylate And Dicarboxylate Metabolism; BCAA metabolism (Val/Leu/Iso); Pantothenate And Coa Biosynthesis; Lysine Biosynthesis",2-oxocarboxylic Acid Metabolism,1,0,5,3,5,AKGDm (1.68),,,ACONTm (1000.00); ALATA__L (1000.00); CSm (1000.00); ICDHxm (1000.00); PDHm (1000.00),2OXOADOXm (2000.00); ASPTAm (2000.00); r0450 (2000.00),ASPTA (1.00); ILETA (1.00); PHETA1 (1.00); PHETA1m (1.00); VALTA (1.00),14,24.503966924600775,22.787104760204098,1.7168621643966766,0.12263301174261976
2-oxocarboxylic Acid Metabolism; AA other (Cys/Met/Lys/Arg/Pro); AAA metabolism (Trp/Phe/Tyr); Biosynthesis Of Amino Acids; Lysine Biosynthesis,Lysine Metabolism,0,0,0,5,0,,,,,2OXOADOXm (2000.00); SACCD3m (2000.00); r0450 (2000.00); r0525 (2000.00); r0594m (2000.00),,5,0.0,0.045948468380399995,-0.045948468380399995,-0.00918969367608
2-oxocarboxylic Acid Metabolism; AA other (Cys/Met/Lys/Arg/Pro); AAA metabolism (Trp/Phe/Tyr); Butanoate Metabolism; Lipid metabolism; Glyoxylate And Dicarboxylate Metabolism; Central Energy Metabolism; Terpenoid Backbone Biosynthesis; BCAA metabolism (Val/Leu/Iso),Tryptophan Metabolism,0,0,1,4,6,,,,ACACT1rm (1000.00),2OXOADOXm (2000.00); ECOAH1m (2000.00); HACD1m (2000.00); r0541 (2000.00),3HKYNAKGAT (1.00); ACACT1r (1.00); FKYNH (1.00); KYN3OX (1.00); TRPO2 (1.00); r0647 (1.00),11,0.08546739203287,0.11303647305703199,-0.027569081024161987,-0.0025062800931056352
2-oxocarboxylic Acid Metabolism; Biosynthesis Of Amino Acids; AAA metabolism (Trp/Phe/Tyr),Phenylalanine Metabolism,0,0,0,0,2,,,,,,PHETA1 (1.00); PHETA1m (1.00),2,22.058359244495513,22.05466197245465,0.003697272040863453,0.0018486360204317265
2-oxocarboxylic Acid Metabolism; Biosynthesis Of Amino Acids; AAA metabolism (Trp/Phe/Tyr),"Phenylalanine, Tyrosine And Tryptophan Biosynthesis",0,0,0,0,2,,,,,,PHETA1 (1.00); PHETA1m (1.00),2,22.058359244495513,22.05466197245465,0.003697272040863453,0.0018486360204317265
"2-oxocarboxylic Acid Metabolism; Biosynthesis Of Amino Acids; Central Energy Metabolism; AA central (A/D/E,G/S/T); AA other (Cys/Met/Lys/Arg/Pro); Glyoxylate And Dicarboxylate Metabolism; Methane Metabolism; Cyanoamino Acid Metabolism; Folate Metabolism; BCAA metabolism (Val/Leu/Iso); AAA metabolism (Trp/Phe/Tyr); Redox & Pentose Metabolism; Nitrogen disposal; Pantothenate And Coa Biosynthesis; Lysine Biosynthesis",Biosynthesis Of Amino Acids,1,3,4,2,12,PCm (3.43),GHMT2rm (0.60); PGCD (0.60); PSERT (0.60),,ACONTm (1000.00); ALATA__L (1000.00); CSm (1000.00); ICDHxm (1000.00),ASPTAm (2000.00); r0450 (2000.00),ASPTA (1.00); ENO (1.04); ILETA (1.00); PGK (1.00); PGM (1.04); PHETA1 (1.00); PHETA1m (1.00); PRPPS (1.00); PYK (1.04); RPI (1.00); VALTA (1.00); r0034 (1.00),22,63.338705604800815,62.18025022724017,1.1584553775606423,0.05265706261639283
2-oxocarboxylic Acid Metabolism; Biosynthesis Of Amino Acids; Central Energy Metabolism; Glyoxylate And Dicarboxylate Metabolism; Methane Metabolism; Propanoate Metabolism,Citric Acid Cycle,5,1,3,0,1,AKGDm (1.68); FUMm (1.62); PCm (3.43); SUCOASm (1.62); r0509 (1.62),MDH (0.34),,ACONTm (1000.00); CSm (1000.00); ICDHxm (1000.00),,FUM (1.00),10,5.1605355749889235,2.8329674440729646,2.327568130915959,0.23275681309159588
2-oxocarboxylic Acid Metabolism; Biosynthesis Of Amino Acids; Lysine Biosynthesis; AA other (Cys/Met/Lys/Arg/Pro),Lysine Biosynthesis,0,0,0,1,0,,,,,r0450 (2000.00),,1,0.0,0.00918969367608,-0.00918969367608,-0.00918969367608
2-oxocarboxylic Acid Metabolism; Biosynthesis Of Amino Acids; Pantothenate And Coa Biosynthesis; BCAA metabolism (Val/Leu/Iso),Pantothenate And Coa Biosynthesis,0,0,0,0,1,,,,,,VALTA (1.00),1,0.0152883717813997,0.0152883717819688,-5.691003224228552e-13,-5.691003224228552e-13
