Subsystems,Increased,Decreased,On,Off,Unchanged,Increased_reactions,Decreased_reactions,Reversed_reactions,On_reactions,Off_reactions,Unchanged_reactions,n_reactions,flux_fast,flux_slow,total_flux_shift,mean_flux_shift
2-oxocarboxylic Acid Metabolism,1,0,5,3,5,AKGDm (1.68),,,ACONTm (1000.00); ALATA__L (1000.00); CSm (1000.00); ICDHxm (1000.00); PDHm (1000.00),2OXOADOXm (2000.00); ASPTAm (2000.00); r0450 (2000.00),ASPTA (1.00); ILETA (1.00); PHETA1 (1.00); PHETA1m (1.00); VALTA (1.00),14,24.503966924600775,22.787104760204098,1.7168621643966766,0.12263301174261976
"AA central (A/D/E,G/S/T)",0,6,1,2,12,,GCC2am (0.60); GCC2bim (0.60); GHMT2rm (0.60); PGCD (0.60); PSERT (0.60); PSP__Lm (0.60),,ALATA__L (1000.00),ASPTAm (2000.00); GLUDxm (2000.00),ADSL1 (1.00); ADSS (1.00); ASPCTr (1.00); ASPTA (1.00); GLUNm (1.00); GLUPRT (1.00); PGM (1.04); r0034 (1.00); r0552 (0.98); r0552m (0.98); r0553 (0.98); r0553m (0.98),21,21.241849339625297,23.553556529702966,-2.3117071900776693,-0.1100812947656033
AA other (Cys/Met/Lys/Arg/Pro),0,2,2,9,4,,PGCD (0.60); PSERT (0.60),,ACACT1rm (1000.00); ALATA__L (1000.00),2OXOADOXm (2000.00); ASPTAm (2000.00); ECOAH1m (2000.00); GLUDxm (2000.00); HACD1m (2000.00); SACCD3m (2000.00); r0450 (2000.00); r0525 (2000.00); r0594m (2000.00),ACACT1r (1.00); ASPTA (1.00); GLUNm (1.00); r0034 (1.00),17,1.6073110080685344,2.767313558890787,-1.1600025508222527,-0.06823544416601486
AAA metabolism (Trp/Phe/Tyr),0,0,1,4,8,,,,ACACT1rm (1000.00),2OXOADOXm (2000.00); ECOAH1m (2000.00); HACD1m (2000.00); r0541 (2000.00),3HKYNAKGAT (1.00); ACACT1r (1.00); FKYNH (1.00); KYN3OX (1.00); PHETA1 (1.00); PHETA1m (1.00); TRPO2 (1.00); r0647 (1.00),13,22.143826636528388,22.167698445511686,-0.023871808983297882,-0.0018362929987152216
Ascorbate And Aldarate Metabolism,0,0,0,0,1,,,,,,DASCBR (0.95),1,0.0356199873653059,0.0376618881387103,-0.0020419007734043954,-0.0020419007734043954
BCAA metabolism (Val/Leu/Iso),0,0,1,0,22,,,,ACACT1rm (1000.00),,3HBCOAHLm (1.00); AACOAT (1.00); ACACT10m (1.00); ACACT1r (1.00); ECOAH12m (1.00); ECOAH9m (1.00); HACD9m (1.00); HIBDm (1.00); HMGCOASim (1.00); HMGLm (1.00); ILETA (1.00); MMEm (1.00); MMMm (1.00); MMSAD1m (1.00); PPCOACm (1.00); VALTA (1.00); r0385 (1.00); r0560 (1.00); r0561 (1.00); r0603 (1.00); r0604 (1.00); r0670 (1.00),23,0.5341121662929713,0.5249224726278667,0.009189693665104581,0.0003995518984828079
Beta-alanine Metabolism,0,0,0,3,0,,,,,APAT2rm (2000.00); ASP1DCm (2000.00); MMSAD3m (2000.00),,3,0.0,0.2899696518991378,-0.2899696518991378,-0.09665655063304594
Biomass And Maintenance Functions,0,0,0,0,2,,,,,,ATPM (1.00); BIOMASS_maintenance (1.00),2,18.53416808236435,18.534168082363788,5.613287612504791e-13,2.8066438062523957e-13
Biosynthesis Of Amino Acids,1,3,4,2,12,PCm (3.43),GHMT2rm (0.60); PGCD (0.60); PSERT (0.60),,ACONTm (1000.00); ALATA__L (1000.00); CSm (1000.00); ICDHxm (1000.00),ASPTAm (2000.00); r0450 (2000.00),ASPTA (1.00); ENO (1.04); ILETA (1.00); PGK (1.00); PGM (1.04); PHETA1 (1.00); PHETA1m (1.00); PRPPS (1.00); PYK (1.04); RPI (1.00); VALTA (1.00); r0034 (1.00),22,63.338705604800815,62.18025022724017,1.1584553775606423,0.05265706261639283
Butanoate Metabolism,0,0,1,2,4,,,,ACACT1rm (1000.00),ECOAH1m (2000.00); HACD1m (2000.00),AACOAT (1.00); ACACT1r (1.00); HMGCOASim (1.00); HMGLm (1.00),7,0.04594846837954541,0.05513816205647999,-0.009189693676934584,-0.0013128133824192262
Central Energy Metabolism,6,2,5,0,14,AKGDm (1.68); FUMm (1.62); ME2m (8.79); PCm (3.43); SUCOASm (1.62); r0509 (1.62),GCC2cm (0.62); MDH (0.34),,ACACT1rm (1000.00); ACONTm (1000.00); CSm (1000.00); ICDHxm (1000.00); PDHm (1000.00),,ACACT1r (1.00); ACCOACm (1.00); ENO (1.04); FUM (1.00); GAPD (1.00); HEX1 (1.00); LDH__L (1.04); PFK (1.00); PGI (1.00); PGK (1.00); PGM (1.04); PGMT (1.00); PYK (1.04); TPI (1.00),27,84.52748476255977,80.02936747858749,4.498117283972277,0.1665969364434177
Cyanoamino Acid Metabolism,0,1,0,0,0,,GHMT2rm (0.60),,,,,1,0.5286489266786687,0.883452477184995,-0.3548035505063263,-0.3548035505063263
