reaction_id,flux_ratio,log2_ratio,deg_log2fc,rxn_p,padj_rxn,rxn_sig_by_padj,Pathways,pathway_list,n_pathways,pass_lfc,pass_flux,highlight,GPR_rule,GPR_rule_log2FC,size_s
2HCO3_NAt,1.0686660042023737,0.09761079662642233,0.0,0.783625134183573,0.783625134183573,True,Extracellular Transport,['Extracellular Transport'],1,False,False,False,SLC4A5 or SLC4A4 or SLC4A9,NA or -0.11 or NA,
2OXOADOXm,1000.0,3.0,0.0,,,True,2-oxocarboxylic Acid Metabolism; Lysine Metabolism; Tryptophan Metabolism,['AA other'],1,False,True,False,_DLST,NA,
3HBCOAHLm,0.6782733842686183,-0.5563933485243852,0.361027555531624,0.33937273649608,0.33937273649608,True,"Valine, Leucine And Isoleucine Biosynthesis; Valine, Leucine And Isoleucine Degradation",['BCAA metabolism (Val/Leu/Iso)'],1,False,False,False,HIBCH,0.36,
3HKYNAKGAT,1.6764396863332778,0.7484612330040356,0.215458796818918,0.551613103199416,0.551613103199416,True,Tryptophan Metabolism,['AA other'],1,False,False,False,KYAT3,0.22,
AACOAT,1.362894915584843,0.44360665147561484,-0.343568785933603,0.382465204374052,0.382465204374052,True,"Butanoate Metabolism; Valine, Leucine And Isoleucine Degradation","['AA other', 'BCAA metabolism (Val/Leu/Iso)']",2,False,False,False,AACS,-0.34,
ACACT10m,0.8830660665413398,-0.18442457113742744,0.195313373168355,0.5745291601535907,0.5745291601535907,True,"Valine, Leucine And Isoleucine Biosynthesis; Valine, Leucine And Isoleucine Degradation",['BCAA metabolism (Val/Leu/Iso)'],1,False,False,False,ACAT1 or ACAA2,0.13 or 0.20,
ACACT1r,1.362894915584843,0.44360665147561484,-0.333243325502279,0.586940753436439,0.586940753436439,True,"Butanoate Metabolism; Fatty Acid Degradation; Fatty Acid Metabolism; Glyoxylate And Dicarboxylate Metabolism; Lysine Degradation; Pyruvate Metabolism; Terpenoid Backbone Biosynthesis; Tryptophan Metabolism; Valine, Leucine And Isoleucine Degradation","['AA other', 'Lipid metabolism', 'Energy metabolism', 'Terpenoid Backbone Biosynthesis', 'BCAA metabolism (Val/Leu/Iso)']",5,False,False,False,ACAT2,-0.33,
ACCOACm,1.3628949155848344,0.44360665147561484,0.0,0.88870322413268,0.88870322413268,True,Fatty Acid Biosynthesis; Fatty Acid Degradation; Fatty Acid Metabolism; Propanoate Metabolism; Pyruvate Metabolism,"['Lipid metabolism', 'Energy metabolism']",2,False,False,False,369504 or ACACB,NA or -0.11,
ACONTm,1.0105457570081635,0.014355292977070054,-0.0206475946568654,0.8578597571559752,0.8578597571559752,True,2-oxocarboxylic Acid Metabolism; Biosynthesis Of Amino Acids; Citric Acid Cycle,"['AA central (Ala/Asp/Glu, Gly/Ser/Thr)', 'Energy metabolism']",2,False,False,False,ACO2 or ACO1,-0.10 or -0.02,
ADK1,1.36289491558674,0.44360665147561484,0.884055755502964,0.49843673615606426,0.49843673615606426,True,Nucleotide Interconversion; Nucleotide Metabolism; Purine Metabolism,"['Nucleotide metabolism', 'Nitrogen disposal']",2,True,False,False,AK1 or AK7 or AK8 or AK5,-0.28 or NA or 0.08 or 0.88,
ADKd,1.362894915584755,0.44360665147561484,0.884055755502964,0.398554348903848,0.398554348903848,True,Nucleotide Interconversion,['Nucleotide metabolism'],1,True,False,False,AK5,0.88,
