Reaction ID,GPR rule (genes),Transcript effect (log2FC),Flux change log2(FG/SG),Adjusted p-value (FDR),Metabolic pathways,Subsystem,Concordant (transcript–flux),Significant reaction (transcript effect & flux ratio)
ME2m,ME1 or ME3,0.0308,3.1359,0.8057,Pyruvate Metabolism,Central Energy Metabolism,True,False
ACACT1rm,ACAT1,0.1256,3.0,0.528,"Butanoate Metabolism; Fatty Acid Degradation; Fatty Acid Metabolism; Glyoxylate And Dicarboxylate Metabolism; Lysine Degradation; Pyruvate Metabolism; Terpenoid Backbone Biosynthesis; Tryptophan Metabolism; Valine, Leucine And Isoleucine Degradation",Butanoate Metabolism; Lipid metabolism; Glyoxylate And Dicarboxylate Metabolism; AA other (Cys/Met/Lys/Arg/Pro); Central Energy Metabolism; Terpenoid Backbone Biosynthesis; AAA metabolism (Trp/Phe/Tyr); BCAA metabolism (Val/Leu/Iso),True,False
ALATA__L,GPT2,2.3741,3.0,0.0,"2-oxocarboxylic Acid Metabolism; Alanine, Aspartate And Glutamate Metabolism; Arginine Biosynthesis; Biosynthesis Of Amino Acids","2-oxocarboxylic Acid Metabolism; AA central (A/D/E,G/S/T); AA other (Cys/Met/Lys/Arg/Pro); Biosynthesis Of Amino Acids",True,True
ARGLYSex,SLC7A6,0.2933,3.0,0.509,Extracellular Transport,Extracellular Transport,True,False
ASNtN1,SLC38A3,0.1033,3.0,0.8364,Extracellular Transport,Extracellular Transport,True,False
CSm,CS,1.0112,3.0,0.0292,2-oxocarboxylic Acid Metabolism; Biosynthesis Of Amino Acids; Citric Acid Cycle; Glyoxylate And Dicarboxylate Metabolism,2-oxocarboxylic Acid Metabolism; Biosynthesis Of Amino Acids; Central Energy Metabolism; Glyoxylate And Dicarboxylate Metabolism,True,True
ECOAH1m,HADHA and ECHS1,-0.5208,-3.0,0.8782,Butanoate Metabolism; Fatty Acid Degradation; Fatty Acid Metabolism; Lysine Degradation; Tryptophan Metabolism,Butanoate Metabolism; Lipid metabolism; AA other (Cys/Met/Lys/Arg/Pro); AAA metabolism (Trp/Phe/Tyr),True,True
GLNt4,SLC38A1 or SLC6A14 or SLC38A2 or SLC22A5 or (SLC6A19 and TMEM27) or (SLC6A19 and ACE2),1.3991,3.0,0.6849,Extracellular Transport,Extracellular Transport,True,True
PDHm,DLAT,2.3375,3.0,0.0099,2-oxocarboxylic Acid Metabolism; Glycolysis/Gluconeogenesis,2-oxocarboxylic Acid Metabolism; Central Energy Metabolism,True,True
r0130,GGT2 or GGT2P,0.9771,3.0,0.1495,Glutathione Metabolism,Redox & Pentose Metabolism,True,True
