Pathways,n_highlighted,color_hex,tissue
Extracellular Transport,13,#bcab2f,breast
Lipid metabolism,9,#3aea6d,breast
Nucleotide metabolism,6,#ea3a3a,breast
Nitrogen disposal,5,#292493,breast
Mitochondrial transport,2,#a13aea,breast
"AA central (A/D/E,G/S/T)",2,#934924,breast
AA other (Cys/Met/Lys/Arg/Pro),2,#3aeaa8,breast
BCAA metabolism (Val/Leu/Iso),2,#db3aea,breast
Redox & Pentose Metabolism,2,#409324,breast
Central Energy Metabolism,1,#2fa5bc,breast
AAA metabolism (Trp/Phe/Tyr),1,#bc2f7b,breast
