reaction_id,flux_slow,flux_fast,flux_ratio,DRF_category,Formula,Pathways_list,Pathways,Pathway_Groups_list,Pathway Groups
2HCO3_NAt,-1.2268756180195113,-1.273545996531009,1.0380400244540156,Unchanged,2.0 Bicarbonate + Sodium <==> 2.0 Bicarbonate + Sodium,['Extracellular Transport'],Extracellular Transport,['Extracellular Transport'],Extracellular Transport
2OXOADOXm,0.0063728468602393,0.029665058879608,4.6549147547684955,Increased,2-oxoadipate(2-) + Coenzyme A + Nicotinamide adenine dinucleotide --> carbon dioxide + glutaryl-CoA(5-) + Nicotinamide adenine dinucleotide - reduced,"['2-oxocarboxylic Acid Metabolism', 'Lysine Metabolism', 'Tryptophan Metabolism']",2-oxocarboxylic Acid Metabolism; Lysine Metabolism; Tryptophan Metabolism,"['2-oxocarboxylic Acid Metabolism', 'Lysine Metabolism', 'AAA metabolism (Trp/Phe/Tyr)']",2-oxocarboxylic Acid Metabolism; Lysine Metabolism; AAA metabolism (Trp/Phe/Tyr)
3DSPHR,0.000507068726273,0.0005698538331487,1.1238197183588428,Unchanged,(2S)-1-hydroxy-3-oxooctadecan-2-aminium + proton + Nicotinamide adenine dinucleotide phosphate - reduced --> Nicotinamide adenine dinucleotide phosphate + sphinganine(1+),['Sphingolipid Metabolism'],Sphingolipid Metabolism,['Lipid metabolism'],Lipid metabolism
3HBCOAHLm,0.0259282628238054,0.0229477071062386,0.8850460696954107,Unchanged,(S)-3-Hydroxyisobutyryl-CoA + Water --> 3-hydroxy-2-methylpropanoate + Coenzyme A + proton,"['Valine, Leucine And Isoleucine Biosynthesis', 'Valine, Leucine And Isoleucine Degradation']","Valine, Leucine And Isoleucine Biosynthesis; Valine, Leucine And Isoleucine Degradation",['BCAA metabolism (Val/Leu/Iso)'],BCAA metabolism (Val/Leu/Iso)
3HKYNAKGAT,0.0093048059069925,0.0104569243537093,1.123819718351244,Unchanged,"2-Oxoglutarate + 3-hydroxy-L-kynurenine --> 4-(2-Amino-3-hydroxyphenyl)-2,4-dioxobutanoate + L-glutamate(1-)",['Tryptophan Metabolism'],Tryptophan Metabolism,['AAA metabolism (Trp/Phe/Tyr)'],AAA metabolism (Trp/Phe/Tyr)
3MOBt2im,0.0259282628238054,0.0229477071062386,0.8850460696954107,Unchanged,3-methyl-2-oxobutanoate + proton --> 3-methyl-2-oxobutanoate + proton,"['Transport, Mitochondrial']","Transport, Mitochondrial",['Mitochondrial transport'],Mitochondrial transport
AACOAT,0.0063728468602393,0.0071619309636188,1.1238197183589422,Unchanged,acetoacetate + ATP + Coenzyme A --> Acetoacetyl-CoA + AMP + Diphosphate,"['Butanoate Metabolism', 'Valine, Leucine And Isoleucine Degradation']","Butanoate Metabolism; Valine, Leucine And Isoleucine Degradation","['AA other', 'BCAA metabolism (Val/Leu/Iso)']",AA other; BCAA metabolism (Val/Leu/Iso)
ACACT10m,0.0375168209719687,0.0359711572605039,0.9588007813183407,Unchanged,2-methylacetoacetyl-CoA(4-) + Coenzyme A <==> Acetyl-CoA + Propanoyl-CoA,"['Valine, Leucine And Isoleucine Biosynthesis', 'Valine, Leucine And Isoleucine Degradation']","Valine, Leucine And Isoleucine Biosynthesis; Valine, Leucine And Isoleucine Degradation",['BCAA metabolism (Val/Leu/Iso)'],BCAA metabolism (Val/Leu/Iso)
ACACT1r,-0.0063728468602393,-0.0071619309636188,1.1238197183589422,Unchanged,2.0 Acetyl-CoA <==> Acetoacetyl-CoA + Coenzyme A,"['Butanoate Metabolism', 'Fatty Acid Degradation', 'Fatty Acid Metabolism', 'Glyoxylate And Dicarboxylate Metabolism', 'Lysine Degradation', 'Pyruvate Metabolism', 'Terpenoid Backbone Biosynthesis', 'Tryptophan Metabolism', 'Valine, Leucine And Isoleucine Degradation']","Butanoate Metabolism; Fatty Acid Degradation; Fatty Acid Metabolism; Glyoxylate And Dicarboxylate Metabolism; Lysine Degradation; Pyruvate Metabolism; Terpenoid Backbone Biosynthesis; Tryptophan Metabolism; Valine, Leucine And Isoleucine Degradation","['AA other', 'Lipid metabolism', 'Glyoxylate And Dicarboxylate Metabolism', 'Central Energy Metabolism', 'Terpenoid Backbone Biosynthesis', 'AAA metabolism (Trp/Phe/Tyr)', 'BCAA metabolism (Val/Leu/Iso)']",AA other; Lipid metabolism; Glyoxylate And Dicarboxylate Metabolism; Central Energy Metabolism; Terpenoid Backbone Biosynthesis; AAA metabolism (Trp/Phe/Tyr); BCAA metabolism (Val/Leu/Iso)
ACACt2,0.0,-0.0225031279159892,1000.0,On,Acetoacetate + proton <==> acetoacetate + proton,"['Extracellular Transport', 'Fatty Acid Degradation', 'Fatty Acid Elongation', 'Fatty Acid Metabolism']",Extracellular Transport; Fatty Acid Degradation; Fatty Acid Elongation; Fatty Acid Metabolism,"['Extracellular Transport', 'Lipid metabolism', 'Fatty Acid Elongation']",Extracellular Transport; Lipid metabolism; Fatty Acid Elongation
ACCOACm,0.0892198560433508,0.1002670334906631,1.1238197183589338,Unchanged,Acetyl-CoA + ATP + Bicarbonate --> ADP + proton + Malonyl-CoA + hydrogenphosphate,"['Fatty Acid Biosynthesis', 'Fatty Acid Degradation', 'Fatty Acid Metabolism', 'Propanoate Metabolism', 'Pyruvate Metabolism']",Fatty Acid Biosynthesis; Fatty Acid Degradation; Fatty Acid Metabolism; Propanoate Metabolism; Pyruvate Metabolism,"['Lipid metabolism', 'Propanoate Metabolism', 'Central Energy Metabolism']",Lipid metabolism; Propanoate Metabolism; Central Energy Metabolism
ACONTm,0.5501629958172702,0.5599733315170397,1.017831689470856,Unchanged,Citrate <==> Isocitrate,"['2-oxocarboxylic Acid Metabolism', 'Biosynthesis Of Amino Acids', 'Citric Acid Cycle']",2-oxocarboxylic Acid Metabolism; Biosynthesis Of Amino Acids; Citric Acid Cycle,"['2-oxocarboxylic Acid Metabolism', 'AA other', 'Central Energy Metabolism']",2-oxocarboxylic Acid Metabolism; AA other; Central Energy Metabolism
ADK1,0.259790631579644,0.2919578344140974,1.1238197183588274,Unchanged,AMP + ATP <==> 2.0 ADP,"['Nucleotide Interconversion', 'Nucleotide Metabolism', 'Purine Metabolism']",Nucleotide Interconversion; Nucleotide Metabolism; Purine Metabolism,"['Nucleotide metabolism', 'Nitrogen disposal']",Nucleotide metabolism; Nitrogen disposal
ADKd,0.0008293180102596,0.0009320039327199,1.1238197183588914,Unchanged,dAMP(2-) + dATP <==> 2.0 dADP,['Nucleotide Interconversion'],Nucleotide Interconversion,['Nucleotide metabolism'],Nucleotide metabolism
ADSL1,0.0031987980399136,0.0035948723122669,1.1238197183477074,Unchanged,"N6-(1,2-Dicarboxyethyl)-AMP --> AMP + Fumarate","['Alanine, Aspartate And Glutamate Metabolism', 'Nucleotide Interconversion', 'Nucleotide Metabolism', 'Purine Metabolism']","Alanine, Aspartate And Glutamate Metabolism; Nucleotide Interconversion; Nucleotide Metabolism; Purine Metabolism","['AA other', 'Nucleotide metabolism', 'Nitrogen disposal']",AA other; Nucleotide metabolism; Nitrogen disposal
ADSL2,0.0046524029534963,0.0052284621768546,1.1238197183512209,Unchanged,(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate --> 5-Amino-1-(5-Phospho-D-ribosyl)imidazole-4-carboxamide + Fumarate,"['Purine Metabolism', 'Purine Synthesis']",Purine Metabolism; Purine Synthesis,"['Nitrogen disposal', 'Nucleotide metabolism']",Nitrogen disposal; Nucleotide metabolism
ADSS,0.0031987980399136,0.0035948723122669,1.1238197183477074,Unchanged,"L-aspartate(1-) + GTP + IMP --> N6-(1,2-Dicarboxyethyl)-AMP + GDP + 2.0 proton + hydrogenphosphate","['Alanine, Aspartate And Glutamate Metabolism', 'Nucleotide Interconversion', 'Nucleotide Metabolism', 'Purine Metabolism']","Alanine, Aspartate And Glutamate Metabolism; Nucleotide Interconversion; Nucleotide Metabolism; Purine Metabolism","['AA other', 'Nucleotide metabolism', 'Nitrogen disposal']",AA other; Nucleotide metabolism; Nitrogen disposal
AGPAT1,0.011981844443429,0.0134654330478349,1.123819718358931,Unchanged,R total 2 coenzyme A + lysophosphatidic acid --> Coenzyme A + phosphatidate(2-),['Triacylglycerol Synthesis'],Triacylglycerol Synthesis,['Lipid metabolism'],Lipid metabolism
AICART,0.0046524029534963,0.0052284621768546,1.1238197183512209,Unchanged,"10-Formyltetrahydrofolate + 5-Amino-1-(5-Phospho-D-ribosyl)imidazole-4-carboxamide <==> 5-Formamido-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide + 5,6,7,8-Tetrahydrofolate","['Folate Metabolism', 'Purine Metabolism', 'Purine Synthesis']",Folate Metabolism; Purine Metabolism; Purine Synthesis,"['Folate Metabolism', 'Nitrogen disposal', 'Nucleotide metabolism']",Folate Metabolism; Nitrogen disposal; Nucleotide metabolism
AIRCr,0.0046524029534963,0.0052284621768546,1.1238197183512209,Unchanged,5-amino-1-(5-phospho-D-ribosyl)imidazole + carbon dioxide <==> 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate + proton,"['Purine Metabolism', 'Purine Synthesis']",Purine Metabolism; Purine Synthesis,"['Nitrogen disposal', 'Nucleotide metabolism']",Nitrogen disposal; Nucleotide metabolism
AKGDm,1.1074543041525975,1.1240274310383245,1.014965066119282,Unchanged,2-Oxoglutarate + Coenzyme A + Nicotinamide adenine dinucleotide --> carbon dioxide + Nicotinamide adenine dinucleotide - reduced + Succinyl-CoA,"['2-oxocarboxylic Acid Metabolism', 'Citric Acid Cycle']",2-oxocarboxylic Acid Metabolism; Citric Acid Cycle,"['2-oxocarboxylic Acid Metabolism', 'Central Energy Metabolism']",2-oxocarboxylic Acid Metabolism; Central Energy Metabolism
AKGMALtm,9.958160096774256,10.156097725015725,1.0198769276972748,Unchanged,2-Oxoglutarate + (S)-malate(2-) <==> 2-Oxoglutarate + (S)-malate(2-),"['Transport, Mitochondrial']","Transport, Mitochondrial",['Mitochondrial transport'],Mitochondrial transport
ALATA__L,-0.0215620787083472,-0.024231889221248,1.1238197183589378,Unchanged,2-Oxoglutarate + L-alanine <==> L-glutamate(1-) + pyruvate,"['2-oxocarboxylic Acid Metabolism', 'Alanine, Aspartate And Glutamate Metabolism', 'Arginine Biosynthesis', 'Biosynthesis Of Amino Acids']","2-oxocarboxylic Acid Metabolism; Alanine, Aspartate And Glutamate Metabolism; Arginine Biosynthesis; Biosynthesis Of Amino Acids","['2-oxocarboxylic Acid Metabolism', 'AA other']",2-oxocarboxylic Acid Metabolism; AA other
AMPTASECG,0.0061799830332533,0.0258110500565122,4.176556783024792,Increased,L-cysteinylglycine + Water --> L-cysteine + Glycine,['Glutathione Metabolism'],Glutathione Metabolism,['Redox & Pentose Metabolism'],Redox & Pentose Metabolism
ARGLYSex,0.0138314131647102,0.0155440148472707,1.1238197183589362,Unchanged,L-Arginine + L-lysinium(1+) --> L-argininium(1+) + L-lysinium(1+),['Extracellular Transport'],Extracellular Transport,['Extracellular Transport'],Extracellular Transport
ARTPLM2,-0.011981844443429,-0.0134654330478349,1.123819718358931,Unchanged,R total 2 coenzyme A <==> Palmitoyl-CoA (n-C16:0CoA),['Unknown'],Unknown,['Unknown'],Unknown
ARTPLM3,-0.0002567805507766,-0.0002885750462538,1.1238197183588927,Unchanged,R total 3 Coenzyme A <==> Palmitoyl-CoA (n-C16:0CoA),['Unknown'],Unknown,['Unknown'],Unknown
ASCBOX,0.032619491313498,0.0334253061759623,1.0247034772774295,Unchanged,L-ascorbate + 3.0 proton + 2.0 superoxide --> dehydroascorbide(1-) + 2.0 Hydrogen peroxide,['Vitamin C Metabolism'],Vitamin C Metabolism,['Vitamin C Metabolism'],Vitamin C Metabolism
ASNtN1,0.0118078772196767,0.013269925251434,1.123819718358939,Unchanged,L-Asparagine + proton + 2.0 Sodium <==> L-asparagine + proton + 2.0 Sodium,['Extracellular Transport'],Extracellular Transport,['Extracellular Transport'],Extracellular Transport
ASPCTr,0.0036184803423646,0.0040665195592437,1.1238197183589826,Unchanged,L-aspartate(1-) + Carbamoyl phosphate <==> N-Carbamoyl-L-aspartate + proton + hydrogenphosphate,"['Alanine, Aspartate And Glutamate Metabolism', 'Pyrimidine Metabolism', 'Pyrimidine Synthesis']","Alanine, Aspartate And Glutamate Metabolism; Pyrimidine Metabolism; Pyrimidine Synthesis","['AA other', 'Nucleotide metabolism']",AA other; Nucleotide metabolism
ASPTA,-0.0330944090960969,-0.0371921495095595,1.1238197183567746,Unchanged,2-Oxoglutarate + L-aspartate(1-) <==> L-glutamate(1-) + Oxaloacetate,"['2-oxocarboxylic Acid Metabolism', 'Alanine, Aspartate And Glutamate Metabolism', 'Arginine Biosynthesis', 'Biosynthesis Of Amino Acids']","2-oxocarboxylic Acid Metabolism; Alanine, Aspartate And Glutamate Metabolism; Arginine Biosynthesis; Biosynthesis Of Amino Acids","['2-oxocarboxylic Acid Metabolism', 'AA other']",2-oxocarboxylic Acid Metabolism; AA other
ATPM,18.5,18.5,1.0,Unchanged,ATP + Water --> ADP + proton + hydrogenphosphate,"['Biomass And Maintenance Functions', 'Nucleotide Metabolism', 'Purine Metabolism']",Biomass And Maintenance Functions; Nucleotide Metabolism; Purine Metabolism,"['Biomass And Maintenance Functions', 'Nucleotide metabolism', 'Nitrogen disposal']",Biomass And Maintenance Functions; Nucleotide metabolism; Nitrogen disposal
ATPS4m,10.06424969537668,10.337564169493522,1.027156964740491,Unchanged,ADP + 4.0 proton + hydrogenphosphate --> ATP + Water + 3.0 proton,['Oxidative Phosphorylation'],Oxidative Phosphorylation,['Oxidative Phosphorylation'],Oxidative Phosphorylation
ATPtm,10.52455479775555,10.792623258352265,1.0254707648682566,Unchanged,ADP + ATP --> ADP + ATP,"['Transport, Mitochondrial']","Transport, Mitochondrial",['Mitochondrial transport'],Mitochondrial transport
BILGLCURtr,-0.0061799830332533,-0.0258110500565122,4.176556783024792,Increased,mono(glucosyluronic acid)bilirubin(2-) <==> mono(glucosyluronic acid)bilirubin(2-),"['Transport, Endoplasmic Reticulum']","Transport, Endoplasmic Reticulum","['Transport, Endoplasmic Reticulum']","Transport, Endoplasmic Reticulum"
