Subsystem,Lipoamide,3-PG,Acetyl-CoA,α-KG,Pyr,Glycine,L-Glu,Acetoacetate,HMG-CoA,L-ser,"Adipates, Glutaryl-CoA",O-Phospho-L-serine,3-PHP,CH2-THF,THF,P5C,L-Pro,Lys
Central Energy Metabolism,-2.8203521535250204,0.025637931933432688,1.0607757253102397,0.7459096892012557,0.5226135650014178,,,,,,,,,,,,,
Redox & Pentose Metabolism,,,,,,0.48603546635791395,1.5886326787273395,,,,,,,,,,,
Lipid metabolism,,,-0.9349809428517137,,,,,-2.5139645336456566,-2.513964533645656,0.4860354663158727,,,,,,,,
BCAA metabolism (Val/Leu/Iso),-0.2245365811173063,,-0.7761599270887711,-0.2245365811173061,,,-0.2245365811173061,-2.5139645336456566,-2.513964533645656,,,,,,,,,
AAA metabolism (Trp/Phe/Tyr),,,-2.5139645336456566,0.21276625096384238,,,0.21276625096384238,,,,-2.513964533645656,,,,,,,
"AA central (A/D/E,G/S/T)",-9.797159656750544,-4.899401782167721,,-4.984991087840008,0.4860354663158726,-9.797159656750544,-4.978132461530536,,,-9.797159656750544,,-9.797159656750544,-9.797159656750651,-9.797159656750544,-9.797159656750544,-6.0,,
AA other (Cys/Met/Lys/Arg/Pro),,-9.797159656750758,-2.5139645336456566,-3.4937315323712306,0.4860354663158726,,-3.6020622218770293,,,,-2.513964533645656,-9.797159656750544,-9.797159656750651,,,-6.0,-6.0,-2.513964533645656
Nucleotide metabolism,,,,,,0.48603546652350976,0.48603546638678474,,,,,,,0.48603546631588557,0.486035466523483,,,
Folate Metabolism,,,,,,-9.797159656750544,,,,-9.797159656750544,,,,-11.381350100591499,-5.818008486873135,,,
Nitrogen disposal,,,,0.8891278452745858,,0.48603546652350976,0.6875816558990345,,,,,,,,0.486035466523483,,,
Mitochondrial transport,,,,0.1303306756237839,-2.5139645336456566,,0.13434868356867566,-2.5139645336456566,,,,-9.797159656750544,,,,,-6.0,-2.513964533645656
Extracellular Transport,,,,,6.0,0.4860354663158728,0.6170502109491005,,,0.486035466315873,,,,,,,-1.5956594147192842,0.4860354663158726
