Pathway Groups,flux_slow,flux_fast,n_reactions,total_flux_shift,mean_flux_shift
2-oxocarboxylic Acid Metabolism,23.371619295575886,23.905113608178283,13,0.5334943126023965,0.041038024046338197
AA other,70.14994417430994,70.83344358297866,44,0.6834994086687232,0.015534077469743708
AAA metabolism (Trp/Phe/Tyr),19.95935097159829,20.47533074223547,12,0.5159797706371805,0.04299831421976504
Arginine And Proline Metabolism,0.033913837028996,0.0,1,-0.033913837028996,-0.033913837028996
BCAA metabolism (Val/Leu/Iso),0.6858704882225051,0.6857903304601177,22,-8.015776238734507e-05,-3.6435346539702302e-06
Biomass And Maintenance Functions,18.523694800293132,18.526628683791998,2,0.002933883498865697,0.0014669417494328485
Central Energy Metabolism,112.296494066091,112.84674863815971,26,0.5502545720687095,0.021163637387258058
Cyanoamino Acid Metabolism,0.0004146590051298,0.0004660019663599,1,5.1342961230099976e-05,5.1342961230099976e-05
Extracellular Transport,22.271551112826216,22.358161998335053,45,0.08661088550883633,0.0019246863446408073
Fatty Acid Elongation,0.0,0.0225031279159892,1,0.0225031279159892,0.0225031279159892
Folate Metabolism,2.5260279972735202,2.651117374077989,7,0.12508937680446897,0.017869910972066996
Glyoxylate And Dicarboxylate Metabolism,0.7803801621660593,0.781550007056806,7,0.001169844890746674,0.0001671206986780963
Lipid metabolism,0.2861414294268926,0.4340870202092993,35,0.1479455907824067,0.0042270168794973344
Lysine Biosynthesis,0.0063728468602393,0.029665058879608,1,0.0232922120193687,0.0232922120193687
Lysine Metabolism,0.03186423430119639,0.1483252943980401,5,0.1164610600968437,0.023292212019368742
Methane Metabolism,19.95518111938126,19.914854346731822,6,-0.04032677264943629,-0.006721128774906049
Mitochondrial transport,94.68214444064193,96.95915998035474,33,2.2770155397128065,0.06900047090038808
Nitrogen disposal,24.78388057501117,25.07526425809687,36,0.29138368308569795,0.008093991196824944
Nucleotide Salvage Pathway,0.017269884109248,0.0194082362957464,1,0.0021383521864983997,0.0021383521864983997
Nucleotide metabolism,21.186638337582767,21.33808068421822,63,0.1514423466354522,0.0024038467719913045
Oxidative Phosphorylation,25.401927748118933,26.080600885419553,5,0.6786731373006205,0.1357346274601241
Pantothenate And Coa Biosynthesis,0.0259282628238054,0.0229477071062386,1,-0.0029805557175668004,-0.0029805557175668004
Propanoate Metabolism,1.4504544953790448,1.459969921995958,5,0.009515426616913292,0.0019030853233826584
Purine Catabolism,1.065456424170223,1.1067727107070968,4,0.041316286536873914,0.010329071634218479
Redox & Pentose Metabolism,5.073462695375778,5.135785174231146,11,0.06232247885536779,0.005665679895942527
Starch And Sucrose Metabolism,5.001217249280658,4.992673640875231,3,-0.008543608405426895,-0.0028478694684756314
Taurine And Hypotaurine Metabolism,0.587715744948997,0.6308699653037875,1,0.04315422035479044,0.04315422035479044
Terpenoid Backbone Biosynthesis,0.0127456937204786,0.036826989843226896,2,0.024081296122748296,0.012040648061374148
"Transport, Endoplasmic Reticulum",0.020781666765892298,0.061086573421188395,5,0.0403049066552961,0.00806098133105922
"Transport, Nuclear",0.003317272041493,0.0037280157308796,4,0.00041074368938659976,0.00010268592234664994
Unknown,33.853622950525065,33.99460949199598,38,0.14098654147091594,0.003710172143971472
Vitamin C Metabolism,0.065238982626996,0.0668506123519246,2,0.0016116297249286066,0.0008058148624643033
