Subsystems,Increased,Decreased,Reversed,On,Off,Unchanged,Increased_reactions,Decreased_reactions,Reversed_reactions,On_reactions,Off_reactions,Unchanged_reactions,n_reactions,flux_fast,flux_slow,total_flux_shift,mean_flux_shift
2-oxocarboxylic Acid Metabolism,7,3,0,0,0,3,ACONTm (2.64); AKGDm (1.42); ALATA__L (1.40); ASPTA (1.40); CSm (2.64); ICDHxm (2.64); PDHm (3.59),2OXOADOXm (0.18); VALTA (0.79); r0450 (0.18),,,,ILETA (0.91); PHETA1 (1.05); PHETA1m (1.05),13,23.463865350231572,20.681066953516552,2.7827983967150196,0.2140614151319246
"AA central (A/D/E,G/S/T)",8,6,0,0,1,6,ADSL1 (1.40); ADSS (1.40); ALATA__L (1.40); ASPCTr (1.40); ASPTA (1.40); GLUDxm (1.85); GLUPRT (1.40); r0034 (1.40),GCC2am (0.00); GCC2bim (0.00); GHMT2rm (0.00); PGCD (0.00); PSERT (0.00); PSP__Lm (0.00),,,P5CDm (2000.00),GLUNm (0.98); PGM (1.04); r0552 (0.96); r0552m (1.00); r0553 (0.96); r0553m (1.00),21,18.05048980740566,19.819231165548043,-1.7687413581423819,-0.08422577895916104
AA other (Cys/Met/Lys/Arg/Pro),4,10,0,0,1,1,ALATA__L (1.40); ASPTA (1.40); GLUDxm (1.85); r0034 (1.40),2OXOADOXm (0.18); ACACT1r (0.18); ECOAH1m (0.18); HACD1m (0.18); PGCD (0.00); PSERT (0.00); SACCD3m (0.18); r0450 (0.18); r0525 (0.18); r0594m (0.18),,,PRO1xm (2000.00),GLUNm (0.98),16,1.1717257462554878,1.9198088868893968,-0.748083140633909,-0.046755196289619314
AAA metabolism (Trp/Phe/Tyr),5,5,0,0,0,2,3HKYNAKGAT (1.40); FKYNH (1.40); KYN3OX (1.40); TRPO2 (1.40); r0647 (1.40),2OXOADOXm (0.18); ACACT1r (0.18); ECOAH1m (0.18); HACD1m (0.18); r0541 (0.18),,,,PHETA1 (1.05); PHETA1m (1.05),12,20.002139065542263,19.11678911342094,0.8853499521213237,0.07377916267677698
Ascorbate And Aldarate Metabolism,0,0,0,0,0,1,,,,,,DASCBR (1.05),1,0.0327114095020629,0.0311106518241717,0.0016007576778912028,0.0016007576778912028
BCAA metabolism (Val/Leu/Iso),0,12,0,0,0,10,,3HBCOAHLm (0.79); AACOAT (0.18); ACACT1r (0.18); ECOAH12m (0.79); HIBDm (0.79); HMGCOASim (0.18); HMGLm (0.18); MMSAD1m (0.79); VALTA (0.79); r0385 (0.79); r0560 (0.79); r0561 (0.79),,,,ACACT10m (0.91); ECOAH9m (0.91); HACD9m (0.91); ILETA (0.91); MMEm (0.86); MMMm (0.86); PPCOACm (0.86); r0603 (0.91); r0604 (0.91); r0670 (0.91),22,0.6808507215012464,0.9155926747689396,-0.2347419532676932,-0.010670088784895145
Biomass And Maintenance Functions,1,0,0,0,0,1,BIOMASS_maintenance (1.40),,,,,ATPM (1.00),2,18.524021448823934,18.51715094062597,0.006870508197962977,0.0034352540989814884
Biosynthesis Of Amino Acids,9,5,0,0,1,7,ACONTm (2.64); ALATA__L (1.40); ASPTA (1.40); CSm (2.64); ICDHxm (2.64); PCm (2.64); PRPPS (1.40); RPI (1.40); r0034 (1.40),GHMT2rm (0.00); PGCD (0.00); PSERT (0.00); VALTA (0.79); r0450 (0.18),,,PRO1xm (2000.00),ENO (1.04); ILETA (0.91); PGK (1.00); PGM (1.04); PHETA1 (1.05); PHETA1m (1.05); PYK (1.04),22,62.158039496933384,59.84441844812223,2.3136210488111573,0.10516459312777987
Butanoate Metabolism,0,6,0,0,0,0,,AACOAT (0.18); ACACT1r (0.18); ECOAH1m (0.18); HACD1m (0.18); HMGCOASim (0.18); HMGLm (0.18),,,,,6,0.038764204676029194,0.2214163109533614,-0.1826521062773322,-0.030442017712888698
Central Energy Metabolism,10,3,0,1,1,12,ACONTm (2.64); AKGDm (1.42); CSm (2.64); ICDHxm (2.64); ME2m (3.38); PCm (2.64); PDHm (3.59); PGMT (1.40); SUCOASm (1.37); r0509 (1.37),ACACT1r (0.18); GCC2cm (0.14); MDH (0.06),,ACCOACm (1000.00),ACCOAC (2000.00),ENO (1.04); FUM (1.07); FUMm (1.09); GAPD (1.00); HEX1 (1.00); LDH__L (0.91); PFK (1.00); PGI (1.00); PGK (1.00); PGM (1.04); PYK (1.04); TPI (1.00),27,112.52660116933974,107.68471728662202,4.841883882717724,0.17932903269324904
Cyanoamino Acid Metabolism,0,1,0,0,0,0,,GHMT2rm (0.00),,,,,1,0.0004203753544188,0.3740039383669137,-0.3735835630124949,-0.3735835630124949
Extracellular Transport,25,3,2,2,1,7,2HCO3_NAt (1.44); ARGLYSex (1.40); ASNtN1 (1.40); BTNt2 (1.88); BTNt4i (1.88); CHOLESTTDe (1.40); CHOLESTle (1.40); CHOLtu (1.40); CYTDt (1.40); GLUt4 (1.53); HIStN1 (1.40); INSTt2 (1.40); METtec (1.40); PCt (1.40); PHEtec (1.40); PIt9 (1.40); PSFLIP (1.40); RTOTALt (1.40); SERt4 (1.40); THRt4 (1.40); TRPt (1.40); TYRPHELAT2tc (1.40); URIt (1.40); r1030 (1.40); r1402 (1.40),CO2t (0.59); OAAt_1 (0.00); PROt4 (0.33),CA2t (3000.00); CAt7r (3000.00),CYSGLUexR (1000.00); PYRt2 (1000.00),CYStec (2000.00),GLCt1 (1.00); GLNtN1 (0.97); H2O2t (1.05); ILEtec (1.00); NH4t (0.91); O2t (1.05); VALtec (1.00),40,13.441525816562109,12.760004101279229,0.6815217152828801,0.017038042882072002
Folate Metabolism,4,1,0,0,3,2,AICART (1.40); FTHFL (1.40); GARFT (1.40); r0226 (1.40),GHMT2rm (0.00),,,FTHFDHm (2000.00); MTHFCm (2000.00); MTHFD2m (2000.00),r0552 (0.96); r0553 (0.96),10,2.5502901181212074,5.277975892354178,-2.7276857742329703,-0.272768577423297
Glyoxylate And Dicarboxylate Metabolism,1,3,0,0,0,3,CSm (2.64),ACACT1r (0.18); GHMT2rm (0.00); MDH (0.06),,,,MMEm (0.86); MMMm (0.86); PPCOACm (0.86),7,0.7874947124500198,1.37044762222519,-0.5829529097751702,-0.0832789871107386
Lipid metabolism,29,5,0,1,1,0,3DSPHR (1.40); AGPAT1 (1.40); ARTPLM2 (1.40); ARTPLM3 (1.40); CDIPTr (1.40); CDS (1.40); CEPTC (1.40); CHLPCTD (1.40); CHOLK (1.40); CLSm_hs (1.40); DAGK_hs (1.40); DGAT (1.40); DSAT (1.40); FAS100COA (1.40); FAS120COA (1.40); FAS140COA (1.40); FAS160COA (1.40); FAS80COA__L (1.40); GPAM_hs (1.40); GPDDA1 (1.40); LPASE (1.40); PGPPTm (1.40); PGPP_hs (1.40); PSDm_hs (1.40); PSSA1_hs (1.40); RE2675C (1.40); SERPT (1.40); SMS (1.40); r0202c (1.40),ACACT1r (0.18); ECOAH1m (0.18); HACD1m (0.18); HMGCOASim (0.18); HMGLm (0.18),,ACCOACm (1000.00),ACCOAC (2000.00),,36,0.29616288073405483,0.37290508120099397,-0.07674220046693914,-0.002131727790748309
Lysine Biosynthesis,0,1,0,0,0,0,,r0450 (0.18),,,,,1,0.0064607007793382,0.0369027184922269,-0.0304420177128887,-0.0304420177128887
Methane Metabolism,0,4,0,0,0,2,,GHMT2rm (0.00); MDH (0.06); PGCD (0.00); PSERT (0.00),,,,ENO (1.04); PGM (1.04),6,19.95494608826328,20.845288429047336,-0.8903423407840556,-0.14839039013067593
