Reaction ID,GPR rule (genes),Transcript effect (log2FC),Flux change log2(FG/SG),Adjusted p-value (FDR),Metabolic pathways,Subsystem,Concordant (transcript–flux),Significant reaction (transcript effect & flux ratio)
PSP__Lm,PSPH,-0.5392,-6.6439,0.1485,"Alanine, Aspartate And Glutamate Metabolism; Glycine, Serine And Threonine Metabolism","AA central (A/D/E,G/S/T)",True,True
COAtim,SLC25A16,1.1639,3.0,0.0271,"Transport, Mitochondrial",Mitochondrial transport,True,True
CYSGLUexR,SLC7A10 or SLC7A5,0.8807,3.0,0.5657,Extracellular Transport,Extracellular Transport,True,True
PYRt2,SLC16A3 or SLC16A7 or LOC416086 or SLC16A1,0.6022,3.0,0.3296,Extracellular Transport,Extracellular Transport,True,True
r0130,GGT2 or GGT2P,0.8911,3.0,0.1032,Glutathione Metabolism,Redox & Pentose Metabolism,True,True
ECOAH1m,HADHA and ECHS1,-0.5872,-2.4739,0.1877,Butanoate Metabolism; Fatty Acid Degradation; Fatty Acid Metabolism; Lysine Degradation; Tryptophan Metabolism,Butanoate Metabolism; Lipid metabolism; AA other (Cys/Met/Lys/Arg/Pro); AAA metabolism (Trp/Phe/Tyr),True,True
PDHm,DLAT,3.1788,1.844,0.0,2-oxocarboxylic Acid Metabolism; Glycolysis/Gluconeogenesis,2-oxocarboxylic Acid Metabolism; Central Energy Metabolism,True,True
r1418,CA15L or CA9,0.7373,1.844,0.262,Nitrogen Metabolism,Nitrogen disposal,True,True
CSm,CS,1.1799,1.4005,0.0114,2-oxocarboxylic Acid Metabolism; Biosynthesis Of Amino Acids; Citric Acid Cycle; Glyoxylate And Dicarboxylate Metabolism,2-oxocarboxylic Acid Metabolism; Biosynthesis Of Amino Acids; Central Energy Metabolism; Glyoxylate And Dicarboxylate Metabolism,True,True
GLUDxm,GLUD2,1.0502,0.8875,0.0089,"Alanine, Aspartate And Glutamate Metabolism; Arginine Biosynthesis; Nitrogen Metabolism; Taurine And Hypotaurine Metabolism","AA central (A/D/E,G/S/T); AA other (Cys/Met/Lys/Arg/Pro); Nitrogen disposal; Taurine And Hypotaurine Metabolism",True,True
2HCO3_NAt,SLC4A5 or SLC4A4 or SLC4A9,1.6648,0.5261,0.361,Extracellular Transport,Extracellular Transport,True,True
GCC2am,AMT and DLD and GLDC and GCSH,-0.0396,-6.6439,0.9375,"Alanine, Aspartate And Glutamate Metabolism; Glycine, Serine And Threonine Metabolism","AA central (A/D/E,G/S/T)",False,False
GCC2bim,AMT and DLD and GLDC and GCSH,-0.0396,-6.6439,0.9375,"Alanine, Aspartate And Glutamate Metabolism; Glycine, Serine And Threonine Metabolism","AA central (A/D/E,G/S/T)",False,False
GHMT2rm,SHMT1,1.7742,-6.6439,0.0,"Alanine, Aspartate And Glutamate Metabolism; Biosynthesis Of Amino Acids; Cyanoamino Acid Metabolism; Folate Metabolism; Glycine, Serine And Threonine Metabolism; Glyoxylate And Dicarboxylate Metabolism; Methane Metabolism","AA central (A/D/E,G/S/T); Biosynthesis Of Amino Acids; Cyanoamino Acid Metabolism; Folate Metabolism; Glyoxylate And Dicarboxylate Metabolism; Methane Metabolism",False,True
PGCD,PHGDH,0.0274,-6.6439,0.9622,"Alanine, Aspartate And Glutamate Metabolism; Biosynthesis Of Amino Acids; Cysteine And Methionine Metabolism; Glycine, Serine And Threonine Metabolism; Methane Metabolism","AA central (A/D/E,G/S/T); Biosynthesis Of Amino Acids; AA other (Cys/Met/Lys/Arg/Pro); Methane Metabolism",False,False
PSERT,PSAT1,0.9791,-6.6439,0.0,"Alanine, Aspartate And Glutamate Metabolism; Biosynthesis Of Amino Acids; Cysteine And Methionine Metabolism; Glycine, Serine And Threonine Metabolism; Methane Metabolism","AA central (A/D/E,G/S/T); Biosynthesis Of Amino Acids; AA other (Cys/Met/Lys/Arg/Pro); Methane Metabolism",False,True
MDH,MDH2 or MDH1,0.0917,-4.0589,0.3029,Citric Acid Cycle; Glyoxylate And Dicarboxylate Metabolism; Methane Metabolism; Pyruvate Metabolism,Central Energy Metabolism; Glyoxylate And Dicarboxylate Metabolism; Methane Metabolism,False,False
ACCOACm,369504 or ACACB,0.1426,3.0,0.7398,Fatty Acid Biosynthesis; Fatty Acid Degradation; Fatty Acid Metabolism; Propanoate Metabolism; Pyruvate Metabolism,Lipid metabolism; Propanoate Metabolism; Central Energy Metabolism,False,False
GCC2cm,DLD,-0.0396,-2.8365,0.9375,Glycolysis/Gluconeogenesis,Central Energy Metabolism,False,False
2OXOADOXm,DLST,-0.0556,-2.4739,0.9047,2-oxocarboxylic Acid Metabolism; Lysine Metabolism; Tryptophan Metabolism,2-oxocarboxylic Acid Metabolism; AA other (Cys/Met/Lys/Arg/Pro); AAA metabolism (Trp/Phe/Tyr),False,False
AACOAT,AACS,-0.3617,-2.4739,0.2092,"Butanoate Metabolism; Valine, Leucine And Isoleucine Degradation",Butanoate Metabolism; BCAA metabolism (Val/Leu/Iso),False,False
ACACT1r,ACAT2,-0.2818,-2.4739,0.4482,"Butanoate Metabolism; Fatty Acid Degradation; Fatty Acid Metabolism; Glyoxylate And Dicarboxylate Metabolism; Lysine Degradation; Pyruvate Metabolism; Terpenoid Backbone Biosynthesis; Tryptophan Metabolism; Valine, Leucine And Isoleucine Degradation",Butanoate Metabolism; Lipid metabolism; Glyoxylate And Dicarboxylate Metabolism; AA other (Cys/Met/Lys/Arg/Pro); Central Energy Metabolism; Terpenoid Backbone Biosynthesis; AAA metabolism (Trp/Phe/Tyr); BCAA metabolism (Val/Leu/Iso),False,False
HACD1m,XRN1 or HADH,-0.2573,-2.4739,0.2891,Butanoate Metabolism; Fatty Acid Degradation; Fatty Acid Metabolism; Lysine Degradation; Tryptophan Metabolism,Butanoate Metabolism; Lipid metabolism; AA other (Cys/Met/Lys/Arg/Pro); AAA metabolism (Trp/Phe/Tyr),False,False
