reaction_id,flux_slow,flux_fast,flux_ratio,DRF_category,Formula,Pathways_list,Pathways,Pathway_Groups_list,Pathway Groups
2HBO,-0.0279101635042464,-0.0006002829215696,0.021507682012621307,Decreased,2-Hydroxybutyrate + Nicotinamide adenine dinucleotide <==> 2-Oxobutanoate + proton + Nicotinamide adenine dinucleotide - reduced,['Propanoate Metabolism'],Propanoate Metabolism,['Propanoate Metabolism'],Propanoate Metabolism
2HBt2,-0.0279101635042464,-0.0006002829215722,0.021507682012714465,Decreased,2 Hydroxybutyrate C4H7O3 + proton <==> 2-Hydroxybutyrate + proton,['Extracellular Transport'],Extracellular Transport,['Extracellular Transport'],Extracellular Transport
2OXOADOXm,0.0369027184926626,0.0369027184927639,1.0000000000027451,Unchanged,2-oxoadipate(2-) + Coenzyme A + Nicotinamide adenine dinucleotide --> carbon dioxide + glutaryl-CoA(5-) + Nicotinamide adenine dinucleotide - reduced,"['2-oxocarboxylic Acid Metabolism', 'Lysine Metabolism', 'Tryptophan Metabolism']",2-oxocarboxylic Acid Metabolism; Lysine Metabolism; Tryptophan Metabolism,"['2-oxocarboxylic Acid Metabolism', 'Lysine Metabolism', 'AAA metabolism (Trp/Phe/Tyr)']",2-oxocarboxylic Acid Metabolism; Lysine Metabolism; AAA metabolism (Trp/Phe/Tyr)
3DSPHR,0.0003670301294012,0.0,2000.0,Off,(2S)-1-hydroxy-3-oxooctadecan-2-aminium + proton + Nicotinamide adenine dinucleotide phosphate - reduced --> Nicotinamide adenine dinucleotide phosphate + sphinganine(1+),['Sphingolipid Metabolism'],Sphingolipid Metabolism,['Lipid metabolism'],Lipid metabolism
3DSPHRr,0.0,0.0003670301293981,1000.0,On,(2S)-1-hydroxy-3-oxooctadecan-2-aminium + proton + Nicotinamide adenine dinucleotide phosphate - reduced --> Nicotinamide adenine dinucleotide phosphate + sphinganine(1+),['Sphingolipid Metabolism'],Sphingolipid Metabolism,['Lipid metabolism'],Lipid metabolism
3HBCOAHLm,0.032576222209976,0.0325762222104225,1.0000000000137064,Unchanged,(S)-3-Hydroxyisobutyryl-CoA + Water --> 3-hydroxy-2-methylpropanoate + Coenzyme A + proton,"['Valine, Leucine And Isoleucine Biosynthesis', 'Valine, Leucine And Isoleucine Degradation']","Valine, Leucine And Isoleucine Biosynthesis; Valine, Leucine And Isoleucine Degradation",['BCAA metabolism (Val/Leu/Iso)'],BCAA metabolism (Val/Leu/Iso)
3HKYNAKGAT,0.0067350714781537,0.0067350714770896,0.999999999842006,Unchanged,"2-Oxoglutarate + 3-hydroxy-L-kynurenine --> 4-(2-Amino-3-hydroxyphenyl)-2,4-dioxobutanoate + L-glutamate(1-)",['Tryptophan Metabolism'],Tryptophan Metabolism,['AAA metabolism (Trp/Phe/Tyr)'],AAA metabolism (Trp/Phe/Tyr)
3MOBt2im,0.0325762222102904,8.581431429742402,263.4262307749006,Increased,3-methyl-2-oxobutanoate + proton --> 3-methyl-2-oxobutanoate + proton,"['Transport, Mitochondrial']","Transport, Mitochondrial",['Mitochondrial transport'],Mitochondrial transport
5MTHFt,-3.209929110704219,-1.8576403931383731,0.5787169526403746,Decreased,5-Methyltetrahydrofolate <==> 5-Methyltetrahydrofolate,['Extracellular Transport'],Extracellular Transport,['Extracellular Transport'],Extracellular Transport
5MTHFt2le,3.209929110704219,1.8576403931383731,0.5787169526403746,Decreased,5-Methyltetrahydrofolate + hydroxide ion <==> 5-Methyltetrahydrofolate + hydroxide ion,['Extracellular Transport'],Extracellular Transport,['Extracellular Transport'],Extracellular Transport
AACOAT,0.0369027184927787,0.036902718493602,1.00000000002231,Unchanged,acetoacetate + ATP + Coenzyme A --> Acetoacetyl-CoA + AMP + Diphosphate,"['Butanoate Metabolism', 'Valine, Leucine And Isoleucine Degradation']","Butanoate Metabolism; Valine, Leucine And Isoleucine Degradation","['AA other', 'BCAA metabolism (Val/Leu/Iso)']",AA other; BCAA metabolism (Val/Leu/Iso)
ACACT10m,0.0409643356480032,0.0409643356480734,1.0000000000017137,Unchanged,2-methylacetoacetyl-CoA(4-) + Coenzyme A <==> Acetyl-CoA + Propanoyl-CoA,"['Valine, Leucine And Isoleucine Biosynthesis', 'Valine, Leucine And Isoleucine Degradation']","Valine, Leucine And Isoleucine Biosynthesis; Valine, Leucine And Isoleucine Degradation",['BCAA metabolism (Val/Leu/Iso)'],BCAA metabolism (Val/Leu/Iso)
ACACT1r,-0.0369027184927787,-0.036902718493602,1.00000000002231,Unchanged,2.0 Acetyl-CoA <==> Acetoacetyl-CoA + Coenzyme A,"['Butanoate Metabolism', 'Fatty Acid Degradation', 'Fatty Acid Metabolism', 'Glyoxylate And Dicarboxylate Metabolism', 'Lysine Degradation', 'Pyruvate Metabolism', 'Terpenoid Backbone Biosynthesis', 'Tryptophan Metabolism', 'Valine, Leucine And Isoleucine Degradation']","Butanoate Metabolism; Fatty Acid Degradation; Fatty Acid Metabolism; Glyoxylate And Dicarboxylate Metabolism; Lysine Degradation; Pyruvate Metabolism; Terpenoid Backbone Biosynthesis; Tryptophan Metabolism; Valine, Leucine And Isoleucine Degradation","['AA other', 'Lipid metabolism', 'Glyoxylate And Dicarboxylate Metabolism', 'Central Energy Metabolism', 'Terpenoid Backbone Biosynthesis', 'AAA metabolism (Trp/Phe/Tyr)', 'BCAA metabolism (Val/Leu/Iso)']",AA other; Lipid metabolism; Glyoxylate And Dicarboxylate Metabolism; Central Energy Metabolism; Terpenoid Backbone Biosynthesis; AAA metabolism (Trp/Phe/Tyr); BCAA metabolism (Val/Leu/Iso)
ACCOAC,0.0645797573623627,0.0645797573634624,1.0000000000170286,Unchanged,Acetyl-CoA + ATP + Bicarbonate --> ADP + proton + Malonyl-CoA + hydrogenphosphate,"['Fatty Acid Biosynthesis', 'Fatty Acid Degradation', 'Fatty Acid Metabolism', 'Propanoate Metabolism', 'Pyruvate Metabolism']",Fatty Acid Biosynthesis; Fatty Acid Degradation; Fatty Acid Metabolism; Propanoate Metabolism; Pyruvate Metabolism,"['Lipid metabolism', 'Propanoate Metabolism', 'Central Energy Metabolism']",Lipid metabolism; Propanoate Metabolism; Central Energy Metabolism
ACONTm,0.7983403377775254,0.7605842227821292,0.9527067427151379,Unchanged,Citrate <==> Isocitrate,"['2-oxocarboxylic Acid Metabolism', 'Biosynthesis Of Amino Acids', 'Citric Acid Cycle']",2-oxocarboxylic Acid Metabolism; Biosynthesis Of Amino Acids; Citric Acid Cycle,"['2-oxocarboxylic Acid Metabolism', 'AA other', 'Central Energy Metabolism']",2-oxocarboxylic Acid Metabolism; AA other; Central Energy Metabolism
ADK1,0.2203334005657511,0.2206815646583545,1.0015801693783577,Unchanged,AMP + ATP <==> 2.0 ADP,"['Nucleotide Interconversion', 'Nucleotide Metabolism', 'Purine Metabolism']",Nucleotide Interconversion; Nucleotide Metabolism; Purine Metabolism,"['Nucleotide metabolism', 'Nitrogen disposal']",Nucleotide metabolism; Nitrogen disposal
