Subsystem,Oxaloacetate,α-KG,"F1,6BP",L-Glu,L-Thr,α-Ketobutyrate,P5C,L-aspartate(1-),Carbamoyl phosphate,L-Pro,Arg,Urea,"GSA, Orn"
Central Energy Metabolism,-0.7815299401691083,-0.04395593903946178,6.0,,,,,,,,,,
Redox & Pentose Metabolism,,-0.042111990637174954,6.0,0.0,,,,,,,,,
BCAA metabolism (Val/Leu/Iso),,-0.022240750169939563,,-0.022240750169939563,-6.0,-6.0,,,,,,,
AAA metabolism (Trp/Phe/Tyr),,0.06363432496428126,,0.06363432496428126,,,,,,,,,
"AA central (A/D/E,G/S/T)",-4.49590846556002,-0.18154516875752144,,-0.1460587849777646,-6.0,-6.0,-6.0,-4.403491088969356,0.14631619227744003,,,,
AA other (Cys/Met/Lys/Arg/Pro),-4.49590846556002,1.1183328390708058,,1.136581322397489,,,-6.0,-4.49590846556002,0.14631619227744003,-6.0,6.0,6.0,6.0
Nucleotide metabolism,,,,-0.03366444550684627,,,,0.14631619251657768,-0.8536838077225597,,,,
Nitrogen disposal,,2.997119538344203,,2.046851756435143,,,,0.1463161926530859,6.0,,6.0,6.0,6.0
Mitochondrial transport,,0.022036552991666847,,0.018499512189594836,,,,,6.0,-6.0,6.0,6.0,
Extracellular Transport,,,,-0.3253277238286216,-0.29175186426772287,,,0.0003206923549888372,,-3.0098224246399505,3.3699710715422557,6.0,
