Pathway Groups,flux_slow,flux_fast,n_reactions,total_flux_shift,mean_flux_shift
2-oxocarboxylic Acid Metabolism,31.242756581950612,27.325935000667112,14,-3.9168215812835,-0.27977297009167856
AA other,76.23337707889448,91.37594383340247,51,15.142566754507996,0.29691307361780384
AAA metabolism (Trp/Phe/Tyr),26.687219589429333,4.7060157982715705,12,-21.98120379115776,-1.83176698259648
Arginine And Proline Metabolism,0.0383563979182604,0.0036016975294227995,7,-0.0347547003888376,-0.004964957198405372
BCAA metabolism (Val/Leu/Iso),0.9435028382664696,18.013303089832544,24,17.069800251566075,0.7112416771485864
Biomass And Maintenance Functions,18.517150940626227,18.51715094062608,2,-1.4566126083082054e-13,-7.283063041541027e-14
Central Energy Metabolism,46.043735414489824,80.80216636963453,25,34.75843095514471,1.3903372382057884
Cyanoamino Acid Metabolism,0.0006002829222357,0.0006002829217112,1,-5.24499931334188e-13,-5.24499931334188e-13
Extracellular Transport,46.80035875100608,50.11328479752267,55,3.312926046516587,0.06023501902757431
Folate Metabolism,12.437998689653444,19.898967547664416,11,7.460968858010972,0.6782698961828156
Fructose And Mannose Metabolism,9.410954801968664,0.0,3,-9.410954801968664,-3.1369849339895546
Glyoxylate And Dicarboxylate Metabolism,10.568989866008769,20.6178658479032,9,10.048875981894431,1.1165417757660479
Lipid metabolism,0.36856633915269443,0.3700344596736044,40,0.0014681205209099435,3.670301302274859e-05
Lysine Biosynthesis,0.0369027184926626,0.0369027184927639,1,1.0130091210314163e-13,1.0130091210314163e-13
Lysine Metabolism,0.184513592463313,0.1845135924638195,5,5.064837438339964e-13,1.0129674876679928e-13
Methane Metabolism,12.566001786003838,19.969949751178284,6,7.403947965174446,1.2339913275290744
Mitochondrial transport,108.75339523556168,79.65188399250393,35,-29.101511243057757,-0.8314717498016502
Nitrogen disposal,24.69961930057063,21.631295424258372,42,-3.0683238763122596,-0.07305533038838713
Nucleotide Salvage Pathway,0.0125004116227177,0.0122482927951819,1,-0.0002521188275357994,-0.0002521188275357994
Nucleotide metabolism,23.05084905731763,20.37340943890547,65,-2.677439618412162,-0.04119137874480249
Oxidative Phosphorylation,33.276560567738116,22.248346726495157,5,-11.028213841242959,-2.205642768248592
Pantothenate And Coa Biosynthesis,0.0325762222102904,17.130286637274377,2,17.097710415064086,8.548855207532043
Propanoate Metabolism,1.8001969361487236,1.6973748255771877,6,-0.1028221105715359,-0.017137018428589317
Purine Catabolism,1.3133027326245967,0.0139007344716845,4,-1.2994019981529121,-0.32485049953822803
Redox & Pentose Metabolism,0.9045962291265354,5.854307801754891,12,4.949711572628356,0.41247596438569634
Starch And Sucrose Metabolism,6.2868790208188265,5.0008810781218465,5,-1.28599794269698,-0.257199588539396
Taurine And Hypotaurine Metabolism,0.8291233776920836,0.4700265016348278,1,-0.35909687605725576,-0.35909687605725576
Terpenoid Backbone Biosynthesis,0.0738054369854413,0.07380543698636591,2,9.246076126956382e-13,4.623038063478191e-13
"Transport, Endoplasmic Reticulum",0.0008575470313113,0.010133187344245603,14,0.009275640312934303,0.0006625457366381645
"Transport, Nuclear",0.0024011316876716,0.002401131687653,4,-1.860013879029232e-14,-4.65003469757308e-15
"Transport, Peroxisomal",18.97295897252014,39.14622316629368,4,20.17326419377354,5.043316048443385
Unknown,37.286640742160564,51.9993702213813,39,14.712729479220734,0.37724947382617263
Vitamin C Metabolism,0.0858402593976618,0.0560756474823472,2,-0.02976461191531459,-0.014882305957657296
