Pathway Groups,Pathways,Increased,Decreased,Reversed,On,Off,Unchanged,Increased_reactions,Decreased_reactions,Reversed_reactions,On_reactions,Off_reactions,Unchanged_reactions,n_reactions,flux_fast,flux_slow,total_flux_shift,mean_flux_shift
"2-oxocarboxylic Acid Metabolism; AA central (A/D/E,G/S/T); AA other (Cys/Met/Lys/Arg/Pro); Biosynthesis Of Amino Acids; Nucleotide metabolism; Nitrogen disposal; Taurine And Hypotaurine Metabolism",Arginine Biosynthesis,0,0,2,1,1,2,,,ALATA__L (3000.00); GLUDxm (3000.00),r0034 (1000.00),CBPS (2000.00),ASPTA (1.00); GLUNm (1.01),6,2.199990103912897,1.3632593407448614,0.8367307631680356,0.1394551271946726
"2-oxocarboxylic Acid Metabolism; AA other (Cys/Met/Lys/Arg/Pro); AAA metabolism (Trp/Phe/Tyr); Biosynthesis Of Amino Acids; Central Energy Metabolism; AA central (A/D/E,G/S/T); Glyoxylate And Dicarboxylate Metabolism; Redox & Pentose Metabolism; BCAA metabolism (Val/Leu/Iso); Pantothenate And Coa Biosynthesis; Lysine Biosynthesis",2-oxocarboxylic Acid Metabolism,1,2,1,1,0,9,VALTA (263.43),PHETA1 (0.17); PHETA1m (0.17),ALATA__L (3000.00),VALTAm (1000.00),,2OXOADOXm (1.00); ACONTm (0.95); AKGDm (0.95); ASPTA (1.00); CSm (0.95); ICDHym (0.95); ILETA (1.00); PDHm (0.95); r0450 (1.00),14,27.325935000667112,31.242756581950612,-3.9168215812835,-0.27977297009167856
2-oxocarboxylic Acid Metabolism; AA other (Cys/Met/Lys/Arg/Pro); AAA metabolism (Trp/Phe/Tyr); Biosynthesis Of Amino Acids; Lysine Biosynthesis,Lysine Metabolism,0,0,0,0,0,5,,,,,,2OXOADOXm (1.00); SACCD3m (1.00); r0450 (1.00); r0525 (1.00); r0594m (1.00),5,0.1845135924638195,0.184513592463313,5.064837438339964e-13,1.0129674876679928e-13
2-oxocarboxylic Acid Metabolism; AA other (Cys/Met/Lys/Arg/Pro); AAA metabolism (Trp/Phe/Tyr); Butanoate Metabolism; Lipid metabolism; Glyoxylate And Dicarboxylate Metabolism; Central Energy Metabolism; Terpenoid Backbone Biosynthesis; BCAA metabolism (Val/Leu/Iso),Tryptophan Metabolism,0,0,0,0,0,10,,,,,,2OXOADOXm (1.00); 3HKYNAKGAT (1.00); ACACT1r (1.00); ECOAH1m (1.00); FKYNH (1.00); HACD1m (1.00); KYN3OX (1.00); TRPO2 (1.00); r0541 (1.00); r0647 (1.00),10,0.2181889498501051,0.2181889498541976,-4.092504113373252e-12,-4.092504113373252e-13
2-oxocarboxylic Acid Metabolism; Biosynthesis Of Amino Acids; AAA metabolism (Trp/Phe/Tyr),Phenylalanine Metabolism,0,2,0,0,0,0,,PHETA1 (0.17); PHETA1m (0.17),,,,,2,4.487826848421466,26.469030639575134,-21.981203791153668,-10.990601895576834
2-oxocarboxylic Acid Metabolism; Biosynthesis Of Amino Acids; AAA metabolism (Trp/Phe/Tyr),"Phenylalanine, Tyrosine And Tryptophan Biosynthesis",0,2,0,0,0,0,,PHETA1 (0.17); PHETA1m (0.17),,,,,2,4.487826848421466,26.469030639575134,-21.981203791153668,-10.990601895576834
"2-oxocarboxylic Acid Metabolism; Biosynthesis Of Amino Acids; Central Energy Metabolism; AA central (A/D/E,G/S/T); AA other (Cys/Met/Lys/Arg/Pro); Glyoxylate And Dicarboxylate Metabolism; Folate Metabolism; Methane Metabolism; Cyanoamino Acid Metabolism; Redox & Pentose Metabolism; BCAA metabolism (Val/Leu/Iso); AAA metabolism (Trp/Phe/Tyr); Nitrogen disposal; Pantothenate And Coa Biosynthesis; Lysine Biosynthesis",Biosynthesis Of Amino Acids,5,2,1,5,2,12,ENO (1.59); PGK (1.59); PGM (1.59); PYK (1.59); VALTA (263.43),PHETA1 (0.17); PHETA1m (0.17),ALATA__L (3000.00),CYSTGL (1000.00); CYSTS (1000.00); METAT (1000.00); VALTAm (1000.00); r0034 (1000.00),PRO1xm (2000.00); THRD__L (2000.00),ACONTm (0.95); ASPTA (1.00); CSm (0.95); GHMT2rm (1.00); ICDHym (0.95); ILETA (1.00); PCm (0.95); PGCD (1.00); PRPPS (0.99); PSERT (1.00); RPI (1.00); r0450 (1.00),27,65.90721394288157,55.00272604086838,10.904487902013187,0.4038699222967847
2-oxocarboxylic Acid Metabolism; Biosynthesis Of Amino Acids; Central Energy Metabolism; Glyoxylate And Dicarboxylate Metabolism; Redox & Pentose Metabolism; Methane Metabolism; Propanoate Metabolism,Citric Acid Cycle,0,0,0,0,0,10,,,,,,ACONTm (0.95); AKGDm (0.95); CSm (0.95); FUM (1.00); FUMm (0.95); ICDHym (0.95); MDH (1.00); PCm (0.95); SUCOAS1m (0.95); r0509 (0.95),10,8.646817059842247,9.099890439790721,-0.4530733799484743,-0.04530733799484743
2-oxocarboxylic Acid Metabolism; Biosynthesis Of Amino Acids; Lysine Biosynthesis; AA other (Cys/Met/Lys/Arg/Pro),Lysine Biosynthesis,0,0,0,0,0,1,,,,,,r0450 (1.00),1,0.0369027184927639,0.0369027184926626,1.0130091210314163e-13,1.0130091210314163e-13
2-oxocarboxylic Acid Metabolism; Biosynthesis Of Amino Acids; Pantothenate And Coa Biosynthesis; BCAA metabolism (Val/Leu/Iso),Pantothenate And Coa Biosynthesis,1,0,0,1,0,0,VALTA (263.43),,,VALTAm (1000.00),,,2,17.130286637274377,0.0325762222102904,17.097710415064086,8.548855207532043
"AA central (A/D/E,G/S/T); AA other (Cys/Met/Lys/Arg/Pro); Nitrogen disposal; Taurine And Hypotaurine Metabolism",Taurine And Hypotaurine Metabolism,0,0,1,0,0,0,,,GLUDxm (3000.00),,,,1,0.4700265016348278,0.8291233776920836,-0.35909687605725576,-0.35909687605725576
"AA central (A/D/E,G/S/T); AA other (Cys/Met/Lys/Arg/Pro); Nitrogen disposal; Taurine And Hypotaurine Metabolism; Biosynthesis Of Amino Acids",Nitrogen Metabolism,0,0,1,1,0,2,,,GLUDxm (3000.00),r0034 (1000.00),,r1418c (0.96); r1418m (0.96),4,1.3713501940835808,1.7682031851349773,-0.3968529910513965,-0.09921324776284912
