Subsystems,Increased,Decreased,On,Off,Unchanged,Increased_reactions,Decreased_reactions,Reversed_reactions,On_reactions,Off_reactions,Unchanged_reactions,n_reactions,flux_fast,flux_slow,total_flux_shift,mean_flux_shift
2-oxocarboxylic Acid Metabolism,0,0,1,1,12,,,,PDHm (1000.00),ASPTAm (2000.00),2OXOADOXm (0.98); ACONTm (0.97); AKGDm (0.97); ALATA__L (1.01); ASPTA (0.97); CSm (0.97); ICDHym (0.97); ILETA (0.99); PHETA1 (1.02); PHETA1m (1.02); VALTA (0.98); r0450 (0.98),14,27.188303893287618,26.99672119363643,0.1915826996511889,0.013684478546513492
"AA central (A/D/E,G/S/T)",0,2,1,4,16,,r0552 (0.66); r0553 (0.66),,r0034 (1000.00),ASPTAm (2000.00); CBPS (2000.00); P5CDm (2000.00); THRD__L (2000.00),ADSL1 (1.11); ADSS (1.11); ALATA__L (1.01); ASPCTr (1.11); ASPTA (0.97); GHMT2rm (1.11); GLUDxm (1.00); GLUNm (1.00); GLUPRT (1.11); PGCD (1.11); PGM (0.99); PSERT (1.11); PSP__Lm (1.11); r0295 (1.11); r0552m (0.97); r0553m (0.97),23,36.65032888440731,47.849651605313255,-11.199322720905947,-0.4869270748219977
AA other (Cys/Met/Lys/Arg/Pro),0,0,4,3,14,,,,ARGNm (1000.00); ORNTArm (1000.00); r0034 (1000.00); r0074 (1000.00),ASPTAm (2000.00); CBPS (2000.00); PRO1xm (2000.00),2OXOADOXm (0.98); ACACT1r (1.11); ALATA__L (1.01); ASPTA (0.97); ECOAH1m (0.98); GLUDxm (1.00); GLUNm (1.00); HACD1m (0.98); PGCD (1.11); PSERT (1.11); SACCD3m (0.98); r0450 (0.98); r0525 (0.98); r0594m (0.98),21,2.8157396473961263,3.5193415796085583,-0.7036019322124321,-0.033504853914877716
AAA metabolism (Trp/Phe/Tyr),0,0,0,0,12,,,,,,2OXOADOXm (0.98); 3HKYNAKGAT (1.11); ACACT1r (1.11); ECOAH1m (0.98); FKYNH (1.11); HACD1m (0.98); KYN3OX (1.11); PHETA1 (1.02); PHETA1m (1.02); TRPO2 (1.11); r0541 (0.98); r0647 (1.11),12,21.138146016978254,20.816310647225176,0.321835369753078,0.026819614146089837
Ascorbate And Aldarate Metabolism,0,0,0,0,1,,,,,,DASCBR (0.96),1,0.0308754843777095,0.0320711559558429,-0.001195671578133401,-0.001195671578133401
BCAA metabolism (Val/Leu/Iso),0,0,0,1,22,,,,,THRD__L (2000.00),3HBCOAHLm (0.98); AACOAT (1.11); ACACT10m (0.99); ACACT1r (1.11); ECOAH12m (0.98); ECOAH9m (0.99); HACD9m (0.99); HIBDm (0.98); HMGCOASim (0.98); HMGLm (0.98); ILETA (0.99); MMEm (0.98); MMMm (0.98); MMSAD1m (0.98); PPCOACm (0.98); VALTA (0.98); r0385 (0.98); r0560 (0.98); r0561 (0.98); r0603 (0.99); r0604 (0.99); r0670 (0.99),23,1.0270939161903687,1.0416067084148477,-0.014512792224478988,-0.0006309909662816951
Beta-alanine Metabolism,0,0,0,3,0,,,,,APAT2rm (2000.00); ASP1DCm (2000.00); MMSAD3m (2000.00),,3,0.0,2.4183558951577337,-2.4183558951577337,-0.8061186317192446
Biomass And Maintenance Functions,0,0,0,0,2,,,,,,ATPM (1.00); BIOMASS_maintenance (1.11),2,18.508992700819856,18.508125396865584,0.0008673039542728134,0.0004336519771364067
Biosynthesis Of Amino Acids,0,1,2,3,19,,PCm (0.50),,ARGNm (1000.00); r0034 (1000.00),ASPTAm (2000.00); PRO1xm (2000.00); THRD__L (2000.00),ACONTm (0.97); ALATA__L (1.01); ASPTA (0.97); CSm (0.97); ENO (0.99); GHMT2rm (1.11); ICDHym (0.97); ILETA (0.99); PGCD (1.11); PGK (0.99); PGM (0.99); PHETA1 (1.02); PHETA1m (1.02); PRPPS (1.09); PSERT (1.11); PYK (0.99); RPI (1.11); VALTA (0.98); r0450 (0.98),25,65.33641141678922,67.05506487709923,-1.7186534603100085,-0.06874613841240035
Butanoate Metabolism,0,0,0,0,6,,,,,,AACOAT (1.11); ACACT1r (1.11); ECOAH1m (0.98); HACD1m (0.98); HMGCOASim (0.98); HMGLm (0.98),6,0.211229149531774,0.2101461505641662,0.0010829989676078011,0.0001804998279346335
Central Energy Metabolism,1,1,3,0,20,HEX1 (868.37),PCm (0.50),,PDHm (1000.00); PFK (1000.00); PGI (1000.00),,ACACT1r (1.11); ACCOAC (1.11); ACONTm (0.97); AKGDm (0.97); CSm (0.97); ENO (0.99); FUM (1.11); FUMm (0.97); GAPD (0.99); GCC2cm (0.98); ICDHym (0.97); MDH (0.97); ME2m (0.97); PGK (0.99); PGM (0.99); PGMT (1.11); PYK (0.99); SUCOAS1m (0.97); TPI (0.99); r0509 (0.97),25,81.02243605157086,67.02373961742478,13.998696434146083,0.5599478573658433
Cyanoamino Acid Metabolism,0,0,0,0,1,,,,,,GHMT2rm (1.11),1,0.0045156622351697,0.0040801477224591,0.00043551451271060023,0.00043551451271060023
Extracellular Transport,1,3,1,1,40,ARGLYSex (10.54),GLUt4 (0.80); NH4t (0.08); PROt4 (0.12),,UREAt (1000.00),2HBt2 (2000.00),2HCO3_NAt (1.00); 5MTHFt (0.95); 5MTHFt2le (0.95); ACACt2 (0.90); ALAPAT4te (1.07); ALAtN1 (0.96); ASNtN1 (1.11); ASPt6 (1.00); CHOLESTTDe (1.11); CHOLESTle (1.11); CHOLtu (1.11); CO2t (0.97); CYSt4 (1.11); CYTDt (1.11); FOLt2 (0.95); FOLt2le (0.95); GLCt1 (0.99); GLNtN1 (1.00); H2O2t (0.99); HIStN1 (1.11); ILEtec (1.00); INSTt4_2 (1.11); KCCt (1.00); METt4 (1.11); NAHCO3_HCLt (1.00); O2t (0.98); PCt (1.11); PHEt4 (1.11); PIt9 (1.11); PSFLIP (1.11); PYRt2 (0.99); RTOTALt (1.11); SERt4 (1.11); THRt4 (0.81); TRPt (1.11); TYRPHELAT2tc (1.11); URIt5 (1.11); VALtec (1.00); r1030 (1.11); r1402 (1.11),46,50.04142339166459,50.97941406865277,-0.9379906769881856,-0.02039110167365621
Fatty Acid Elongation,0,0,0,0,1,,,,,,ACACt2 (0.90),1,0.0237836512470654,0.0263120955210871,-0.0025284442740217024,-0.0025284442740217024
Folate Metabolism,0,2,0,0,6,,r0552 (0.66); r0553 (0.66),,,,AICART (1.11); FTHFL (1.11); GARFT (1.11); GHMT2rm (1.11); r0226 (1.11); r0295 (1.11),8,19.708798613293958,29.84079885470208,-10.132000241408122,-1.2665000301760152
Fructose And Mannose Metabolism,0,0,0,5,0,,,,,FBA2 (2000.00); KHK (2000.00); SBTD__D2 (2000.00); SBTR (2000.00); TRIOK (2000.00),,5,0.0,24.92433190750134,-24.92433190750134,-4.984866381500268
Glyoxylate And Dicarboxylate Metabolism,0,0,0,0,10,,,,,,ACACT1r (1.11); CSm (0.97); GHMT2rm (1.11); GLYCLTDy (0.99); GLYCTO1p (0.99); MDH (0.97); MMEm (0.98); MMMm (0.98); PPCOACm (0.98); r0295 (1.11),10,20.64966942687751,20.850901165233477,-0.2012317383559683,-0.02012317383559683
Inositol Phosphate Metabolism,0,0,0,1,0,,,,,MMSAD3m (2000.00),,1,0.0,0.8061186317192445,-0.8061186317192445,-0.8061186317192445
Lipid metabolism,1,0,6,3,32,PSSA1_hs (1.46),,,3DSPHRr (1000.00); C160CPT1 (1000.00); PSSA1r_hs (1000.00); SERPTr (1000.00); SMSr (1000.00); r0434 (1000.00),3DSPHR (2000.00); SERPT (2000.00); SMS (2000.00),ACACT1r (1.11); ACACt2 (0.90); ACCOAC (1.11); AGPAT1 (1.11); ARTPLM2 (1.11); ARTPLM3 (1.11); CDIPTr (1.11); CDS (1.11); CEPTC (1.11); CHLPCTD (1.11); CHOLK (1.11); CLSm_hs (1.11); DAGK_hs (1.11); DGAT (1.11); DSAT (1.11); ECOAH1m (0.98); FAS100COA (1.11); FAS120COA (1.11); FAS140COA (1.11); FAS160COA (1.11); FAS80COA__L (1.11); GPAM_hs (1.11); GPDDA1 (1.11); HACD1m (0.98); HMGCOASim (0.98); HMGLm (0.98); LPASE (1.11); PGPPTm (1.11); PGPP_hs (1.11); PSDm_hs (1.11); RE2675C (1.11); r0202c (1.11),42,0.3152122246232146,0.3082272764718127,0.006984948151401882,0.0001663082893190924
Lysine Biosynthesis,0,0,0,0,1,,,,,,r0450 (0.98),1,0.0431327420043175,0.0437950569343901,-0.0006623149300725995,-0.0006623149300725995
Methane Metabolism,0,0,0,0,6,,,,,,ENO (0.99); GHMT2rm (1.11); MDH (0.97); PGCD (1.11); PGM (0.99); PSERT (1.11),6,19.805394187006744,19.978130422677427,-0.1727362356706834,-0.028789372611780568
Mitochondrial transport,1,0,5,2,28,HUMANGEM_MAR20139 (1.46),,,ARGtm (1000.00); HUMANGEM_MAR04951 (1000.00); HUMANGEM_MAR08651 (1000.00); HUMANGEM_MAR13075 (1000.00); HUMANGEM_MAR20136 (1000.00),HUMANGEM_MAR05036 (2000.00); PROtm (2000.00),3MOBt2im (0.98); AKGMALtm (1.02); ATPtm (1.02); CO2tm (0.97); DHORD9 (1.11); DNDPt14m (1.11); GLNtm (1.00); GLUt2m (1.01); GLYtm (1.11); H2Otm (1.00); HUMANGEM_MAR00120 (1.11); HUMANGEM_MAR00587 (1.11); HUMANGEM_MAR05116 (1.02); HUMANGEM_MAR08093 (0.99); HUMANGEM_MAR08891 (1.11); HUMANGEM_MAR11363 (1.11); HUMANGEM_MAR11371 (1.11); HUMANGEM_MAR11443 (1.02); HUMANGEM_MAR20145 (1.11); HUMANGEM_MAR20147 (1.11); HUMANGEM_MAR20148 (1.11); LYStm (0.98); MALtm (1.02); O2Stm (0.96); O2tm (0.96); PPItm (1.11); PSERtm (1.11); r1464 (0.98),36,77.22766055696867,76.49164455131043,0.736016005658243,0.020444889046062304
