Reaction ID,GPR rule (genes),Transcript effect (log2FC),Flux change log2(FG/SG),Adjusted p-value (FDR),Metabolic pathways,Subsystem,Concordant (transcript–flux),Significant reaction (transcript effect & flux ratio)
HEX1,ADPGK or HK2 or HK1 or HK3 or GCK or ADPGK,0.1012,9.7622,0.1524,Glycolysis/Gluconeogenesis; Starch And Sucrose Metabolism,Central Energy Metabolism; Starch And Sucrose Metabolism,True,False
PROt4,SLC38A1 or SLC6A14 or SLC38A2 or SLC22A5 or (SLC6A19 and TMEM27) or (SLC6A19 and ACE2),-0.1633,-3.0589,0.5265,Extracellular Transport,Extracellular Transport,True,False
3DSPHRr,KDSR,0.4582,3.0,0.0562,Sphingolipid Metabolism,Lipid metabolism,True,False
ARGNm,ARG2,0.5211,3.0,0.3155,Arginine And Proline Metabolism; Arginine Biosynthesis; Biosynthesis Of Amino Acids; Urea Cycle,AA other (Cys/Met/Lys/Arg/Pro); Biosynthesis Of Amino Acids; Nitrogen disposal,True,True
ARGtm,SLC25A15,0.8624,3.0,0.1591,"Transport, Mitochondrial",Mitochondrial transport,True,True
FBA,ALDOC or ALDOB,0.2989,3.0,0.088,Pentose Phosphate Pathway,Redox & Pentose Metabolism,True,False
HUMANGEM_MAR04951,AQP9,0.1292,3.0,0.7764,"Transport, Mitochondrial",Mitochondrial transport,True,False
HUMANGEM_MAR20136,SLC25A36,0.3457,3.0,0.4268,"Transport, Mitochondrial",Mitochondrial transport,True,False
ORNTArm,OAT,0.3448,3.0,0.3822,Arginine And Proline Metabolism; Urea Cycle,AA other (Cys/Met/Lys/Arg/Pro); Nitrogen disposal,True,False
PDHm,DLAT,2.8795,3.0,0.0,2-oxocarboxylic Acid Metabolism; Glycolysis/Gluconeogenesis,2-oxocarboxylic Acid Metabolism; Central Energy Metabolism,True,True
PFK,PFKP or (PFKP and PFKL) or (PFKP and PFKM) or PFKM or PFKL or (PFKL and PFKM),0.4284,3.0,0.3386,Glycolysis/Gluconeogenesis,Central Energy Metabolism,True,False
PSSA1r_hs,PTDSS1,0.3882,3.0,0.1166,Glycerophospholipid Metabolism,Lipid metabolism,True,False
SERPT,SGMS1,-0.3337,-3.0,0.2821,Sphingolipid Metabolism,Lipid metabolism,True,False
THRD__L,SRRL or SDSL,-0.1,-3.0,0.6142,"Alanine, Aspartate And Glutamate Metabolism; Biosynthesis Of Amino Acids; Glycine, Serine And Threonine Metabolism; Valine, Leucine And Isoleucine Biosynthesis","AA central (A/D/E,G/S/T); Biosynthesis Of Amino Acids; BCAA metabolism (Val/Leu/Iso)",True,False
UREAt,SLC5A1 or LOC107051909 or SLC5A5 or SLC14A2,2.3227,3.0,0.0084,Extracellular Transport,Extracellular Transport,True,True
r0034,CPS1,1.1261,3.0,0.0301,"Alanine, Aspartate And Glutamate Metabolism; Arginine Biosynthesis; Biosynthesis Of Amino Acids; Nitrogen Metabolism; Urea Cycle","AA central (A/D/E,G/S/T); AA other (Cys/Met/Lys/Arg/Pro); Biosynthesis Of Amino Acids; Nitrogen disposal",True,True
r0074,ALDH4A1,0.4451,3.0,0.0129,Arginine And Proline Metabolism; Urea Cycle,AA other (Cys/Met/Lys/Arg/Pro); Nitrogen disposal,True,False
r1418m,CA5A,-0.5659,-0.9434,0.2027,Nitrogen Metabolism,Nitrogen disposal,True,True
HUMANGEM_MAR20139,SLC25A36,0.3457,0.546,0.4268,"Transport, Mitochondrial",Mitochondrial transport,True,False
PSSA1_hs,PTDSS1,0.3882,0.546,0.1166,Glycerophospholipid Metabolism,Lipid metabolism,True,False
THRt4,SLC38A1 or SLC6A14 or SLC38A2 or SLC22A5 or (SLC6A19 and TMEM27) or (SLC6A19 and ACE2),-0.1633,-0.304,0.5265,Extracellular Transport,Extracellular Transport,True,False
3HKYNAKGAT,KYAT3,0.1773,0.1506,0.5535,Tryptophan Metabolism,AAA metabolism (Trp/Phe/Tyr),True,False
ADK1,AK1 or AK7 or AK8 or AK5,4.2536,0.1506,0.0097,Nucleotide Interconversion; Nucleotide Metabolism; Purine Metabolism,Nucleotide metabolism; Nitrogen disposal,True,False
ADKd,AK5,0.6028,0.1506,0.5059,Nucleotide Interconversion,Nucleotide metabolism,True,False
ADSS,ADSS2 or ADSS1,1.2066,0.1506,0.0747,"Alanine, Aspartate And Glutamate Metabolism; Nucleotide Interconversion; Nucleotide Metabolism; Purine Metabolism","AA central (A/D/E,G/S/T); Nucleotide metabolism; Nitrogen disposal",True,False
AGPAT1,AGPAT2 or GPAT4 or AGPAT4 or AGPAT3 or AGPAT5 or AGPAT1 or MBOAT2,2.5558,0.1506,0.0526,Triacylglycerol Synthesis,Lipid metabolism,True,False
AIRCr,PAICS,0.3061,0.1506,0.4704,Purine Metabolism; Purine Synthesis,Nitrogen disposal; Nucleotide metabolism,True,False
ASNtN1,SLC38A3,0.1612,0.1506,0.5518,Extracellular Transport,Extracellular Transport,True,False
CDS,CDS1 or CDS2,1.7965,0.1506,0.0028,Glycerophospholipid Metabolism,Lipid metabolism,True,False
CHLPCTD,PCYT1A or PCYT1B,1.7618,0.1506,0.3301,Glycerophospholipid Metabolism,Lipid metabolism,True,False
CHOLtu,LOC421583 or SLC22A1 or SLC22A5,1.3815,0.1506,0.1789,Extracellular Transport,Extracellular Transport,True,False
CLSm_hs,CRLS1,0.2662,0.1506,0.3921,Glycerophospholipid Metabolism,Lipid metabolism,True,False
CTPS2,CTPS1 or CTPS2,0.2565,0.1506,0.3661,Nucleotide Metabolism; Pyrimidine Metabolism; Pyrimidine Synthesis,Nucleotide metabolism,True,False
CYTDK1,UCK2 or UCK1,0.3881,0.1506,0.1684,Nucleotide Interconversion; Nucleotide Metabolism; Pyrimidine Metabolism,Nucleotide metabolism,True,False
CYTDt,SLC29A1 or SLC29A3,0.2178,0.1506,0.6676,Extracellular Transport,Extracellular Transport,True,False
DAGK_hs,DGKI or DGKZ or DGKD or DGKH or DGKE or DGKQ or DGKK or DGKE or DGKI,1.8932,0.1506,0.0275,Glycerophospholipid Metabolism,Lipid metabolism,True,False
DCMPDA,DCTD,0.1442,0.1506,0.7265,Pyrimidine Catabolism,Nucleotide metabolism,True,False
DGAT,DGAT2,0.3702,0.1506,0.5426,Triacylglycerol Synthesis,Lipid metabolism,True,False
DGK1,GUK1,0.0703,0.1506,0.8672,Nucleotide Interconversion,Nucleotide metabolism,True,False
DNDPt14m,SLC25A19,0.339,0.1506,0.2113,"Transport, Mitochondrial",Mitochondrial transport,True,False
DURIK1,TK1,0.0995,0.1506,0.8914,Nucleotide Interconversion,Nucleotide metabolism,True,False
DURIPP,PNP or UPP2,0.2791,0.1506,0.6748,Nucleotide Interconversion,Nucleotide metabolism,True,False
