metabolite_id,compound_name,n_high,n_low,median_high,median_low,hl_estimate,delta_mcid,effect_size_ratio,ci_95_lower,ci_95_upper,prob_positive,prob_negative,prob_direction,prob_exceeds_mcid,direction_label,mw_pvalue,mw_pvalue_fdr
pnto__R,Pantothenate ,12,12,22.1100,16.6037,5.3068,1.2669,4.1887,0.7942,9.9439,0.9829,0.0171,0.9829,0.9683,Higher in fast-growing,0.0404,0.9129
leu__L,Leucine,12,12,115.6423,166.2667,-46.3709,10.4485,4.4381,-72.5993,9.9237,0.0435,0.9565,0.9565,0.9068,Higher in slow-growing,0.0885,0.9129
malon,Malonate,12,12,525.5973,491.7070,73.5140,21.2811,3.4544,-47.3219,165.8375,0.9323,0.0677,0.9323,0.8838,Higher in fast-growing,0.1410,0.9129
phephe,Phenylalanine,12,12,28.4679,51.8285,-14.0113,5.6143,2.4956,-31.0548,5.7794,0.0751,0.9249,0.9249,0.8250,Higher in slow-growing,0.1572,0.9129
his__D,Histidine,12,12,90.9768,108.7102,-15.9429,6.4885,2.4571,-42.7369,12.2426,0.1070,0.8930,0.8930,0.8036,Higher in slow-growing,0.2145,0.9129
val__L,Valine,12,12,117.4255,150.2971,-19.1970,7.1486,2.6854,-59.9535,14.0372,0.1088,0.8912,0.8912,0.8893,Higher in slow-growing,0.2366,0.9129
glu__L,Glutamate,12,12,399.2525,482.5841,-50.5272,23.9778,2.1073,-152.3414,49.4374,0.1101,0.8899,0.8899,0.8963,Higher in slow-growing,0.2366,0.9129
ans,Anserine,12,12,38621.4819,39727.2535,-2431.6493,728.3984,3.3384,-6594.8401,1459.2799,0.1137,0.8863,0.8863,0.9037,Higher in slow-growing,0.2366,0.9129
btbet,Betaine,12,12,1593.6065,1256.2851,307.4945,113.8170,2.7017,-202.9845,800.4055,0.8844,0.1156,0.8844,0.8573,Higher in fast-growing,0.2602,0.9129
CE1661,Alpha-aminobutyrate,12,12,55.8451,65.6733,-10.0244,3.3457,2.9963,-23.4744,6.3142,0.1174,0.8826,0.8826,0.8619,Higher in slow-growing,0.2602,0.9129
ser__D,Serine,12,12,567.3343,643.6205,-46.7232,26.7216,1.7485,-155.7234,56.7460,0.1357,0.8643,0.8643,0.7792,Higher in slow-growing,0.2855,0.9129
gln__D,Glutamine,12,12,581.0656,614.3405,-39.1069,18.1022,2.1603,-102.1438,65.5151,0.1531,0.8469,0.8469,0.7656,Higher in slow-growing,0.3123,0.9129
for,Formate,12,12,94.5206,104.6512,-7.8718,4.4762,1.7586,-24.1638,13.2477,0.1547,0.8453,0.8453,0.6933,Higher in slow-growing,0.3408,0.9129
ile__L,Isoleucine,12,12,76.9188,90.6084,-13.0145,5.1088,2.5474,-42.1969,14.9481,0.1551,0.8449,0.8449,0.8425,Higher in slow-growing,0.3123,0.9129
