metabolite_id,compound_name,n_high,n_low,median_high,median_low,hl_estimate,delta_mcid,effect_size_ratio,ci_95_lower,ci_95_upper,prob_positive,prob_negative,prob_direction,prob_exceeds_mcid,direction_label,mw_pvalue,mw_pvalue_fdr
pnto__R,Pantothenate ,12,12,47.3969,36.4894,12.5460,2.4600,5.1001,2.7695,25.0219,0.9906,0.0094,0.9906,0.9797,Higher in fast-growing,0.0304,1.0000
sarcs,Sarcosine,12,12,38.6457,32.7420,5.9860,1.4729,4.0640,0.1198,14.2569,0.9791,0.0209,0.9791,0.9293,Higher in fast-growing,0.0531,1.0000
for,Formate,12,12,40.4700,36.4502,4.5553,1.4633,3.1131,-2.1969,9.8318,0.9184,0.0816,0.9184,0.8687,Higher in fast-growing,0.1572,1.0000
4ohbut,2-Hydroxybutyrate,12,12,35.9773,31.2312,4.8082,1.4140,3.4004,-1.6270,11.0833,0.8943,0.1057,0.8943,0.8718,Higher in fast-growing,0.2366,1.0000
ala__L,Alanine,12,12,2854.2100,2619.4962,335.2029,78.4141,4.2748,-127.3304,1024.6593,0.8871,0.1129,0.8871,0.8995,Higher in fast-growing,0.2366,1.0000
glc__D,Glucose,12,12,376.7164,310.6214,68.8523,57.5092,1.1972,-209.0720,287.3752,0.8700,0.1300,0.8700,0.6717,Higher in fast-growing,0.2602,1.0000
adp,ADP,12,12,379.2253,424.4860,-42.1526,13.1070,3.2160,-85.2008,20.9003,0.1350,0.8650,0.8650,0.8760,Higher in slow-growing,0.2602,1.0000
gly,Glycine ,12,12,2909.4338,2541.3573,303.6250,122.8374,2.4718,-326.2262,869.7400,0.8645,0.1355,0.8645,0.8558,Higher in fast-growing,0.2855,1.0000
3mhis,n-Methylhistidine,12,12,131.0085,162.0622,-21.2098,8.1997,2.5866,-59.0251,24.0340,0.1379,0.8621,0.8621,0.7867,Higher in slow-growing,0.2602,1.0000
btbet,Betaine,12,12,8557.9447,6960.8427,1117.2801,458.5594,2.4365,-433.7222,3253.1461,0.8489,0.1511,0.8489,0.7640,Higher in fast-growing,0.3123,1.0000
ile__L,Isoleucine,12,12,149.0694,167.9146,-15.0636,7.9000,1.9068,-59.8899,20.2060,0.1597,0.8403,0.8403,0.7012,Higher in slow-growing,0.3408,1.0000
leu__L,Leucine,12,12,303.4359,322.9912,-30.9442,13.8686,2.2312,-96.6226,27.4917,0.1598,0.8402,0.8402,0.7815,Higher in slow-growing,0.3408,1.0000
uracp,Uracyl,12,12,29.2011,32.4837,-5.4081,2.3822,2.2702,-25.2069,6.6179,0.1862,0.8138,0.8138,0.8322,Higher in slow-growing,0.3708,1.0000
crtn,Creatine,12,12,39054.6527,38365.2069,692.6495,411.6121,1.6828,-1105.3123,3153.4333,0.8116,0.1884,0.8116,0.7185,Higher in fast-growing,0.4025,1.0000
ade,Adenine,12,12,55.4337,65.1046,-5.8249,5.1212,1.1374,-24.3957,13.0452,0.2119,0.7881,0.7881,0.6405,Higher in slow-growing,0.4357,1.0000
tyr__L,Tyrosine,12,12,222.1166,226.0408,-11.6737,8.3120,1.4044,-50.5383,21.5266,0.2161,0.7839,0.7839,0.6716,Higher in slow-growing,0.4705,1.0000
dmgly,Dimethylglycine,12,12,384.1092,312.7655,41.0606,24.1719,1.6987,-48.9159,143.5079,0.7764,0.2236,0.7764,0.6961,Higher in fast-growing,0.4705,1.0000
nad,NAD,12,12,267.6032,243.5966,22.1915,16.0357,1.3839,-66.8468,116.8318,0.7690,0.2310,0.7690,0.7100,Higher in fast-growing,0.4705,1.0000
val__L,Valine,12,12,274.1175,292.8186,-16.2335,16.4514,0.9868,-86.4489,40.1588,0.2345,0.7655,0.7655,0.6132,Higher in slow-growing,0.4705,1.0000
lac__L,Lactate,12,12,84018.4386,78842.5918,3990.5045,2257.0086,1.7681,-9537.8515,19785.5379,0.7627,0.2373,0.7627,0.8341,Higher in fast-growing,0.4705,1.0000
ans,Anserine,12,12,14215.7119,15560.2455,-947.9706,500.6623,1.8934,-3247.2182,1245.0112,0.2430,0.7570,0.7570,0.7982,Higher in slow-growing,0.4705,1.0000
CE1661,Alpha-aminobutyrate,12,12,102.3413,95.6560,5.7227,3.1519,1.8156,-17.2637,18.9157,0.7440,0.2560,0.7440,0.8244,Higher in fast-growing,0.5067,1.0000
M02035,Methylguanidine,12,12,9.0408,8.3291,0.6114,0.4741,1.2895,-1.7415,2.6990,0.7413,0.2587,0.7413,0.7150,Higher in fast-growing,0.5067,1.0000
pyr,Pyruvate,12,12,10.3519,8.9335,1.1766,0.7226,1.6282,-1.4759,4.5890,0.7345,0.2655,0.7345,0.7696,Higher in fast-growing,0.5834,1.0000
