metabolite_id,compound_name,n_high,n_low,median_high,median_low,hl_estimate,delta_mcid,effect_size_ratio,ci_95_lower,ci_95_upper,prob_positive,prob_negative,prob_direction,prob_exceeds_mcid,direction_label,mw_pvalue,mw_pvalue_fdr
glu__L,Glutamate,12,12,7394.1015,6447.5907,1065.1637,252.9051,4.2117,-184.7322,2130.7936,0.9299,0.0701,0.9299,0.8679,Higher in fast-growing,0.1572,1.0000
uracp,Uracyl,12,12,127.5082,175.1914,-35.8785,11.4840,3.1242,-80.9293,16.2365,0.0737,0.9263,0.9263,0.9188,Higher in slow-growing,0.1410,1.0000
glc__D,Glucose,12,12,15572.3209,9755.5020,4775.3749,1416.5985,3.3710,-2700.9165,8456.3875,0.9140,0.0860,0.9140,0.8816,Higher in fast-growing,0.1572,1.0000
uri,Uridine,12,12,559.7239,478.4290,67.5693,21.0405,3.2114,-36.1244,168.8597,0.8989,0.1011,0.8989,0.8077,Higher in fast-growing,0.2145,1.0000
succ,Succinate,12,12,2116.9556,1689.7164,484.9378,161.4274,3.0041,-284.6491,1757.7392,0.8758,0.1242,0.8758,0.8686,Higher in fast-growing,0.2602,1.0000
his__D,Histidine,12,12,65.6459,86.2495,-16.6695,4.8262,3.4540,-45.0115,13.1709,0.1242,0.8758,0.8758,0.8277,Higher in slow-growing,0.2602,1.0000
C02528,Chenodeoxycholate,12,12,84.0799,46.9459,31.4908,7.4947,4.2018,-14.3589,60.1778,0.8675,0.1325,0.8675,0.8389,Higher in fast-growing,0.2602,1.0000
xan,Xanthine,12,12,1034.8577,826.8077,192.8859,102.0645,1.8898,-211.9660,543.9820,0.8615,0.1385,0.8615,0.7649,Higher in fast-growing,0.2855,1.0000
inost,Myoinositol,12,12,12797.3852,11460.4681,1024.5903,355.8558,2.8792,-429.1140,2285.2902,0.8606,0.1394,0.8606,0.8034,Higher in fast-growing,0.2855,1.0000
dma,DMA,12,12,30.9366,37.6651,-3.5437,1.5578,2.2748,-10.3278,2.7554,0.1443,0.8557,0.8557,0.7759,Higher in slow-growing,0.2855,1.0000
pnto__R,Pantothenate ,12,12,70.9258,60.2782,8.6808,11.6101,0.7477,-40.5299,63.3153,0.8409,0.1591,0.8409,0.4250,Higher in fast-growing,0.3123,1.0000
ins,Inosine,12,12,14.5671,21.4891,-8.3742,4.4455,1.8838,-22.8853,11.8228,0.1596,0.8404,0.8404,0.7850,Higher in slow-growing,0.3408,1.0000
mma,Methylamine,12,12,35.2937,25.5664,5.0287,2.6135,1.9241,-7.6873,13.5997,0.8314,0.1686,0.8314,0.7812,Higher in fast-growing,0.3408,1.0000
dmgly,Dimethylglycine,12,12,72.4711,87.6114,-6.4351,4.2684,1.5076,-24.8263,9.0707,0.1700,0.8300,0.8300,0.7303,Higher in slow-growing,0.3708,1.0000
pchol_cho,Phosphocholine,12,12,547.4026,786.5487,-134.6330,90.4655,1.4882,-465.0556,220.7362,0.1952,0.8048,0.8048,0.7105,Higher in slow-growing,0.4025,1.0000
g6p,Glucose-6-phosphate,12,12,94.9472,121.7195,-30.0568,17.8601,1.6829,-110.9967,86.6988,0.2193,0.7807,0.7807,0.7226,Higher in slow-growing,0.4357,1.0000
ser__D,Serine,12,12,3538.5722,3838.8299,-266.6498,217.9995,1.2232,-1446.7598,986.6169,0.2298,0.7702,0.7702,0.6611,Higher in slow-growing,0.4705,1.0000
hxan,Hypoxanthine,12,12,101.4245,146.6958,-21.6987,17.0195,1.2749,-167.3738,49.5000,0.2410,0.7590,0.7590,0.7213,Higher in slow-growing,0.5067,1.0000
acrn,O-Acetylcarnitine,12,12,56.1873,65.9059,-6.7537,4.3702,1.5454,-25.9065,15.0833,0.2681,0.7319,0.7319,0.7521,Higher in slow-growing,0.5444,1.0000
asp__L,Aspartate,12,12,3480.1651,3494.5419,256.3274,172.5172,1.4858,-618.5774,1280.4500,0.7305,0.2695,0.7305,0.7585,Higher in fast-growing,0.5834,1.0000
agpc_EC,Glycerophosphocholine,12,12,214.6823,253.6848,-25.8297,17.8643,1.4459,-109.1373,65.8562,0.2735,0.7265,0.7265,0.7210,Higher in slow-growing,0.5444,1.0000
23btdl,"2,3-Butanediol",12,12,56.8846,50.1892,4.0308,3.3123,1.2169,-13.0749,14.9724,0.7100,0.2900,0.7100,0.6870,Higher in fast-growing,0.5834,1.0000
ile__L,Isoleucine,12,12,540.4013,589.5297,-60.9560,43.2607,1.4090,-202.4282,222.2014,0.2916,0.7084,0.7084,0.7854,Higher in slow-growing,0.5834,1.0000
asn__L,Asparagine,12,12,380.0899,510.1538,-59.5888,48.0480,1.2402,-250.2650,138.0017,0.2971,0.7029,0.7029,0.7019,Higher in slow-growing,0.6236,1.0000
2hiv,2-Hydroxyvalerate,12,12,64.7944,53.7901,8.8819,9.9459,0.8930,-29.7453,46.2572,0.6971,0.3029,0.6971,0.6082,Higher in fast-growing,0.6235,1.0000
metsox_S__L,Methionine sulfoxide,12,12,319.2718,343.8160,-45.0867,29.5232,1.5272,-152.8025,196.7933,0.3094,0.6906,0.6906,0.7594,Higher in slow-growing,0.6236,1.0000
