Generation,Sex,"Total Protein, g/L","Albumin, g/L","Globulin, g/L",A/G ratio,"Creatinine, µM/L","Glucose, mM/L","Total Bilirubin, µM/L","Triglycerides, mM/L","Cholesterol, mM/L","ALT, IU/L","AST, IU/L",De Ritis ratio (AST/ALT),"Ca, mM/L","P, mM/L",Ca/P ratio,"Mg, mM/L","Fe, µM/L","Chlorides, mM/L","Breast meat, moisture %","Breast meat, protein %","Breast meat, fat %","Breast meat, ash %","Drumstick, moisture %","Drumstick, protein %","Drumstick, fat %","Drumstick, ash %","Live weight at 1 day, g","9-week weight, g","Mean daily gain, g","Carcass weight, g","Slaughter yield, %","Breast weight, g","Thigh weight, g","Drumstick weight, g","Kidneys, g","Heart, g","Liver, g","Stomach, g","Intestines, g","Lungs, g",growth_group
F2,m,42.1,13.5,28.6,0.47,28.61,14.15,0.48,0.35,3.73,7.6,228.7,30.09,3.37,2.35,1.43,1.07,22.97,116.5,73.31,24.07,1.44,1.18,74.56,21.11,3.16,1.17,42,2140,33,1570,73.4,417,115,101,15,12,36,22,81,11,fast
F2,m,50.6,14.4,36.2,0.4,30.73,14.86,0.39,0.33,4.37,5.2,215.7,41.48,3.37,2.41,1.4,1.23,24.96,114.7,74.11,23.84,0.89,1.16,73.58,22.14,3.13,1.15,46,1765,27,1280,72.5,337,100,84,12,13,33,27,62,12,slow
F2,m,46.3,13.4,32.9,0.41,29.67,14.32,0.6,0.41,3.88,6.8,189.7,27.9,3.32,2.25,1.48,1.16,30.13,118.1,74.65,23.14,1.03,1.18,74.33,19.76,4.68,1.23,33,1565,24,1120,71.6,287,85,74,12,10,33,25,67,8,slow
F2,m,33.3,13.6,19.7,0.69,26.49,15.67,0.42,0.36,4.05,8.1,257.2,31.75,3.06,2.13,1.44,1.14,18.63,117.5,74.34,23.8,0.65,1.21,74.36,20.59,3.92,1.13,33,2015,31,1545,76.7,462,122,97,12,10,34,24,58,10,fast
F2,m,37.5,14.1,23.4,0.6,26.49,16.76,0.7,0.83,3.14,7.1,231.5,32.61,2.3,1.64,1.4,1.24,22.17,121,74.01,23.97,0.86,1.16,75.14,21.32,2.43,1.11,36,2440,38,1700,69.7,530,147,102,16,11,50,65,92,14,fast
F2,m,37.4,14,23.4,0.6,27.55,14.85,0.48,0.49,2.89,7.1,228.7,32.21,2.88,1.98,1.45,1.13,24.04,118.7,73.48,24.48,0.85,1.19,73.34,19.94,5.59,1.13,33,1730,27,1260,72.8,378,99,79,11,7,35,36,66,11,slow
F2,m,35.4,12.3,23.1,0.53,31.48,13.85,0.58,0.23,3.93,4.8,189.6,39.5,2.41,2.05,1.18,0.76,14.16,105.05,73.22,24.81,0.86,1.11,73.67,22.05,3.17,1.11,40,1680,26,1320,78.6,352,99,85,12,7,29,42,62,14,slow
F2,m,33.9,12.3,21.6,0.57,34.98,14.98,0.78,0.2,4.02,5.1,258.5,50.69,2.6,1.94,1.34,0.83,18.24,109.41,73.77,24.17,0.9,1.16,73.94,22.19,2.74,1.13,38,2385,37,1765,74,453,129,115,15,14,46,43,65,14,fast
F2,m,32.7,12.3,20.4,0.6,34.98,14.06,0.56,0.19,3.58,5.4,229.3,42.46,2.52,1.8,1.4,0.82,17.76,116.15,73.81,24.01,0.98,1.2,74.08,21.88,2.85,1.19,41,2555,40,1905,74.6,547,149,119,15,12,37,47,63,16,fast
F2,m,33,12.1,20.9,0.58,37.31,15.08,0.36,0.16,3.41,8.8,232,26.36,2.55,2.04,1.25,0.81,19,106.24,74.17,23.64,1.01,1.18,73.73,21.73,3.42,1.12,38,1865,29,1325,71,380,110,87,12,7,34,37,56,13,slow
F2,m,30.8,12.7,18.1,0.7,29.67,15.86,0.64,0.17,3.03,6.8,226.1,33.25,3,2.44,1.23,0.99,17.54,114.4,74.27,23.6,0.95,1.18,73.95,20.56,4.58,0.91,33,2580,40,1970,76.4,547,163,129,13,15,46,27,96,14,fast
