ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,ontology
GO:0065003,protein-containing complex assembly,138,-0.3508415984702317,-1.781640634608139,9.34754276763028e-6,0.005695378458472298,0.0052634212798405265,2256,"tags=30%, list=13%, signal=27%",CTTN/PPP2CB/CELF2/CENPN/CDC42/SAMHD1/ME1/RAD51/CAPZA1/FAM49A/NSG1/TGM2/DBN1/MYH11/CLP1/EIF3H/TBCD/STMN1/PRPF3/EIF3M/BTK/DR1/PSIP1/ERAL1/TAPBP/BIN2/PDIA3/PRNP/MTPN/HOPX/CAPZB/TMEM70/CHAF1A/CENPA/DENR/CSNK1A1/RPLP0/HCCS/TWF2/SMARCB1/TFIP11/KHDC4,BP
GO:0044085,cellular component biogenesis,301,-0.27642700256131736,-1.5448380713305123,1.1682827607122664e-5,0.005695378458472298,0.0052634212798405265,2705,"tags=28%, list=16%, signal=24%",FARSA/CTSD/STRAP/GJC3/MTERF3/HSF2/OCLN/RPL7A/ACTN2/CTTN/PPP2CB/EIF2A/THY1/RPS12/CELF2/CENPN/CDC42/ZNF622/SAMHD1/ME1/ODF2/TRIP13/RAD51/CAPZA1/FAM49A/NSG1/TMEM41B/CSRP1/NDC80/CCDC61/TGM2/DBN1/MYH11/VCL/CLP1/PCM1/EIF3H/TBCD/TGFBR2/TLCD1/ATF7IP/STMN1/PAN2/EPHB2/PRPF3/EIF3M/BTK/DR1/LAMB1/PSIP1/C1D/ERAL1/RAB33B/YWHAZ/TAPBP/BIN2/PDIA3/PRNP/MTPN/HOPX/RPS17/NOC4L/CAPZB/CDH3/TMEM70/PAFAH1B1/MDM1/CHAF1A/CHMP2A/TA3/CENPA/DENR/CSNK1A1/PNO1/RPLP0/WIPI2/HCCS/TWF2/SMARCB1/NSFL1C/TFIP11/ZFYVE27/RPL35/LSG1/KHDC4,BP
GO:0000278,mitotic cell cycle,89,-0.40084611806439807,-1.898240304077509,2.7623413333694917e-5,0.008977609333450848,0.008296716425839597,3911,"tags=44%, list=22%, signal=34%",CDCA9/FAM175A/PABIR3/CHEK1/TUBA8A/SMC2/MCM3/CHMP4B/CENPT/SBDS/TUBB4B/ASNS/NBN/ANAPC5/PPP2CB/TUB4A/CCND1/CDC42/PPP2R2D/TUBB3/PSME3/RTFDC1/RAD51/NDC80/CCDC61/TUBA1A/STMN1/CCNB3/TUBB6/KIF18B/ENSA/PAFAH1B1/DCTN1/CHMP2A/MSH6/CENPA/RB1/TIPIN/NSFL1C,BP
GO:0022607,cellular component assembly,268,-0.2684402084484791,-1.4780333308204823,6.915883722016497e-5,0.01685746657241521,0.015578938068542426,2705,"tags=28%, list=16%, signal=24%",FARSA/CTSD/STRAP/GJC3/MTERF3/HSF2/OCLN/ACTN2/CTTN/PPP2CB/EIF2A/THY1/CELF2/CENPN/CDC42/SAMHD1/ME1/ODF2/TRIP13/RAD51/CAPZA1/FAM49A/NSG1/TMEM41B/CSRP1/NDC80/CCDC61/TGM2/DBN1/MYH11/VCL/CLP1/PCM1/EIF3H/TBCD/TGFBR2/TLCD1/STMN1/PAN2/EPHB2/PRPF3/EIF3M/BTK/DR1/LAMB1/PSIP1/ERAL1/RAB33B/YWHAZ/TAPBP/BIN2/PDIA3/PRNP/MTPN/HOPX/CAPZB/CDH3/TMEM70/PAFAH1B1/MDM1/CHAF1A/CHMP2A/TA3/CENPA/DENR/CSNK1A1/RPLP0/WIPI2/HCCS/TWF2/SMARCB1/NSFL1C/TFIP11/ZFYVE27/KHDC4,BP
GO:0043933,protein-containing complex organization,227,-0.2745616124928363,-1.4876728639113521,1.3881731342812534e-4,0.022570944458684107,0.020859086053045716,2256,"tags=26%, list=13%, signal=23%",CTTN/PPP2CB/CELF2/CENPN/CDC42/EEF1AKMT1/SAMHD1/RPS6KA5/ME1/KDM5B/SETD1A/HMGN1/RAD51/CAPZA1/FAM49A/NSG1/LMNB2/TGM2/DBN1/PEX5/MYH11/TADA2A/CLP1/EIF3H/TBCD/TECPR1/ATF7IP/STMN1/RAD54L/PRPF3/KIF18B/EIF3M/BTK/DR1/MIER1/PSIP1/ERAL1/TAPBP/BIN2/PDIA3/PRNP/MTPN/MMS22L/DSTN/HOPX/CAPZB/TMEM70/CHAF1A/CENPA/DENR/CSNK1A1/RPLP0/HCCS/TWF2/RB1/SMYD2/SMARCB1/TFIP11/KHDC4,BP
GO:0006996,organelle organization,327,-0.25232347627471974,-1.422148442850407,1.3889811974574835e-4,0.022570944458684107,0.020859086053045716,3619,"tags=33%, list=21%, signal=27%",CHEK1/TUBA8A/RPA1/SMC2/CAPZA2/ULK3/FOPNL/APOA1/ACTR3/CENPO/KRT24/RIF1/HSPB1/MCM3/ACTA1/ANXA1/MYO1G/CHMP4B/DKC1/TERF2IP/CENPT/SBDS/TUBB4B/HMGB3/CTSD/MTERF3/IGF1/RHOT2/RAB2A/PLEKHF2/NBN/ACTN2/ANAPC5/TOP2A/CTTN/EIF2A/TUB4A/THY1/AGTPBP1/CENPN/CDC42/VAMP7/PPP2R2D/DDX1/TUBB3/CENPS/ODF2/TERF2/TRIP13/FEN1/RAD51/CAPZA1/FAM49A/DNA2/TMEM41B/SEC31A/CSRP1/LMNB2/MAEA/LYSMD3/NDC80/CCDC61/TUBA1A/DBN1/PEX5/TPM1/MYH11/PI4K2B/PCM1/TBCD/TGFBR2/FNIP1/ACTB/ATF7IP/STMN1/PAN2/TUBB6/RAD54L/KIF18B/MCM8/SEC23B/ERAL1/RAB33B/OPTN/YWHAZ/BIN2/HMGB2/MTPN/DSTN/KIF1BP/CAPZB/TMEM70/PAFAH1B1/DCTN1/MDM1/CHMP2A/TA3/CENPA/CSNK1A1/ACTN4/STX10/RPLP0/WIPI2/TWF2/PDLIM7/SUPV3L1/NSFL1C/ZFYVE27/TLN1,BP
GO:0010639,negative regulation of organelle organization,25,-0.585998508756552,-2.0925235725078775,5.839419041795015e-4,0.08133476522500199,0.07516605563573736,3619,"tags=64%, list=21%, signal=51%",CHEK1/CAPZA2/HSPB1/IGF1/TOP2A/TERF2/TRIP13/CAPZA1/NDC80/TBCD/FNIP1/STMN1/MTPN/CAPZB/MDM1/TWF2,BP
GO:1903047,mitotic cell cycle process,71,-0.3903977943301526,-1.7750466037878931,7.496133294508002e-4,0.09135912452681627,0.0844301328960375,2394,"tags=52%, list=14%, signal=45%",DCTN2/KIF2A/TAOK3/MYC/RAN/KIF4B/MIS12/CDCA9/FAM175A/PABIR3/CHEK1/SMC2/MCM3/CHMP4B/SBDS/NBN/ANAPC5/CCND1/CDC42/PPP2R2D/PSME3/RTFDC1/RAD51/NDC80/CCDC61/STMN1/CCNB3/KIF18B/ENSA/PAFAH1B1/DCTN1/CHMP2A/MSH6/CENPA/RB1/TIPIN/NSFL1C,BP
GO:1901566,organonitrogen compound biosynthetic process,194,-0.2692785248571556,-1.4358902031039449,0.0010148131436392895,0.09692147903376742,0.08957061922041017,3048,"tags=30%, list=17%, signal=25%",HACD3/ALAS1/DEGS1/DCK/ORMDL2/EARS2/DAD1/FARSA/GATM/ST6GALNAC2/NCBP1/ASNS/PCBD1/BZW2/SGMS1/ADSS2/EIF2A/RPS12/CELF2/CNBP/RPL36/TMLHE/POMK/PLA2G4A/RARS/AMPD1/QKI/EIF3H/LOC422214/RPL13/ADA/PAIP2B/NOS2/ATIC/GOLGA7/PAN2/IARS2/AGO3/GXYLT1/EIF3M/METTL14/CHPT1/SAT1/CMPK1/CKB/RPS17/EEF1B2/NME2/PGRMC1/DENR/HS2ST1/RPLP0/WIPI2/AK1/ODC/RPL35/LTN1/CKMT2/RPS4Y1,BP
GO:0006396,RNA processing,98,-0.33396070273338246,-1.6086302867556346,0.0010884202051428997,0.09692147903376742,0.08957061922041017,2666,"tags=34%, list=15%, signal=29%",DKC1/SBDS/STRAP/THADA/NCBP1/MBNL1/RPL7A/CELF2/DDX1/XRN2/TRMU/QKI/CLP1/LOC422214/SMU1/PAN2/PRPF3/PSIP1/C1D/METTL14/VWA9/TARDBP/THOC5/ZRANB2/PRKRIP1/INTS9/NSUN2/SUPV3L1/TFIP11/RPL35/KHDC4/INTS2/SRSF2,BP
