GO_ID,breast,leg,liver,Description
GO:0000278,-1.9765506490223963,-1.8968131295170263,-1.898240304077509,mitotic cell cycle
GO:0007166,1.6873528255533672,1.4733058281418572,0.0,cell surface receptor signaling pathway
GO:0070482,2.015395610189178,1.904007555777228,0.0,response to oxygen levels
GO:0001666,1.9986874629424936,1.933733081154432,0.0,response to hypoxia
GO:0036293,1.9986874629424936,1.933733081154432,0.0,response to decreased oxygen levels
GO:0060070,1.8964055523969725,1.779252767808665,0.0,canonical Wnt signaling pathway
GO:0007169,1.7691811025216009,1.7274396289082594,0.0,transmembrane receptor protein tyrosine kinase signaling pathway
GO:0007167,1.7084603099490072,1.6677411879965018,0.0,enzyme-linked receptor protein signaling pathway
GO:0044085,0.0,-1.6293542584416076,-1.5448380713305123,cellular component biogenesis
GO:0065003,0.0,-1.6320813286126032,-1.781640634608139,protein-containing complex assembly
GO:0006996,0.0,-1.4163705355450895,-1.422148442850407,organelle organization
GO:0022607,0.0,-1.453987116220642,-1.4780333308204825,cellular component assembly
